spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Scotch,Balblair,"Edderton, Highland",Balblair,own_make,,FALSE,FALSE,Single Malt,12 Years,,,92,46,100% malted barley,Ex-bourbon (double-fired American oak),Ex-bourbon (Spanish oak finish),"Vibrant citrus fruits, vanilla, honey, light toffee, gentle spice",https://www.thewhiskyexchange.com/p/48761/balblair-12-year-old; https://thewhiskeywash.com/reviews/whisky-reviews-balblair-12-15-18-25-year-single-malt-scotches/,2026-06-26,https://img.thewhiskyexchange.com/540/blbob.12yo.jpg,scotch_highlands
Scotch,Balblair,"Edderton, Highland",Balblair,own_make,,FALSE,FALSE,Single Malt,15 Years,,,92,46,100% malted barley,Ex-bourbon,Ex-bourbon (first-fill Spanish oak butts),"Tropical fruits, caramel, vanilla, warm spice, honey, dark chocolate notes",https://www.thewhiskyexchange.com/p/48762/balblair-15-year-old; https://thewhiskeywash.com/reviews/whisky-reviews-balblair-12-15-18-25-year-single-malt-scotches/,2026-06-26,https://img.thewhiskyexchange.com/540/blbob.15yo.jpg,scotch_highlands
Scotch,Balblair,"Edderton, Highland",Balblair,own_make,,FALSE,FALSE,Single Malt,18 Years,,,92,46,100% malted barley,Ex-bourbon,Ex-bourbon (first-fill Spanish oak butts),"Ripe fruits, dark chocolate, toasted oak, warm spice, vanilla, espresso notes",https://www.thewhiskyexchange.com/p/48763/balblair-18-year-old; https://thewhiskeywash.com/reviews/whisky-reviews-balblair-12-15-18-25-year-single-malt-scotches/,2026-06-26,https://img.thewhiskyexchange.com/540/blbob.18yo.jpg,scotch_highlands
Scotch,Balblair,"Edderton, Highland",Balblair,own_make,,FALSE,FALSE,Single Malt,21 Years,,,92,46,100% malted barley,Ex-bourbon,Ex-bourbon (Oloroso sherry butts),"Tropical mango, coconut, pineapple, nutmeg, banoffee pie, marzipan, coffee",https://www.masterofmalt.com/whiskies/balblair/balblair-21-year-old-whisky/; https://www.thewhiskyexchange.com/p/72740/balblair-21-year-old,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/62086_source_1774599647.jpg,scotch_highlands
Scotch,Balblair,"Edderton, Highland",Balblair,own_make,,FALSE,FALSE,Single Malt,25 Years,,,92,46,100% malted barley,Ex-bourbon,Ex-bourbon (Spanish oak Oloroso),"Dried tropical fruits, dark chocolate, creamy toffee, rich spice, oak, honey",https://www.thewhiskyexchange.com/p/48764/balblair-25-year-old; https://distiller.com/spirits/balblair-25-year,2026-06-26,https://img.thewhiskyexchange.com/540/blbob.25yo.jpg,scotch_highlands
Scotch,Clynelish,"Brora, Highland",Clynelish,own_make,,FALSE,FALSE,Single Malt,14 Years,,,92,46,100% malted barley,Ex-bourbon,,"Waxy, coastal honey, tropical fruits, vanilla cream, light smoke, dried herbs",https://www.masterofmalt.com/distilleries/clynelish-whisky-distillery/; https://www.dramface.com/all-reviews/2024/clynelish-14,2026-06-04,NULL,scotch_highlands
Scotch,Clynelish,"Brora, Highland",Clynelish,own_make,,FALSE,FALSE,Single Malt; Distillers Edition,14 Years,,,92,46,100% malted barley,Ex-bourbon,Oloroso Seco,"Clynelish Distillers Edition: richer fruit, gentle sherry sweetness, waxy coastal character, warm spice",https://whiskyinternationalonline.com/products/clynelish-2021-distillers-edition-46; https://www.whisky.com/whisky-database/details/clynelish-the-distillers-edition-1.html,2026-06-26,http://whiskyinternationalonline.com/cdn/shop/files/clynelishdistillers_edition_2021_v2.jpg,scotch_highlands
Scotch,Glen Ord,"Muir of Ord, Highland",The Singleton of Glen Ord,own_make,,FALSE,FALSE,Single Malt,12 Years,,,80,40,100% malted barley,Ex-bourbon,,"Leather, nuts, citrus fruits, honey, vanilla, mulled spices, milk chocolate",https://greatdrams.com/a-detailed-look-at-the-singleton-of-glen-ord-range/; https://www.whiskylifestyle.com/tasting-notes-singleton-of-glen-ord-12-year-old/,2026-06-28,NULL,scotch_highlands
Scotch,Glen Ord,"Muir of Ord, Highland",The Singleton of Glen Ord,own_make,,FALSE,FALSE,Single Malt,15 Years,,,80,40,100% malted barley,Ex-bourbon,,"Soft fruit, orange, peach, stewed apple, toffee apple, creamy spice",https://greatdrams.com/a-detailed-look-at-the-singleton-of-glen-ord-range/; https://www.whiskylifestyle.com/tasting-notes-singleton-of-glen-ord-15-year-old/,2026-06-28,NULL,scotch_highlands
Scotch,Glen Ord,"Muir of Ord, Highland",The Singleton of Glen Ord,own_make,,FALSE,FALSE,Single Malt,18 Years,,,80,40,100% malted barley,Ex-bourbon,,"Citrus fruits, fruit cake, honey, oats, tropical fruit, vanilla, oak",https://greatdrams.com/a-detailed-look-at-the-singleton-of-glen-ord-range/; https://www.whiskylifestyle.com/singleton-of-glen-ord-18-year-old/,2026-06-28,NULL,scotch_highlands
