spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Fratelli Branca,"Milan, Italy",Fernet-Branca,own_make,NULL,FALSE,FALSE,Amaro,NULL,NULL,NULL,78,39,NULL,NULL,NULL,"Intensely bitter herbal digestif made from a secret recipe of 27 herbs, roots and spices including aloe, gentian, rhubarb, chamomile, myrrh and saffron; eucalyptus-menthol lift over a dry, bracing bitterness.",https://brancainternational.com/en/products/; https://en.wikipedia.org/wiki/Fernet-Branca,2026-06-16,https://brancainternational.com/wp-content/uploads/2020/07/BOTTIGLIE-05.png,liqueur_italy
Liqueur,Fratelli Branca,"Milan, Italy",Brancamenta,own_make,NULL,FALSE,FALSE,Amaro; Menta,NULL,NULL,NULL,56,28,NULL,NULL,NULL,"Mint variant of Fernet-Branca created in the 1960s; the herb-and-spice base enriched with Piedmontese peppermint essential oil for a bittersweet, cooling menthol character.",https://brancainternational.com/en/products/; https://www.masterofmalt.com/liqueurs/branca/fernet-branca-menta-liqueurs/,2026-06-16,https://brancainternational.com/wp-content/uploads/2020/07/BOTTIGLIE-01.png,liqueur_italy
Liqueur,Davide Campari,"Milan, Italy",Campari,blended,NULL,FALSE,FALSE,Aperitif Liqueur,NULL,NULL,NULL,50,25,NULL,NULL,NULL,"Vibrant red bitter aperitivo from an infusion of herbs and fruit; signature bitter-orange and herbal profile, the heart of the Negroni and Americano. ABV varies by market (24% US, 25% EU/UK).",https://www.campari.com/en-us/our-products/cask-tales/; https://en.wikipedia.org/wiki/Campari; https://www.camparigroup.com/en/pages/brands,2026-06-16,NULL,liqueur_italy
Liqueur,Davide Campari,"Milan, Italy",Campari,blended,NULL,FALSE,FALSE,Aperitif Liqueur; Cask Tales Bourbon Finish,NULL,NULL,NULL,50,25,NULL,NULL,NULL,"Limited edition launched 2019 for Davide Campari's 150th anniversary; classic Campari finished in ex-Wild Turkey No.4 'Alligator' char bourbon casks adding vanilla, smoky char and creamy caramel notes.",https://www.camparigroup.com/sites/default/files/2020-02/Campari-Cask-Tales_Product-Press-Release-FINAL-9-10-2019_.pdf; https://www.campari.com/en-us/our-products/cask-tales/,2026-06-16,NULL,liqueur_italy
Liqueur,Davide Campari,"Milan, Italy",Campari,blended,NULL,FALSE,FALSE,Aperitif Liqueur; Cask Tales Rum Finish,NULL,NULL,NULL,50,25,NULL,NULL,NULL,Cask Tales collection expression; Campari finished in ex-Appleton Estate Jamaica Rum casks bringing tropical notes that balance the bittersweet bitter.,https://www.blackwellswines.com/products/campari-cask-tales-rum-finish-liqueur-1000-ml; https://www.campari.com/en-us/our-products/cask-tales/,2026-06-28,NULL,liqueur_italy
Liqueur,Davide Campari,"Milan, Italy",Campari,blended,NULL,FALSE,FALSE,Aperitif Liqueur; Cask Tales Tequila Finish,NULL,NULL,NULL,50,25,NULL,NULL,NULL,"Cask Tales collection expression; Campari finished in ex-Espolon Mexican Tequila barrels imparting a slightly tart, herbal taste with notes of pepper and citrus.",https://www.blackwellswines.com/products/campari-cask-tales-tequila-finish-liqueur-1000-ml; https://www.campari.com/en-us/our-products/cask-tales/,2026-06-26,http://www.blackwellswines.com/cdn/shop/files/Campari_Cask_Tales_Tequila_Finish_Liqueur_1000_ml_600x.jpg,liqueur_italy
Liqueur,Aperol,"Padua, Italy",Aperol,blended,NULL,FALSE,FALSE,Aperitif Liqueur; Low-Proof,NULL,NULL,NULL,22,11,NULL,NULL,NULL,"Bittersweet low-alcohol orange aperitivo from an infusion of herbs, citrus and roots; recipe unchanged since 1919 in Padua. Bitter-orange, rhubarb and gentian notes; base of the Aperol Spritz.",https://www.aperol.com/en-us/faq/ingredients-nutrition/; https://diffordsguide.com/beer-wine-spirits/70/aperol-aperitivo; https://en.wikipedia.org/wiki/Aperol,2026-06-26,https://cdn.diffordsguide.com/bws/YDj9XZ/product-image/0/512x.webp,liqueur_italy
Liqueur,Cynar,"Milan, Italy",Cynar,blended,NULL,FALSE,FALSE,Amaro,NULL,NULL,NULL,33,16.5,NULL,NULL,NULL,"Bitter artichoke-based amaro made from 13 herbs and plants, predominantly Cynara scolymus (artichoke); bittersweet, deeply herbal with notes of dark chocolate, walnut, allspice and cola. Launched 1952.",https://www.diffordsguide.com/beer-wine-spirits/859/cynar; https://en.wikipedia.org/wiki/Cynar,2026-06-26,https://cdn.diffordsguide.com/bws/OD59QD/product-image/0/512x.webp,liqueur_italy
Liqueur,Cynar,"Milan, Italy",Cynar,blended,NULL,FALSE,FALSE,Amaro; 70 Proof,NULL,NULL,NULL,70,35,NULL,NULL,NULL,"Higher-proof version released in the 2010s, made to the same secret recipe of 13 infused botanicals as the original but at greater strength for cocktail use.",https://www.diffordsguide.com/beer-wine-spirits/6719/cynar-70-proof; https://en.wikipedia.org/wiki/Cynar,2026-06-26,https://cdn.diffordsguide.com/bws/ZxwAga/product-image/0/512x.webp,liqueur_italy
Liqueur,Fratelli Averna,"Caltanissetta, Italy",Averna,blended,NULL,FALSE,FALSE,Amaro,NULL,NULL,NULL,58,29,NULL,NULL,NULL,"Sicilian amaro made since 1868 from a blend of ~60 herbs, roots and citrus peels including licorice root, cinnamon, cloves and cardamom; rich, bittersweet with citrus and herbal depth.",https://www.amaroaverna.com/product/; https://www.diffordsguide.com/beer-wine-spirits/149/averna-amaro; https://en.wikipedia.org/wiki/Amaro_Averna,2026-06-26,https://cdn.diffordsguide.com/bws/5DwbGZ/product-image/0/512x.webp,liqueur_italy
