spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt,NAS,NULL,NULL,92.0,46.0,Malted barley 100%,Ex-bourbon,NULL,https://mh-distillery.com/product_series/classic/,2026-06-26,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Sherry Cask,NAS,NULL,NULL,92.0,46.0,Malted barley 100%,Ex-bourbon,Kosher Oloroso and PX Sherry,https://mh-distillery.com/product_series/elements/; https://www.thewhiskyexchange.com/p/56566/milk-honey-sherry-cask-elements-series,2026-06-26,https://img.thewhiskyexchange.com/540/israel_mil8.jpg,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Red Wine Cask,NAS,NULL,NULL,92.0,46.0,Malted barley 100%,Ex-bourbon,Israeli red wine casks (Carignan blend),https://mh-distillery.com/product/elements-red-wine/,2026-06-26,https://mh-distillery.com/wp-content/uploads/2022/11/elements-red-wine.png,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Peated,NAS,NULL,NULL,92.0,46.0,Malted barley 100%,Ex-bourbon; Ex-Islay,NULL,https://mh-distillery.com/product_series/elements/; https://flaviar.com/milk-honey/milk-honey-elements-peated-single-malt-whisky/,2026-06-26,https://flaviar.com/cdn/shop/files/Milk-_-Honey-Elements-Peated-Single-Malt-Whisky-Shadow.png,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Pomegranate Wine Cask,NAS,NULL,NULL,92.0,46.0,Malted barley 100%,Ex-bourbon,"Ex-pomegranate wine (Rimon Winery, Galilee)",https://mh-distillery.com/product_series/elements/; https://luekensliquors.com/products/m-h-elements-pomegranate-wine-cask-single-malt-whisky-7,2026-06-26,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Peated; STR Cask,NAS,NULL,NULL,117.8,58.9,Malted barley 100%,"STR (shaved, toasted, re-charred red wine cask)",NULL,https://shop.mh-distillery.com/product/apex-peated-str-cask/; https://kensingtonwinemarket.com/product/859528/milk-honey-apex-peated-str-cask-sm,2026-06-26,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Single Cask; Pomegranate Wine Cask,3 Years,NULL,Batch 014,114.4,57.2,Malted barley 100%,Ex-bourbon,"Ex-pomegranate wine (Rimon Winery, Galilee)",https://mh-distillery.com/product/apex-pomegranate-wine-cask/; https://thewhiskeywench.com/2022/05/09/mh-apex-series-pomegranate-wine-cask-small-batch-whisky/,2026-06-26,https://mh-distillery.com/wp-content/uploads/2022/11/apex-pomegranate.png,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Apex Terroir Dead Sea,NAS,NULL,NULL,114.8,57.4,Malted barley 100%,NULL,NULL,https://mh-distillery.com/product/apex-dead-sea/; https://wordsofwhisky.com/mh-apex-terroir-dead-sea-sea-of-galilee-jerusalem-mountains-negev-desert/,2026-06-26,https://mh-distillery.com/wp-content/uploads/2023/01/Apex-terroir_dead-sea-box-1.png,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Apex Terroir Sea of Galilee,NAS,NULL,NULL,112.4,56.2,Malted barley 100%,NULL,NULL,https://mh-distillery.com/product/apex-terroir-sea-of-galilee/; https://wordsofwhisky.com/mh-apex-terroir-dead-sea-sea-of-galilee-jerusalem-mountains-negev-desert/,2026-06-26,https://mh-distillery.com/wp-content/uploads/2025/05/Apex-terroir_galilee-box-2.png,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Apex Terroir Jerusalem Mountains,NAS,NULL,NULL,110.8,55.4,Malted barley 100%,NULL,NULL,https://www.whisky.com/whisky/news/newsdetail/article/mh-apex-terroir-series-four-editions-from-four-climate-zones.html; https://wordsofwhisky.com/mh-apex-terroir-dead-sea-sea-of-galilee-jerusalem-mountains-negev-desert/,2026-06-28,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Cask Strength; Apex Terroir Negev Desert,NAS,NULL,NULL,108.4,54.2,Malted barley 100%,NULL,NULL,https://www.whisky.com/whisky/news/newsdetail/article/mh-apex-terroir-series-four-editions-from-four-climate-zones.html; https://wordsofwhisky.com/mh-apex-terroir-dead-sea-sea-of-galilee-jerusalem-mountains-negev-desert/,2026-06-28,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask; Apex,NULL,NULL,NULL,NULL,NULL,Malted barley 100%,NULL,NULL,https://mh-distillery.com/product_series/apex-single-cask/,2026-06-26,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Art & Craft; Doppelbock Beer Cask,NAS,NULL,NULL,116.6,58.3,Malted barley 100%,Ex-bourbon,Ex-Doppelbock beer cask (Ha'Aretz Brewery),https://shop.mh-distillery.com/en/product/artcraft-doppelbock-beer-casks/; https://www.drinkhacker.com/2023/07/31/review-mh-art-craft-dopplebock-beer-cask-and-elements-pomegranate-wine-cask/,2026-06-26,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Art & Craft; Madeira Cask,NAS,2019,NULL,104.6,52.3,Malted barley 100%,Ex-Madeira,NULL,https://mh-distillery.com/product_series/art-and-craft/; https://www.whiskynotes.be/2024/world/milk-honey-madeira-tokaji-white-port-recioto/,2026-06-28,NULL,world_whiskey_israel
World Whiskey,Milk & Honey Distillery,"Tel Aviv, Israel",M&H,own_make,NULL,FALSE,FALSE,Single Malt; Art & Craft; Tokaji Cask,NAS,2019,NULL,104.6,52.3,Malted barley 100%,Ex-Tokaji,NULL,https://mh-distillery.com/product/artcraft-tokaji-casks; https://www.whiskynotes.be/2024/world/milk-honey-madeira-tokaji-white-port-recioto/,2026-06-28,NULL,world_whiskey_israel
