spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Single Malt,Blue Ridge Distilling Co.,"Bostic, NC",Defiant American Single Malt Whisky,own_make,NULL,FALSE,FALSE,American Single Malt; ; Non-GMO grain; Blue Ridge Mountain spring water; oak-spiral maturation (non-traditional — stainless steel tank with toasted American oak spirals not barrel-aged),,,,82,41.0,100% malted barley (two-row premium brewer's barley),Stainless steel tank with toasted American oak spirals (non-traditional maturation),NULL,NULL,https://blueridgedistilling.com/;https://caskcartel.com/products/blue-ridge-distilling-north-carolina-defiant-american-single-malt-whiskey;https://abc2.nc.gov/Pricing/ViewItemDetails/142896,2026-06-27,http://caskcartel.com/cdn/shop/products/defiant-whisky_0.jpg,american_single_malt_southeast_midwest_other
American Single Malt,Chemist Spirits,"Asheville, NC",American Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; Riverbend Malt House grain (Asheville NC); three-grain malted barley blend,,,,90,45.0,100% malted barley (dark Munich malt; Southern Select malt; crystal malt — all from Riverbend Malt House Asheville NC),New charred American oak (char level 3),NULL,NULL,https://www.chemistspirits.com/singlemalt;https://www.pastemagazine.com/drink/whiskey/chemist-spirits-american-single-malt-whiskey-review-asheville-price-flavors,2026-06-27,https://img.pastemagazine.com/wp-content/uploads/2024/04/08123730/chemist-american-single-malt-main.jpg,american_single_malt_southeast_midwest_other
American Single Malt,Chemist Spirits,"Asheville, NC",Biltmore Estate Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; Collaboration with Biltmore Estate; estate-grown Calypso barley; Sangiovese wine cask finish,,,,94,47.0,100% estate-grown Calypso malted barley (Biltmore Estate),New American oak,Biltmore Sangiovese wine barrels,NULL,https://www.prnewswire.com/news-releases/chemist-spirits-unveils-its-first-craft-single-malt-whiskey-in-collaboration-with-biltmore-301694699.html;https://www.chemistspirits.com/singlemalt,2026-06-23,NULL,american_single_malt_southeast_midwest_other
American Single Malt,Great Wagon Road Distillery,"Charlotte, NC",Rúa American Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; 100% organic non-GMO two-row pilsner barley; Blue Ridge Mountain spring water; 25-gallon small barrels for increased wood contact,,,,80,40.0,100% organic non-GMO two-row pilsner barley,25-gallon char 3 American white oak (Kelvin Cooperage Louisville KY),NULL,Vanilla; caramel; fresh baked bread; praline; long sweet finish,https://www.gwrdistilling.com/brands;https://www.carymagazine.com/food-and-dining/rua-american-single-malt-whiskey-from-great-wagon-road-distilling-co/,2026-06-27,https://www.carymagazine.com/wp-content/uploads/2018/08/767A5799.jpg,american_single_malt_southeast_midwest_other
American Single Malt,Great Wagon Road Distillery,"Charlotte, NC",Rúa American Single Malt — Sherry Cask Finish,own_make,NULL,FALSE,FALSE,American Single Malt; ; Limited sherry cask edition; released in standard and barrel-strength variants,,,,92,46.0,100% organic non-GMO two-row pilsner barley,25-gallon char 3 American white oak,Ex-sherry barrels (secondary finish),NULL,https://www.gwrdistilling.com/brands;https://caskcartel.com/products/great-wagon-road-distillery-rua-release-56-american-single-malt-whiskey,2026-06-27,http://caskcartel.com/cdn/shop/products/Rua-Malt-776x776.jpg,american_single_malt_southeast_midwest_other
American Single Malt,Great Wagon Road Distillery,"Charlotte, NC",Rúa Single Barrel Program,own_make,NULL,FALSE,TRUE,American Single Malt; ; Ongoing numbered single barrel release program (Release #1 through #56+); proof and batch vary per release,,,,NULL,NULL,100% organic non-GMO two-row pilsner barley,25-gallon char 3 American white oak,NULL,NULL,https://www.gwrdistilling.com/plans-pricing;https://caskcartel.com/products/great-wagon-road-distillery-rua-release-56-american-single-malt-whiskey,2026-06-27,http://caskcartel.com/cdn/shop/products/Rua-Malt-776x776.jpg,american_single_malt_southeast_midwest_other
American Single Malt,Oak & Grist Distilling Co.,"Black Mountain, NC",Descendant American Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; 100% locally grown and malted barley; Gold Medal SFWSC 2025; distillery located in Black Mountain NC (note: website lists Asheville NC mailing address — production site Black Mountain),,,,92.5,46.25,100% locally grown and malted barley (pale malt; munich malt),53-gallon new American oak (char 2) and 53-gallon used bourbon barrels (char 4),NULL,NULL,https://www.oakandgrist.com/single-malt-whiskey;https://www.blackmountainnews.com/story/news/2025/05/28/black-mountains-oak-grist-earns-gold-at-san-francisco-spirits-event/83632011007/,2026-06-28,NULL,american_single_malt_southeast_midwest_other
American Single Malt,Oak & Grist Distilling Co.,"Black Mountain, NC",Origin American Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; 100% locally malted two-row barley; used bourbon barrel maturation,,,,92.5,46.25,100% locally malted two-row barley,53-gallon used bourbon barrels (residual char),NULL,NULL,https://www.oakandgrist.com/single-malt-whiskey;https://thewhiskeywash.com/whiskey-styles/american-whiskey/oak-and-grist-out-of-north-carolina-brings-forth-a-new-american-single-malt/,2026-06-23,NULL,american_single_malt_southeast_midwest_other
American Single Malt,Corsair Distillery,"Nashville, TN",Triple Smoke American Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; Three-smoke signature: cherrywood (North America); beechwood (Germany); peat (Scotland); small percentage chocolate malt; Whisky Magazine Artisan Whiskey of the Year; short aged 5-10 months,,,,80,40.0,100% malted barley (cherrywood-smoked; beechwood-smoked; Scottish peated; <5% chocolate malt),New charred American oak,NULL,NULL,https://www.corsairdistillery.com/spirits/corsair-triple-smoke/;https://thewhiskeywash.com/whiskey-styles/american-whiskey/whiskey-review-corsair-triple-smoke/,2026-06-23,NULL,american_single_malt_southeast_midwest_other
American Single Malt,Corsair Distillery,"Nashville, TN",Corsair Tennessee Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; Regionally sourced Tennessee barley varietals; rum cask finish; Marathon Village production site,,,,100,50.0,100% two-row malted barley (regionally sourced barley varietals),First use 15-gallon and 30-gallon American oak casks,Ex-Caribbean rum casks,Honey biscuit nose; sweet caramel toffee palate; warm nutty medium body finish,https://www.corsairdistillery.com/spirits/corsair-tennessee-single-malt/;https://lovescotch.com/products/corsair-tennessee-single-malt-whiskey,2026-06-23,NULL,american_single_malt_southeast_midwest_other
