spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon,NULL,NULL,NULL,92,46,Corn 75% / Rye 21% / Malted Barley 4%,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption High Rye Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon,NULL,NULL,NULL,92,46,Corn 60% / Rye 36% / Malted Barley 4%,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Wheated Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon,NULL,NULL,NULL,96,48,NULL,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon; Cognac Cask Finish,NULL,NULL,NULL,99,49.5,Corn 60% / Rye 36% / Malted Barley 4%,New charred American oak,Cognac barrel finish,NULL,https://www.redemptionwhiskey.com/whiskeys/cognac-cask-finish,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon; Cask Strength,9 Years,NULL,NULL,108.2,54.1,NULL,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption High Rye Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon; ; 10 Year Barrel Proof,10 Years,NULL,NULL,114.4,57.2,NULL,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon; ; The Ancients,18 Years,NULL,NULL,103.4,51.7,NULL,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Redemption Bourbon,sourced,Redemption Whiskey,TRUE,FALSE,Bourbon; ; The Ancients,36 Years,NULL,NULL,97.6,48.8,NULL,New charred American oak,NULL,NULL,https://www.redemptionwhiskey.com/whiskeys,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Undisclosed (IN/KY),NULL,Joseph Magnus Bourbon,sourced,Jos. A. Magnus & Co.,TRUE,FALSE,Bourbon,NULL,NULL,NULL,100,50,NULL,New charred American oak,Oloroso sherry; Pedro Ximénez sherry; Cognac cask,"Rich deep flavors with notes of orange citrus, dried dark fruits, and vanilla",https://josephmagnus.com/spirits/joseph-magnus-bourbon/,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Undisclosed (IN/KY),NULL,Murray Hill Club,sourced,Jos. A. Magnus & Co.,TRUE,FALSE,Bourbon,NULL,NULL,NULL,103,51.5,NULL,NULL,NULL,"Bourbon blend; marries 18- and 11-year-old bourbon with 9-year-old light whiskey; notes of butterscotch, honey, toffee, baking spices, vanilla, and char",https://josephmagnus.com/spirits/murray-hill-club/,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Undisclosed (IN/KY),NULL,Joseph Magnus Cigar Blend Bourbon,sourced,Jos. A. Magnus & Co.,TRUE,FALSE,Bourbon,NULL,NULL,NULL,100.7,50.35,NULL,New charred American oak,Armagnac cask finish,"Bold rich aromas of tobacco, spice, leather, vanilla, blanched almonds, and toffee; Armagnac cask finish lends notes of fig, prune, and dried apricot",https://josephmagnus.com/spirits/cigar-blend-bourbon/,2026-06-26,NULL,bourbon_ndps_bottlers
Bourbon,Undisclosed (IN/KY),NULL,Murray Hill Club,sourced,Jos. A. Magnus & Co.,TRUE,FALSE,Bourbon; ; Special Release,NULL,NULL,Batch #4,111,55.5,Corn 75% / Rye 21% / Malted Barley 4%,New charred American oak,Calvados cask finish (4 months),"Blend of 8- and 17-year-old bourbons; Calvados cask finish; notes of apple strudel, gingerbread, poached pears in Port, star anise, and apple blossom honey",https://josephmagnus.com/murray-hill-club-special-release-batch-4/;https://www.whiskyliquorstore.com/228545/joseph-magnus-murray-hill-club-special-release-batch-4-750ml,2026-06-26,https://josephmagnus.com/wp-content/uploads/2024/02/MurrayHillClubSpecialRelease-00422-2-1024x683.jpg,bourbon_ndps_bottlers
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Pinhook Vertical Series Bourbon,sourced,Pinhook Bourbon,TRUE,FALSE,Bourbon,10 Years,2025,NULL,115.9,58,Corn 75% / Rye 20.5% / Malted Barley 4.5%,New charred American oak,NULL,"Nose: burnt orange, brioche, butterscotch, and clove; Palate: brandied cherry, salted caramel, candied pecan, and cinnamon stick",https://thewhiskeywash.com/whiskey-news/pinhook-unveils-vertical-series-10-year-bourbon/;https://pinhookbourbon.com/products/vertical-series-rye-10-year,2026-06-26,NULL,bourbon_ndps_bottlers
