spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Whiskey,High West Distillery,"Wanship, UT",High West Campfire,blended,NULL,FALSE,FALSE,Blended American Whiskey,NAS,NULL,NULL,92,46.0,NULL,NULL,NULL,"Nose: Butterscotch, shortbread biscuit, sandalwood, jasmine, worn leather; Palate: Vanilla, salted caramel, toasted brioche, chai spices; Finish: Sweet and smoky. D6 gray zone (Scotch component); routed to AW per cross-category ledger KI-1.",https://ship.highwest.com/products/campfire,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,High West Distillery,"Park City, UT",High West Bourye,blended,NULL,FALSE,FALSE,Blended American Whiskey; Bourbon X Rye,NAS,2025,NULL,92,46.0,Blend of straight bourbon + straight rye (proportions undisclosed),New charred American oak,NULL,NULL,https://ship.highwest.com/products/high-west-bourye;https://www.breakingbourbon.com/review/high-west-bourye-2025,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,High West Distillery,"Wanship, UT",High West Bourye,blended,NULL,FALSE,FALSE,Blended American Whiskey; Bourbon X Rye,NAS,2026,NULL,101,50.5,NULL,NULL,NULL,"Nose: Candied lemon, apricot jam on shortbread, caramel macaron, toasted cinnamon, dried ginger; Palate: Grilled peaches, orange blossom, molasses biscuit, brown sugar bacon, sarsaparilla; Finish: Sticky toffee pudding with ginger tea",https://ship.highwest.com/products/high-west-bourye,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,High West Distillery,"Wanship, UT",High West Cask Strength Whiskey,blended,NULL,FALSE,FALSE,Blended American Whiskey; Cask Strength,NAS,2024,NULL,119.8,59.9,NULL,NULL,NULL,"Nose: Butter-poached green apples, candied Meyer lemons, cornbread with honey, brioche; Palate: Sweet plantains, dried apricots, peach crumble, homemade toffee, Earl Grey, nutmeg; Finish: Kumquat, white chocolate, velvety spice",https://ship.highwest.com/products/high-west-cask-strength-bourbon-24,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,High West Distillery,"Wanship, UT",High West Prisoner's Share,blended,NULL,FALSE,FALSE,Blended American Whiskey; Bourbon X Rye; Prisoner Red Blend Wine Barrel Finish,NAS,2026,NULL,102,51.0,NULL,NULL,Prisoner Red Blend wine barrels,"Raspberry jam, toasted mahogany, crème brûlée, black pepper, cherry cola, French oak spice character",https://ship.highwest.com/products/prisoners-share;https://www.thebarreltap.com/products/high-west-the-prisoners-share-2026-release,2026-06-27,http://www.thebarreltap.com/cdn/shop/files/HighWestThePrisoner_sShareWhiskey2026Release.png,american_whiskey_other_states
American Whiskey,Laws Whiskey House,"Denver, CO",Laws,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Straight; Bottled-in-Bond,7 Years,2024,NULL,100,50.0,Blend of straight bourbon + straight wheat whiskey (proportions undisclosed),New 53-gallon charred American oak,NULL,"Mountain strawberries, orange marmalade, alpine meadow, wildflower honey; Jasmine tea, sage, spruce tips, pink peppercorn",https://lawswhiskeyhouse.com/our-whiskeys/;https://lawswhiskeyhouse.com/wp-content/uploads/2023/06/LWH-Bonded-7-Wheat-Sales-Sheet-2023.pdf,2026-06-23,NULL,american_whiskey_other_states
American Whiskey,Laws Whiskey House,"Denver, CO",Laws,own_make,NULL,FALSE,FALSE,Blended American Whiskey; Origins Series Super Wheater,NAS,2024,NULL,121.6,60.8,Blend: Laws Four Grain Straight Bourbon + 100% Centennial Wheat Whiskey; barrels 5–12 years old; proportions undisclosed,New 53-gallon charred American oak,NULL,"Shortbread, almond, orange marmalade; Peanut brittle, glazed lemon cake, cinnamon, cardamom, orange pekoe tea",https://lawswhiskeyhouse.com/our-whiskeys/;https://lawswhiskeyhouse.com/wp-content/uploads/2025/01/LWH-Origins-Super-Wheater-Sales-Sheet-1-25-2.pdf,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Laws Whiskey House,"Denver, CO",Laws,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Straight; Curacao Cask Finish,NULL,NULL,NULL,95,47.5,Wheat 100% (Soft White Centennial Spring Wheat),New 53-gallon charred American oak,Used Curacao French oak casks,"Orange flower blossoms; Creamy orange and candied ginger; dry leather, sarsaparilla, vanilla and cardamom",https://lawswhiskeyhouse.com/our-whiskeys/;https://lawswhiskeyhouse.com/wp-content/uploads/2024/04/EXP-Wheat-Curacao-Sales-Sheet-2-24-1.pdf,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Timber Creek Distillery,"Crestview, FL",Florida Whiskey,own_make,NULL,FALSE,FALSE,Multi-Grain Whiskey; Wheated; TTB-labeled American Whiskey,9 Months,NULL,NULL,93,46.5,Corn ~80% / Wheat / Malted Barley (exact pct not disclosed),New charred Missouri oak,NULL,NULL,https://timbercreekdistillery.com/spirits/florida-whiskey/;https://thewhiskeywash.com/reviews/whiskey-review-round-timber-creek-florida-bourbons/,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Timber Creek Distillery,"Crestview, FL",Florida Southern Reserve Whiskey,own_make,NULL,FALSE,FALSE,Multi-Grain Whiskey; High-Rye; Four-Grain; TTB-labeled American Whiskey,NULL,NULL,NULL,100,50.0,Corn / Rye / Malted Barley / Wheat (four-grain; exact pct not disclosed),New charred Missouri oak,NULL,NULL,https://timbercreekdistillery.com/spirits/florida-whiskey/;https://thewhiskeywash.com/reviews/whiskey-review-round-timber-creek-florida-bourbons/,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Iron Fish Distillery,"Thompsonville, MI",Mad Angler,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Straight; Bottled-in-Bond; Estate Grown; Michigan,4 Years,NULL,NULL,100,50.0,Wheat 51% / Corn 22.5% / Rye 15.3% / Malted Barley (remainder),New charred American oak,NULL,NULL,https://ironfishdistillery.com/madangler/;https://bottleraiders.com/spirit/mad-angler-bottled-in-bond-whiskey/;https://store.ironfishdistillery.com/product/mad-angler-bottled-in-bond-100-proof/1679,2026-06-27,https://thedailypour.com/wp-content/uploads/2024/09/Mad-Angler-Bottled-in-Bond.jpg,american_whiskey_other_states
American Whiskey,KOVAL Distillery,"Chicago, IL",KOVAL Four Grain,own_make,NULL,FALSE,FALSE,Multi-Grain Whiskey; Single Barrel,NAS,NULL,NULL,94,47.0,Oat / Malted Barley / Rye / Wheat (four organic grains; proportions not disclosed; no corn),New 30-gallon charred American oak,NULL,"Banana, butterscotch, caramel; creamy pie crust, cinnamon, dried fig; finish: spicy clove-pepper, maple syrup, cacao",https://www.koval-distillery.com/whiskey/four-grain,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,KOVAL Distillery,"Chicago, IL",KOVAL Thresh & Winnow Millet Whiskey,own_make,NULL,FALSE,FALSE,Single-Grain Whiskey; Bottled-in-Bond; Single Cask,4 Years,NULL,NULL,100,50.0,Millet 100% (organic),New American oak,NULL,"Warm cereal grain, cinnamon, leather, subtle wood char; baked grain, light melon, raw honey, ginger, nutmeg; honeyed lingering finish",https://www.koval-distillery.com/whiskey/thresh-and-winnow-millet-whiskey,2026-06-23,NULL,american_whiskey_other_states
American Whiskey,KOVAL Distillery,"Chicago, IL",KOVAL Thresh & Winnow Wheat Whiskey,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Single Cask; Discontinued,12 Years,NULL,NULL,100,50.0,Wheat 100% (organic),American oak,NULL,"Vanilla cream, honeyed pastry, light florals, soft oak; sweet cream, caramel, golden grain, mild toasted oak; clean smooth finish",https://www.koval-distillery.com/whiskey/thresh-and-winnow-whiskey-12-year-old-100-wheat,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Old Dominick Distillery,"Memphis, TN",Old Dominick Huling Station Straight Wheat Whiskey,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Straight,NAS,NULL,NULL,90,45.0,Wheat 83% / Rye 12% / Malted Barley 5%,New American white oak,NULL,Estate-distilled; smooth wheat character; Memphis water,https://olddominick.com/spirits/huling-station-straight-wheat/,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Old Dominick Distillery,"Memphis, TN",Old Dominick Huling Station Blend,own_make,NULL,FALSE,FALSE,Blended American Whiskey; Straight; Blend of Straight Whiskeys (50% High-Rye Straight Bourbon / 50% Straight Wheat Whiskey),NAS,NULL,NULL,100,50.0,Blend: 50% high-rye bourbon mash (52% corn / 44% rye / 4% malted barley) + 50% wheat mash (83% wheat / 12% rye / 5% malted barley),New American white oak,NULL,Warm baking spices / smoked oak on nose; creamy honey sweetness / grassy notes / rye warmth on palate; lingering peppery finish; currently sold out per producer site,https://olddominick.com/spirits/huling-station-blend/,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Short Mountain Distillery,"Woodbury, TN",Short Mountain Wheat Whiskey,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Straight,NAS,NULL,NULL,NULL,NULL,NULL,New American white oak,NULL,Distillery-exclusive; proof and mash bill not publicly disclosed; one of five mash bills produced at Short Mountain; follow-up via shortmountaindistillery.com direct contact,https://mainstreetliquor.com/products/short-mountain-wheat-whiskey,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Short Mountain Distillery,"Woodbury, TN",Short Mountain Single Malt Whiskey,own_make,NULL,FALSE,FALSE,"Class TBD; Producer-labeled ""American Single Malt Whiskey""",NAS,NULL,NULL,NULL,NULL,NULL,New American white oak,NULL,Distillery-exclusive; mash bill not disclosed; TTB class unconfirmed; labeled American Single Malt Whiskey by producer; route to ASM closed pending TTB COLA confirmation of 100% malted barley,https://www.bourbonbanter.com/short-mountain-distillery-bourbon-review/ | https://tncraftdistributors.com/short-mountain,2026-06-27,https://storage.ghost.io/c/1f/bc/1fbc7ea1-d6e2-43ab-9661-246c6f0c07f9/content/images/wp-content/uploads/2019/05/short-mountain-distillery-bourbon-review-header.jpg,american_whiskey_other_states
American Whiskey,Balcones Distilling,"Waco, TX",Balcones Baby Blue,own_make,NULL,FALSE,FALSE,Corn Whiskey,NAS,NULL,NULL,92,46.0,Blue Corn 100% (Texas-grown roasted Hopi blue corn),Used American oak,NULL,"Nose: Melted butter, kettle corn, vanilla, toffee, cinnamon; Palate: Tropical fruit, apricot, brown sugar, sweet tea, smoked chilis; Finish: Cinnamon and mint",https://us.thebar.com/products/balcones-baby-blue;https://whiskeyreviewer.com/2018/10/balcones-baby-blue-corn-whiskey-review/,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Balcones Distilling,"Waco, TX",Balcones True Blue,own_make,NULL,FALSE,FALSE,Corn Whiskey,NAS,NULL,NULL,100,50.0,Blue Corn 100% (roasted),Used American oak,NULL,NULL,https://www.balconesdistilling.com/our-whisky;https://distiller.com/spirits/balcones-true-blue,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Balcones Distilling,"Waco, TX",Balcones True Blue Cask Strength,own_make,NULL,FALSE,TRUE,Corn Whiskey; Cask Strength; Single Barrel,NAS,NULL,NULL,NULL,NULL,Blue Corn 100% (roasted),Used American oak,NULL,NULL,https://us.thebar.com/products/balcones-true-blue-100/;https://breakingbourbon.com/review/balcones-true-blue-cask-strength,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/5ae7c04dfc4f306b48f92f28_Balcones-True-Blue-Bottle-04a.jpg,american_whiskey_other_states
American Whiskey,Balcones Distilling,"Waco, TX",Balcones Brimstone,own_make,NULL,FALSE,FALSE,Corn Whiskey; Texas Scrub Oak Smoked,NAS,NULL,NULL,106,53.0,Blue Corn 100% (Hopi blue corn),Used American oak,NULL,Bold smokiness with light fruit notes; aromas of masa and Texas campfire. Distillate smoked with sun-baked Texas scrub oak (proprietary process).,https://www.caskers.com/balcones-brimstone-smoked-corn-whiskey/;https://thewhiskeywash.com/whiskey-styles/american-whiskey/whiskey-review-balcones-brimstone/,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,Ironroot Republic Distilling,"Denison, TX",Ironroot Republic Hubris,own_make,NULL,FALSE,FALSE,Corn Whiskey; Straight; Cask Strength,NAS,NULL,NULL,117.8,58.9,Yellow Corn 95% / Purple Corn 5%,Second-fill European oak,NULL,NULL,https://shop.ironrootrepublic.com/products/hubris;https://craft-cask.com/news/best-corn-whiskey-2025-ironroot-republic-hubris-world-whiskies-awards,2026-06-27,https://framerusercontent.com/images/dL4WPV6tvthS9QK0qnxIBFCvlQ.png,american_whiskey_other_states
American Whiskey,Ironroot Republic Distilling,"Denison, TX",Ironroot Republic Icarus,own_make,NULL,FALSE,FALSE,Corn Whiskey; Straight; Port + Peated Malt Barrel Finish,NAS,NULL,NULL,NULL,NULL,Corn 100% (Heirloom Purple Corn / Red Flint Corn / Yellow Dent Corn; proportions undisclosed),Second-fill European oak,Port casks; peated single malt barrels,NULL,https://shop.ironrootrepublic.com/products/icarus-straight-texas-corn-whiskey,2026-05-31,NULL,american_whiskey_other_states
American Whiskey,ASW Distillery,"Atlanta, GA",Duality Double Malt,own_make,NULL,FALSE,FALSE,Multi-Grain Whiskey; Double Malt,NAS,NULL,NULL,88,44.0,Rye Malt 50% / Cherry-Smoked Barley Malt 50%,New charred American oak,NULL,"Honey, toffee, stone fruit, light smoke. Drinks like a rye with finish of smoky single malt. Double Gold Medal SFWSC.",https://www.aswdistillery.com/our-spirits-2024,2026-05-31,NULL,american_whiskey_other_states
