spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
World Whiskey,Undisclosed (Canada),Canada,Trapper's Oath,sourced,Hinterhaus Distilling,TRUE,FALSE,Canadian Rye Whisky; Undisclosed source,NAS,,,,,,,,https://hinterhaus.com,2026-06-26,NULL,world_whiskey_canada
World Whiskey,James B. Beam Distilling Co.,"Clermont, KY",Little Book,blended,,FALSE,FALSE,"Blended Whisky; Multi-Origin; Chapter 2: ""Noe Simple Task""",NAS,,,118.8,59.4,,,,https://www.beamdistilling.com/littlebook/whiskies/little-book-chapter-2-noe-simple-task,2026-06-26,https://www.beamdistilling.com/sites/default/files/2025-12/Little-Book_Carousel_Chapter4_0.png,world_whiskey_canada
World Whiskey,Alberta Distillers,"Calgary, AB",Alberta Premium,own_make,,FALSE,FALSE,Canadian Rye Whisky,NAS,,,80,40.0,100% rye,ex-Bourbon cask,,https://www.albertadistillers.com/our-brands/alberta-premium;https://www.albertadistillers.com/our-products/whisky/alberta-premium-rye-whisky,2026-06-28,NULL,world_whiskey_canada
World Whiskey,Alberta Distillers,"Calgary, AB",Alberta Premium,own_make,,FALSE,FALSE,Canadian Rye Whisky; Golden Rye,9 Years,,,90,45.0,100% rye,,,https://www.albertadistillers.com/our-products/whisky/alberta-premium-golden-rye-9-yo,2026-06-26,https://www.albertadistillers.com/sites/default/files/2025-09/bottle-premium-9-year-alberta.png,world_whiskey_canada
World Whiskey,Alberta Distillers,"Calgary, AB",Alberta Premium,own_make,,FALSE,FALSE,Canadian Rye Whisky; Batch 10 Legacy Reserve,NAS,,,84,42.0,100% rye,New white oak; ex-Bourbon; ex-Canadian whisky barrel,New toasted white oak,https://www.albertadistillers.com/our-products/whisky/alberta-premium-batch-10-legacy-reserve,2026-06-26,https://www.albertadistillers.com/sites/default/files/2025-09/bottle-legacy-batch-10-year-alberta.png,world_whiskey_canada
World Whiskey,Alberta Distillers,"Calgary, AB",Alberta Premium,own_make,,FALSE,FALSE,Canadian Rye Whisky; Cask Strength,10 Years,2025,,134,67.0,100% rye,,,https://alberta-distillers.reportablenews.com/pr/award-winning-alberta-distillers-limited-releases-two-new-premium-expressions-rare-batch-issue-no-2-and-alberta-premium-cask-strength-10-year-old;https://craftcellars.ca/products/alberta-premium-cask-strength-10-year-old-2025,2026-06-26,https://cdn.filestackcontent.com/AG3wH2AR3SP2Mo58NZitaz/rotate=exif:true/resize=width:1200/zzYOpAjrS5muqwfi4T1Q,world_whiskey_canada
World Whiskey,Alberta Distillers,"Calgary, AB",Alberta Premium,own_make,,FALSE,FALSE,Canadian Rye Whisky; Rare Batch Issue No. 2,21 Years,,Issue No. 2,100,50.0,100% rye,Canadian whisky barrel; ex-Bourbon; new white oak,,https://alberta-distillers.reportablenews.com/pr/award-winning-alberta-distillers-limited-releases-two-new-premium-expressions-rare-batch-issue-no-2-and-alberta-premium-cask-strength-10-year-old,2026-06-26,https://cdn.filestackcontent.com/AG3wH2AR3SP2Mo58NZitaz/rotate=exif:true/resize=width:1200/zzYOpAjrS5muqwfi4T1Q,world_whiskey_canada
World Whiskey,Forty Creek Distillery,"Grimsby, ON",Forty Creek,own_make,,FALSE,FALSE,Blended Whisky; Barrel Select,NAS,,,80,40.0,,ex-Bourbon cask; new American white oak,,https://fortycreekwhisky.com/product/barrel-select/,2026-06-26,https://fortycreekwhisky.com/wp-content/uploads/2022/09/FC-BARREL-SELECT-WHISKY_1000x1000-on.webp,world_whiskey_canada
World Whiskey,Forty Creek Distillery,"Grimsby, ON",Forty Creek,own_make,,FALSE,FALSE,Blended Whisky; Double Barrel Reserve,NAS,,,80,40.0,,,Kentucky ex-Bourbon cask,https://fortycreekwhisky.com/product/double-barrel-reserve/,2026-06-26,https://fortycreekwhisky.com/wp-content/uploads/2022/09/FC-DOUBLE-BARREL_1000x1000-on-2.webp,world_whiskey_canada
World Whiskey,Forty Creek Distillery,"Grimsby, ON",Forty Creek,own_make,,FALSE,FALSE,Blended Whisky; Confederation Oak Reserve,NAS,,,80,40.0,,,Canadian oak cask,https://fortycreekwhisky.com/product/confederation-oak-reserve/,2026-06-26,https://fortycreekwhisky.com/wp-content/uploads/2022/09/FC-CONFEDERATION-OAK-WHISKY_1000x1000-on.webp,world_whiskey_canada
