spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Gin,Four Pillars Distillery,"Healesville, VIC, Australia",Four Pillars,own_make,NULL,FALSE,FALSE,Distilled Gin; Modern Australian; Rare Dry Gin,NAS,NULL,NULL,83.6,41.8,NULL,NULL,NULL,"Whole fresh oranges + lemon myrtle, cardamom, star anise, lavender; spicy yet citrus-forward.",https://www.fourpillarsgin.com/products/rare-dry-gin; https://www.diffordsguide.com/beer-wine-spirits/5972/four-pillars-rare-dry-gin,2026-06-27,https://cdn.diffords.com/contrib/bws/2022/06/62a1ee702edf5.jpg,gin_australia
Gin,Four Pillars Distillery,"Healesville, VIC, Australia",Four Pillars,own_make,NULL,FALSE,FALSE,Navy Strength Gin; Modern Australian; Navy Strength Gin,NAS,NULL,NULL,117.6,58.8,NULL,NULL,NULL,"Fresh ginger, turmeric, finger lime; assertive zesty citrus + spice.",https://www.diffordsguide.com/beer-wine-spirits/5971/four-pillars-navy-strength-gin,2026-06-27,https://cdn.diffords.com/contrib/bws/2022/06/62a1ee379a1d4.jpg,gin_australia
Gin,Four Pillars Distillery,"Healesville, VIC, Australia",Four Pillars,own_make,NULL,FALSE,FALSE,Distilled Gin; Spiced Negroni; Spiced Negroni Gin,NAS,NULL,NULL,87.6,43.8,NULL,NULL,NULL,"Tasmanian pepperberry leaf, cinnamon, grains of paradise, cubeb, blood orange, ginger; rich, peppery.",https://www.fourpillarsgin.com/products/spiced-negroni-gin,2026-06-27,http://fourpillarsgin.com/cdn/shop/files/Four-Pillars-Gin-Spiced-Negroni-Gin-Shop-deep-etch-652x936.png,gin_australia
Gin,Four Pillars Distillery,"Healesville, VIC, Australia",Four Pillars,own_make,NULL,FALSE,FALSE,"Distilled Gin; Savoury, Olive Leaf; Olive Leaf Gin",NAS,NULL,NULL,87.6,43.8,NULL,NULL,NULL,"Olive leaf tea + cold-pressed EVOOs, rosemary, bay, macadamia, lemon myrtle; textural, bright martini gin.",https://www.fourpillarsgin.com/products/olive-leaf-gin,2026-06-27,http://fourpillarsgin.com/cdn/shop/files/four-pillars-gin-olive-leaf-gin_652x936_8a4fceb6-6991-408b-8b67-ae5d7feeb2cd.png,gin_australia
Gin,Four Pillars Distillery,"Healesville, VIC, Australia",Four Pillars,own_make,NULL,FALSE,FALSE,Distilled Gin; Shiraz-steeped; Bloody Shiraz Gin,NAS,NULL,NULL,75.6,37.8,NULL,NULL,NULL,"Rare Dry Gin steeped 8 weeks with Yarra Valley Shiraz grapes; deep reddish-purple; pine, citrus, peppery raspberry, no added sugar.",https://www.fourpillarsgin.com/products/bloody-shiraz-gin; https://www.diffordsguide.com/beer-wine-spirits/5973/four-pillars-bloody-shiraz-gin,2026-06-27,https://cdn.diffords.com/contrib/bws/2022/06/62a1ee190e9ad.jpg,gin_australia
Gin,Four Pillars Distillery,"Healesville, VIC, Australia",Four Pillars,own_make,NULL,FALSE,FALSE,Distilled Gin; Modern Australian; Modern Australian Gin,NAS,NULL,NULL,87.6,43.8,NULL,NULL,NULL,"Apples + Szechuan peppercorns; graceful, bright contemporary style.",https://www.diffordsguide.com/beer-wine-spirits/6847/four-pillars-modern-australian-gin,2026-06-27,https://cdn.diffords.com/contrib/bws/2020/11/5fae83abf075b.jpg,gin_australia
Gin,Archie Rose Distilling Co.,"Sydney, NSW, Australia",Archie Rose,own_make,NULL,FALSE,FALSE,Distilled Gin; Contemporary; Signature Dry Gin,NAS,NULL,NULL,84,42.0,NULL,NULL,NULL,"14 botanicals distilled separately on a wheat base; native blood lime, Dorrigo pepperleaf, lemon myrtle, river mint + apple/orange/ginger.",https://distiller.com/spirits/archie-rose-signature-dry-gin; https://www.diffordsguide.com/beer-wine-spirits/6756/archie-rose-signature-dry-gin,2026-06-27,https://cdn.diffordsguide.com/bws/DLmXqN/product-image/0/512x.webp,gin_australia
Gin,Archie Rose Distilling Co.,"Sydney, NSW, Australia",Archie Rose,own_make,NULL,FALSE,FALSE,Distilled Gin; Distiller's Strength; Distiller's Strength Gin,NAS,NULL,NULL,104.8,52.4,NULL,NULL,NULL,"16 botanicals incl. Orange (NSW) pears, rose petals, elderflower, rooftop honey distillate; bold, nutty, piney, black-pepper spice.",https://www.diffordsguide.com/beer-wine-spirits/6757/archie-rose-distillers-strength-gin,2026-06-27,https://cdn.diffordsguide.com/bws/DKR79Z/product-image/0/512x.webp,gin_australia
Gin,Archie Rose Distilling Co.,"Sydney, NSW, Australia",Archie Rose,own_make,NULL,FALSE,FALSE,"Distilled Gin; Triple-juniper, Limited; Bone Dry Gin",NAS,NULL,NULL,88,44.0,NULL,NULL,NULL,"First gin from the Banksmeadow distillery; juniper used three ways via cold-vacuum distillation; Australian coriander, Tahitian lime, lemon-scented gum.",https://archierose.com.au/spirit-data/bone-dry-gin,2026-06-10,NULL,gin_australia
Gin,Never Never Distilling Co.,"McLaren Vale, SA, Australia",Never Never,own_make,NULL,FALSE,FALSE,Distilled Gin; Triple Juniper; Triple Juniper Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Triple-juniper process (maceration + boiling + vapour); bright, earthy, piney.",https://neverneverdistilling.com.au/products/triple-juniper-gin; https://distiller.com/spirits/never-never-distilling-co-triple-juniper-gin,2026-06-27,https://cdn.shopify.com/s/files/1/0678/2602/4599/files/TJ-Neautral-bottle.png,gin_australia
