spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rye,Tennessee Hills Distillery,"Jonesborough, TN",Tennessee Hills Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,5 Years,NULL,NULL,90,45.0,95% rye (remaining 5% not disclosed by producer),New American white oak,NULL,https://tennesseehills.com/products/rye-whiskey,2026-06-23,NULL,rye_other_states
Rye,Chattanooga Whiskey Experimental Distillery,"Chattanooga, TN",Chattanooga Whiskey 2024-25 Rye Single BBLS,own_make,NULL,FALSE,TRUE,Straight Rye; Single Barrel,4 Years+,NULL,NULL,NULL,NULL,Malted Rye / Yellow Corn / Caramel Malted Rye / Chocolate Malted Rye (percentages not disclosed; see chattanoogawhiskey.com/mashbills/),New American white oak (char #2 or #4 per barrel),NULL,https://chattanoogawhiskey.com/product/2024-rye-single-bbls/,2026-06-23,NULL,rye_other_states
Rye,Chattanooga Whiskey Experimental Distillery,"Chattanooga, TN",Chattanooga EXP Barrel 312 (2025),own_make,NULL,FALSE,FALSE,Straight Rye; ; EXP Series 2025,4 Years 4 Months,2025,Barrel 312 (2025),123.2,61.6,Wrens Abruzzi malted rye / apple wood smoked rye / yellow corn / caramel malted rye,New American white oak,NULL,https://chattanoogawhiskey.com/product/exp-single-bbls-2/,2026-06-23,NULL,rye_other_states
Rye,Short Mountain Distillery,"Woodbury, TN",Short Mountain Red Pecker Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,4 Years+,NULL,NULL,100,50.0,Cherrywood smoked chocolate rye malt (full mash bill percentages not disclosed; rye majority per TTB Straight Rye classification),New American white oak,NULL,https://shortmountaindistillery.com,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Tennessee Rye Whiskey Bottled in Bond,own_make,NULL,FALSE,FALSE,"Straight Rye; Bonded, Tennessee",NULL,NULL,NULL,100,50.0,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.jackdaniels.com/en-us/jack-daniels-family-of-whiskeys;https://www.breakingbourbon.com/review/jack-daniels-bonded-rye,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Single Barrel Barrel Proof Tennessee Rye Whiskey,own_make,NULL,FALSE,TRUE,"Straight Rye; Single Barrel, Barrel Proof; Tennessee",NULL,NULL,NULL,NULL,NULL,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.jackdaniels.com/en-us/jack-daniels-family-of-whiskeys;https://www.breakingbourbon.com/review/jack-daniels-single-barrel-barrel-proof-rye,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/64763393306e5277a425ade6_Jack-Daniels-Single-Barrel-Barrel-Proof-Rye-Review-01.jpg,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Single Barrel Special Release Tanyard Hill Tennessee Rye Whiskey,own_make,NULL,FALSE,TRUE,"Straight Rye; Single Barrel, Barrel Proof; Special Release; Distillery-Exclusive; Tanyard Hill",NULL,2025,NULL,NULL,NULL,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.jackdaniels.com/en-us/jack-daniels-family-of-whiskeys;https://www.breakingbourbon.com/review/jack-daniels-special-release-small-batch-rye-2026,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Special Release Small Batch Tennessee Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Small Batch, Barrel Proof; Special Release; Distillery-Exclusive; Tennessee",NULL,2026,Boiler Hill Batch 1,146.1,73.05,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.breakingbourbon.com/review/jack-daniels-special-release-small-batch-rye-2026;https://www.fredminnick.com/2026/04/21/jack-daniels-releases-quintet-of-barrel-proof-ryes/,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Special Release Small Batch Tennessee Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Small Batch, Barrel Proof; Special Release; Distillery-Exclusive; Tennessee",NULL,2026,Boiler Hill Batch 2,142.7,71.35,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.breakingbourbon.com/review/jack-daniels-special-release-small-batch-rye-2026;https://www.fredminnick.com/2026/04/21/jack-daniels-releases-quintet-of-barrel-proof-ryes/,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Special Release Small Batch Tennessee Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Small Batch, Barrel Proof; Special Release; Distillery-Exclusive; Tennessee",NULL,2026,Coy Hill Batch 1,NULL,NULL,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.breakingbourbon.com/review/jack-daniels-special-release-small-batch-rye-2026;https://www.fredminnick.com/2026/04/21/jack-daniels-releases-quintet-of-barrel-proof-ryes/,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Special Release Small Batch Tennessee Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Small Batch, Barrel Proof; Special Release; Distillery-Exclusive; Tennessee",NULL,2026,Coy Hill Batch 2,NULL,NULL,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.breakingbourbon.com/review/jack-daniels-special-release-small-batch-rye-2026;https://www.fredminnick.com/2026/04/21/jack-daniels-releases-quintet-of-barrel-proof-ryes/,2026-06-23,NULL,rye_other_states
Rye,Jack Daniel Distillery,"Lynchburg, TN",Jack Daniel's Special Release Small Batch Tennessee Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Small Batch, Barrel Proof; Special Release; Distillery-Exclusive; Tennessee",NULL,2026,Fire Brigade Fields Batch 1,NULL,NULL,70% rye / 18% corn / 12% malted barley,New charred American oak,NULL,https://www.breakingbourbon.com/review/jack-daniels-special-release-small-batch-rye-2026;https://www.fredminnick.com/2026/04/21/jack-daniels-releases-quintet-of-barrel-proof-ryes/,2026-06-23,NULL,rye_other_states
Rye,Still Austin Whiskey Co.,"Austin, TX",Still Austin Bottled-in-Bond Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Bonded, Spring Vintage; Texas",NULL,2025,NULL,100,50.0,100% Texas-grown rye,New charred American oak,NULL,https://www.stillaustin.com/spirits/;https://www.breakingbourbon.com/review/still-austin-bottled-in-bond-spring-rye-2025,2026-06-28,NULL,rye_other_states
Rye,Milam & Greene Whiskey,"Blanco, TX",Milam & Greene Port Finished Rye Whiskey,sourced,NULL,FALSE,FALSE,Straight Rye; Port Cask Finish,NULL,NULL,NULL,NULL,NULL,Rye mash bill (proportions undisclosed; sourced from Indiana),New charred American oak,Port wine casks,https://milamandgreenewhiskey.com/;https://distiller.com/spirits/milam-and-greene-port-cask-rye,2026-06-23,NULL,rye_other_states
Rye,Yellow Rose Distilling,"Houston, TX",Yellow Rose Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,90,45.0,95% rye (remaining 5% not disclosed),New charred American oak,NULL,https://yellowrosedistilling.com/;https://distiller.com/spirits/yellow-rose-rye-whiskey,2026-06-23,NULL,rye_other_states
Rye,Balcones Distilling,"Waco, TX",Balcones Texas Rye,own_make,NULL,FALSE,FALSE,Straight Rye; ; Texas,NULL,NULL,NULL,100,50.0,100% Texas rye,New charred American oak,NULL,https://balconesdistilling.com/products/texas-rye;https://distiller.com/spirits/balcones-texas-rye,2026-06-23,NULL,rye_other_states
Rye,Balcones Distilling,"Waco, TX",Balcones Texas Rye Bottled in Bond,own_make,NULL,FALSE,FALSE,"Straight Rye; Bonded, Texas",NULL,NULL,NULL,100,50.0,100% Texas rye,New charred American oak,NULL,https://balconesdistilling.com/products/texas-rye-bottled-in-bond;https://distiller.com/spirits/balcones-texas-rye-bottled-in-bond,2026-06-23,NULL,rye_other_states
Rye,Reservoir Distillery,"Richmond, VA",Reservoir Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NAS,NULL,NULL,100,50.0,100% rye,New charred American oak (quarter casks),NULL,https://www.reservoirdistillery.com/our-whiskeys; https://distiller.com/spirits/reservoir-rye-whiskey; https://www.reservoirdistillery.com/products/rye-375-ml; https://www.abc.virginia.gov/products/rye/reservoir-rye-whiskey,2026-06-23,https://reservoir-distillery.myshopify.com/cdn/shop/products/6.png?v=1675277323,rye_other_states
Rye,Catoctin Creek Distilling Co.,"Purcellville, VA",Catoctin Creek Roundstone Rye 80 Proof,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,80,40.0,100% organic Virginia rye,New charred white oak (30-gallon; Minnesota and Virginia white oak),NULL,https://catoctincreekdistilling.com/roundstone;https://distiller.com/spirits/catoctin-creek-roundstone-rye,2026-06-23,NULL,rye_other_states
Rye,Catoctin Creek Distilling Co.,"Purcellville, VA",Catoctin Creek Roundstone Rye 92 Proof Distillers Edition,own_make,NULL,FALSE,FALSE,Straight Rye; ; Distillers Edition,NULL,NULL,NULL,92,46.0,100% organic Virginia rye,New charred white oak (30-gallon; Minnesota and Virginia white oak),NULL,https://catoctincreekdistilling.com/roundstone-92;https://distiller.com/spirits/catoctin-creek-roundstone-rye-92,2026-06-27,https://img.thewhiskyexchange.com/540/brbon_cat1.jpg,rye_other_states
Rye,Catoctin Creek Distilling Co.,"Purcellville, VA",Catoctin Creek Roundstone Rye Cask Proof,own_make,NULL,FALSE,TRUE,"Straight Rye; Cask Strength, Single Barrel",NULL,NULL,NULL,NULL,NULL,100% organic Virginia rye,New charred white oak (30-gallon; Minnesota and Virginia white oak),NULL,https://catoctincreekdistilling.com;https://bourbonpaddy.com/2021/03/13/roundstone-rye-cask-proof-review/,2026-06-27,https://i0.wp.com/bourbonpaddy.com/wp-content/uploads/2021/03/20210313_175534-01.jpeg,rye_other_states
Rye,Filibuster Distillery,"Maurertown, VA",Filibuster Dual Cask Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; ; French Oak Cask Finish,NULL,NULL,NULL,90,45.0,80% rye (remaining corn / wheat / malted barley; proportions not disclosed),New American oak,French oak barrels,https://shop.filibusterbourbon.com/products/dual-cask-straight-rye-whiskey;https://www.drinkhacker.com/2024/02/03/review-filibuster-dual-cask-rye/,2026-06-27,https://www.drinkhacker.com/wp-content/uploads/2024/02/Filibuster-rye.webp,rye_other_states
Rye,Copper Fox Distillery,"Sperryville, VA",Copper Fox Original Rye Whisky,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,90,45.0,67% rye / 33% malted barley (Virginia-grown; barley hand-malted and smoked with 60% apple / 40% cherry wood),Used bourbon barrels (with apple and oak chips),NULL,https://www.copperfoxdistillery.com/rye-gallery;https://distiller.com/spirits/copper-fox-rye-whiskey,2026-06-23,NULL,rye_other_states
Rye,Copper Fox Distillery,"Sperryville, VA",Copper Fox Sassy Single Malt Rye Whisky,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,90,45.0,100% Virginia rye (floor malted; smoked with Virginia sassafras wood; double pot stilled),Used bourbon barrels (with apple and oak chips),Used bourbon barrel (secondary finish),https://www.copperfoxdistillery.com/rye-gallery;https://americanwhiskeymag.com/articles/copper-fox-distillery-unveils-updated-branding-and-sassy-single-malt-rye/,2026-06-23,NULL,rye_other_states
Rye,Silverback Distillery,"Afton, VA",Silverback Blackback Rye Whiskey Lucky 13,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,86,43.0,NULL,New charred American oak,NULL,https://www.sbdistillery.com/shop/p/blackback-rye-whiskey;https://www.virginiaryewhiskey.com/rye-whiskey-brands.html,2026-06-23,NULL,rye_other_states
Rye,Silverback Distillery,"Afton, VA",Silverback Blackback Rye Whiskey Alpha Series,own_make,NULL,FALSE,FALSE,"Straight Rye; Single Barrel, 4 Year",4 Years,NULL,NULL,110,55.0,NULL,New charred American oak,NULL,https://www.sbdistillery.com/shop/p/alpha-series-rye;https://thebourbonfinder.com/silverback-alpha-rye/,2026-06-27,https://thebourbonfinder.com/wp-content/uploads/Silverback_featured.jpg,rye_other_states
Rye,Tattersall Distilling,"River Falls, WI",Tattersall Distilling Seven-Year Rye Whiskey Bottled in Bond,own_make,NULL,FALSE,FALSE,"Straight Rye; Bonded, Seven-Year; Limited Release (< 100 cases)",7 Years,2024,2024 Limited Release,100,50.0,Rye / Malted Rye (sourced within 50 miles of distillery; exact proportions not disclosed),New charred American oak (53-gallon),NULL,https://craftspiritsmag.com/2024/11/22/tattersall-distilling-releases-two-new-bottled-in-bond-whiskies/;https://www.fredminnick.com/2024/11/22/tattersall-distilling-releases-pair-of-bottled-in-bond-whiskeys/,2026-06-27,https://craftspiritsmag.com/wp-content/uploads/2024/11/tattersall-6-and-7-year-old-whiskey-1200x630.jpg,rye_other_states
Rye,45th Parallel Distillery,"New Richmond, WI",45th Parallel New Richmond Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,92,46.0,65% rye / corn and barley (exact proportions not disclosed; grain from Rusmar Farms within 5 miles),New charred American oak,NULL,https://45thparalleldistillery.com/page/spirits;https://distiller.com/spirits/new-richmond-rye,2026-06-23,NULL,rye_other_states
Rye,Great Northern Distilling,"Stevens Point, WI",Great Northern Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,96,48.0,Locally grown raw rye / rye malt / corn (proportions not disclosed; sourced within 150 miles),New charred American oak,NULL,http://www.greatnortherndistilling.com/spirits;https://distiller.com/spirits/great-northern-rye-whiskey,2026-06-23,NULL,rye_other_states
Rye,FEW Spirits,"Evanston, IL",FEW Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye,NULL,NULL,NULL,93,46.5,70% rye / 20% corn / 10% malted barley,New charred American oak,NULL,https://fewspirits.com/products/;https://distiller.com/spirits/few-rye,2026-06-23,NULL,rye_other_states
Rye,FEW Spirits,"Evanston, IL",FEW Rye Whiskey Bottled in Bond,own_make,NULL,FALSE,FALSE,Straight Rye; Bonded,NULL,NULL,NULL,100,50.0,70% rye / 20% corn / 10% malted barley,New charred American oak,NULL,https://fewspirits.com/products/;https://www.breakingbourbon.com/bourbon-whiskey-press-releases/few-spirits-announces-few-rye-whiskey-bottled-in-bond,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/63348ce018a2282ee0d00b1e_Few-Rye-BiB-Press-Release-01.jpg,rye_other_states
Rye,FEW Spirits,"Evanston, IL",FEW x Flaming Lips Brainville Rye Whiskey,own_make,NULL,FALSE,FALSE,Straight Rye; ; Collaboration,NULL,NULL,NULL,80,40.0,70% rye / 20% corn / 10% malted barley,New charred American oak,NULL,https://fewspirits.com/products/;https://norfolkwineandspirits.com/shop/few-spirits-flaming-lips-brainville-rye-whiskey/,2026-06-27,https://norfolkwineandspirits.com/wp-content/uploads/2022/06/FEW-Lips.jpeg,rye_other_states
Rye,Koval Distillery,"Chicago, IL",Koval Rye Whiskey,own_make,NULL,FALSE,FALSE,"Straight Rye; Single Barrel, Certified Organic",NULL,NULL,NULL,80,40.0,100% organic rye,New charred oak (30-gallon),NULL,https://www.koval-distillery.com/whiskey/rye;https://distiller.com/spirits/koval-single-barrel-rye,2026-06-23,NULL,rye_other_states
