spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Old No. 7 Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey,NAS,NULL,NULL,80,40,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Caramel, vanilla, toasted oak, light fruit, smooth finish",https://www.jackdaniels.com/en-us/whiskey/old-no-7; https://distiller.com/spirits/jack-daniel-s-old-no-7,2026-06-23,https://live-jd24-backend.pantheonsite.io/sites/default/files/2026-04/Old%20No.%207%20DOM.png,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Gentleman Jack Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; ; Gentleman Jack,NAS,NULL,NULL,80,40,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Soft vanilla, caramel, honey, toasted oak, light fruit, very smooth",https://www.jackdaniels.com/en-us/whiskey/gentleman-jack; https://www.breakingbourbon.com/review/jack-daniels-gentleman-jack-tennessee-whiskey,2026-06-23,NULL,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Bonded Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; Bonded,4-year minimum,NULL,NULL,100,50,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Dark caramel, toasted oak, dried fruit, black pepper, richer and more oak-forward than Old No. 7",https://thewhiskeyjug.com/tennessee-whiskey/jack-daniels-bonded-tennessee-whiskey-review/; https://www.grandonelounge.com/blog/jack-daniels-bonded-versus-jack-daniels-old-no-7,2026-06-23,https://live-jd24-backend.pantheonsite.io/sites/default/files/2025-04/bonded%20-%20with%20reflection.png,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Single Barrel Select Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; Single Barrel; Single Barrel Select,NAS,NULL,NULL,94,47,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Rich caramel, baked apple, toasted wood, dried citrus, long spicy finish",https://thewhiskeyramble.com/2024/01/25/just-the-sip-jack-daniels-single-barrel-select-review/,2026-06-23,NULL,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Single Barrel Barrel Proof Tennessee Whiskey,own_make,NULL,FALSE,TRUE,"Tennessee Whiskey; Single Barrel, Cask Strength",NAS,NULL,NULL,NULL,NULL,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Concentrated oak, caramel, dark fruit, spice; barrel-specific variation",https://www.whiskeyinmyweddingring.com/reviews/jack-daniels-single-barrel-barrel-proof; https://specsonline.com/shop/spirits/jack-daniels-single-barrel-barrel-proof-6-case/,2026-06-23,NULL,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Single Barrel Heritage Barrel Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; Single Barrel; Heritage Barrel,7+ years,NULL,NULL,100,50,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak (heavily toasted / lightly charred),NULL,"Soft oak, vanilla, graham cracker nose; rich vanilla, marshmallow, toffee, brown sugar palate; long lingering finish",https://www.businesswire.com/news/home/20250825294884/en/Jack-Daniels-Single-Barrel-Heritage-Barrel-Tennessee-Whiskey-Launches-as-Permanent-Expression; https://www.amongstthewhiskey.com/post/jack-daniel-heritage-barrel-tennessee-whiskey-review-a-fresh-take-on-toasted,2026-06-27,"https://static.wixstatic.com/media/8fd593_606f3612f0d845b195f18f1b91516b00~mv2.jpg/v1/fill/w_1000,h_800,al_c,q_85,usm_0.66_1.00_0.01/8fd593_606f3612f0d845b195f18f1b91516b00~mv2.jpg",tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Sinatra Select Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; ; Sinatra Select,NAS,NULL,NULL,90,45,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak ('Sinatra Barrels' — grooved to increase surface contact),NULL,"Vanilla, clove, toasted wood, dark caramel, black pepper; more complex and oak-forward than Old No. 7",https://distiller.com/spirits/jack-daniel-s-sinatra-select; https://thewhiskeywash.com/reviews/whiskey-review-jack-daniels-sinatra-select/,2026-06-23,https://live-jd24-backend.pantheonsite.io/sites/default/files/2025-04/sinatra%20select%20-%20with%20reflection.png,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's No. 27 Gold Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; ; No. 27 Gold,NAS (~5–7 years total),NULL,NULL,80,40,Corn 80% / Rye 8% / Malted Barley 12%,"New charred American white oak (primary aging); maple wood barrels (finish, 6–12 months)",Maple wood barrel finish,"Distinct maple and honey character; smooth, vanilla, warm caramel, toasted nuts",https://www.jackdaniels.com/en-us/whiskey/limited/no-27-gold; https://www.brownwaterreview.com/home-page/jackdanielsno27gold,2026-06-23,NULL,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Tennessee Whiskey 10-Year-Old,own_make,NULL,FALSE,TRUE,Tennessee Whiskey,10 years,NULL,NULL,97,48.5,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Cooked apple, caramel, cinnamon, molasses, chocolate on finish; more concentrated than younger expressions",https://www.breakingbourbon.com/bourbon-whiskey-press-releases/jack-daniels-introduces-new-batches-of-award-winning-aged-series-tennessee-whiskeys; https://bourbonlens.com/jack-daniels-2024-aged-series-release/,2026-06-23,https://live-jd24-backend.pantheonsite.io/sites/default/files/2026-03/10-Year-Tennessee-Whiskey%20TRANS.png,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Tennessee Whiskey 12-Year-Old,own_make,NULL,FALSE,TRUE,Tennessee Whiskey,12 years,NULL,NULL,107,53.5,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Maple, brown sugar, cinnamon, caramel, dried fruit; deep complexity from extended oak contact",https://www.breakingbourbon.com/bourbon-whiskey-press-releases/jack-daniels-introduces-new-batches-of-award-winning-aged-series-tennessee-whiskeys; https://robbreport.com/food-drink/spirits/jack-daniels-aged-series-10-12-14-year-old-whiskeys-1237716084/,2026-06-23,https://live-jd24-backend.pantheonsite.io/sites/default/files/2026-03/Jack%20Daniel%27s%20Aged12Year.png,tennessee_whiskey
Tennessee Whiskey,Jack Daniel Distillery,"Lynchburg, TN (Moore County)",Jack Daniel's Tennessee Whiskey 14-Year-Old,own_make,NULL,FALSE,TRUE,Tennessee Whiskey,14 years,NULL,NULL,NULL,NULL,Corn 80% / Rye 8% / Malted Barley 12%,New charred American white oak,NULL,"Intense oak, dark caramel, dried fruit, espresso, tobacco; richest expression in the Aged Series",https://pressroom.jackdaniels.com/jack-daniels-introduces-14-year-old-tennessee-whiskey-for-the-first-time-in-over-a-century/; https://thewhiskeywash.com/whiskey-news/jack-daniels-aged-series-2026-new-14-12-10-year-batches/,2026-06-23,https://live-jd24-backend.pantheonsite.io/sites/default/files/2026-03/Jack%20Daniel%27s%20Aged%2014Year.png,tennessee_whiskey
Tennessee Whiskey,Cascade Hollow Distilling Co.,"Tullahoma, TN (Coffee County)",George Dickel No. 8 Tennessee Whisky,own_make,NULL,FALSE,FALSE,Tennessee Whiskey,NAS,NULL,NULL,80,40,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Light corn sweetness, vanilla, mild oak, easy-drinking profile",https://www.georgedickel.com/; https://adventuresinwhiskey.com/2014/08/06/george-dickel-no-8-tennessee-whisky/,2026-06-23,https://images.ctfassets.net/pmptz2pavs5h/2pu2qhmPBLLrVrZW5xcJZe/ada40193219b193400b40797513e3cfc/10GEORGE-DICKEL.webp,tennessee_whiskey
Tennessee Whiskey,Cascade Hollow Distilling Co.,"Tullahoma, TN (Coffee County)",George Dickel No. 12 Tennessee Whisky,own_make,NULL,FALSE,FALSE,Tennessee Whiskey,NAS,NULL,NULL,90,45,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Toasted grain, caramel, dried fruit, mild spice; fuller and more complex than No. 8",https://www.georgedickel.com/; https://spiritsreview.com/reviews/george-dickel-no-12-george-dickel-co/,2026-06-23,https://images.ctfassets.net/pmptz2pavs5h/1Za8WVDs1EkcqASQVMtQa4/7a0294282642b29ce24bbd010a1d02e4/9GEORGE-DICKEL.webp,tennessee_whiskey
Tennessee Whiskey,Cascade Hollow Distilling Co.,"Tullahoma, TN (Coffee County)",George Dickel Barrel Select Tennessee Whisky,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; ; Barrel Select,10–12 years,NULL,NULL,86,43,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Rich caramel, dried fruit, warm spice, toasted oak, long elegant finish",https://www.caskers.com/george-dickel-barrel-select-tennessee-whisky/; https://thewhiskeyjug.com/tennessee-whiskey/george-dickel-barrel-select-tennessee-whisky-review/,2026-06-23,https://images.ctfassets.net/pmptz2pavs5h/1VhwLdik3rknlL1zCJis3l/1ed072d6e8679d256e32ac48042f565a/7GEORGE-DICKEL.webp,tennessee_whiskey
Tennessee Whiskey,Cascade Hollow Distilling Co.,"Tullahoma, TN (Coffee County)",George Dickel Bottled in Bond Tennessee Whisky,own_make,NULL,FALSE,TRUE,Tennessee Whiskey; Bonded; 2019 Release,Age varies by vintage (9–13 years),NULL,NULL,100,50,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Deep caramel, dried apple, cinnamon, toasted grain, balanced oak; Double Gold SFWSC 2024",https://www.thespiritsbusiness.com/2024/05/george-dickel-adds-to-bottled-in-bond-series/; https://www.drinkhacker.com/2024/08/24/review-george-dickel-tennessee-whiskey-bottled-in-bond-12-years-old-2024/; https://bourbonlens.com/george-dickel-bottled-in-bond-2024/,2026-06-23,https://images.ctfassets.net/pmptz2pavs5h/LvXu6mtkwIC2l24lEnSxP/001ad49d5d264f5f0bef1e1574bdebc7/3GEORGE-DICKEL.webp,tennessee_whiskey
Tennessee Whiskey,Nearest Green Distillery,"Shelbyville, TN (Bedford County)",Uncle Nearest 1856 Premium Aged Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; ; 1856 Premium,8–14 years,NULL,NULL,100,50,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Rich caramel, maple, spice, vanilla, brown sugar; full-bodied and complex",https://unclenearest.com/premium-aged-whiskey/; https://unclenearest.reservebar.com/products/uncle-nearest-1856-premium-aged-whiskey; https://www.worldwhiskiesawards.com/winner-whisky/worlds-best-tennessee-whiskey-49985-world-whiskies-awards-2024,2026-06-27,http://unclenearest.reservebar.com/cdn/shop/products/UN1856_750ml_1200x1200.png,tennessee_whiskey
Tennessee Whiskey,Nearest Green Distillery,"Shelbyville, TN (Bedford County)",Uncle Nearest 1884 Small Batch Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey; ; 1884 Small Batch,7+ years,NULL,NULL,93,46.5,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Smooth caramel, vanilla, light spice, apple, toasted oak; approachable and balanced",https://unclenearest.com/1884-small-batch-whiskey/; https://thewhiskeyjug.com/tennessee-whiskey/uncle-nearest-1884-small-batch-whiskey-review/,2026-06-27,https://thewhiskeyjug.com/wp-content/uploads/2022/07/Uncle-Nearest-1884-Small-Batch-Whiskey-Review-e1657246364195.jpg,tennessee_whiskey
Tennessee Whiskey,Nearest Green Distillery,"Shelbyville, TN (Bedford County)",Uncle Nearest 1820 Single Barrel Tennessee Whiskey,own_make,NULL,FALSE,TRUE,Tennessee Whiskey; Single Barrel; 1820,11 years,NULL,NULL,NULL,NULL,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Concentrated caramel, dried fruit, clove, rich oak; intense and barrel-specific",https://whiskyadvocate.com/Uncle-Nearest-1820-Single-Barrel-11-year-old-Tennessee-Whiskey-Barrel-US-1-57-55; https://whiskeyconsensus.com/uncle-nearest-1820-single-barrel-review/,2026-06-28,NULL,tennessee_whiskey
Tennessee Whiskey,Nearest Green Distillery,"Shelbyville, TN (Bedford County)",Uncle Nearest Master Blend Edition Tennessee Whiskey,own_make,NULL,FALSE,TRUE,Tennessee Whiskey; ; Master Blend Edition,Multi-vintage blend,NULL,NULL,111,55.5,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Complex layered caramel, dark fruit, baking spice, toasted oak; exceptional depth",https://www.prnewswire.com/news-releases/uncle-nearest-drops-2025-master-blend-edition---crowned-worlds-best-bourbon-302500090.html; https://craftspiritsmag.com/2025/07/10/uncle-nearest-debuts-2025-master-blend-edition/,2026-06-23,NULL,tennessee_whiskey
Tennessee Whiskey,Nearest Green Distillery,"Shelbyville, TN (Bedford County)",Nearest Green Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Whiskey,NAS,NULL,NULL,84,42,Corn 84% / Rye 8% / Malted Barley 8%,New charred American white oak,NULL,"Butterscotch, vanilla, cinnamon, fresh green apple, stone fruit, lemon zest, subtle tobacco; approachable",https://unclenearest.com/nearest-green-tennessee-whiskey/; https://bourbonlens.com/uncle-nearest-green-label-tennessee-whiskey/,2026-06-23,NULL,tennessee_whiskey
Tennessee Whiskey,Prichard's Distillery,"Kelso, TN (Lincoln County)",Prichard's Tennessee Whiskey,own_make,NULL,FALSE,FALSE,Tennessee Sweet Mash,NAS (reportedly long-aged),NULL,NULL,80,40,NULL,New charred American white oak,NULL,"White corn sweetness, light vanilla, mild spice; pot still character; lighter body than LCP-processed TW",https://en.wikipedia.org/wiki/Benjamin_Prichard%27s_Tennessee_Whiskey; https://whiskyadvocate.com/Benjamin-Prichard-s-Tennessee-Whiskey-40; https://thewhiskeywash.com/american-whiskey/tennessee-whiskey-lincoln-county-process/,2026-06-23,NULL,tennessee_whiskey
