spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,Distillerie Warenghem,"Lannion, France",Armorik,own_make,NULL,FALSE,FALSE,Single Malt; Classic,NAS,NULL,NULL,92,46.0,NULL,Ex-Sherry; ex-Bourbon,NULL,"First Breton single malt; fruity aromas, grain and spices; full-bodied and complex",https://www.masterofmalt.com/whiskies/warenghem/armorik-classic-whisky/;https://www.heavenlyspirits.com/armorik-whisky,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/52170_source_1758884191.jpg,world_whiskey_france
World Whiskey,Distillerie Warenghem,"Lannion, France",Armorik,own_make,NULL,FALSE,FALSE,Single Malt; Small Batch; Chouchenn,NAS,2026,NULL,92,46.0,NULL,NULL,Ex-Chouchenn mead cask,New permanent range addition March 2026; Chouchenn is a Breton honey mead,https://www.thespiritsbusiness.com/2026/04/armorik-chouchenn-whisky-given-permanent-spot/,2026-06-26,https://www.thespiritsbusiness.com/content/uploads/2026/04/Armorik-chouchenn-whisky.png,world_whiskey_france
World Whiskey,Distillerie Warenghem,"Lannion, France",Armorik,own_make,NULL,FALSE,TRUE,Single Malt; Sherry Finish,NAS,NULL,NULL,NULL,NULL,NULL,Ex-Bourbon,Sherry cask,NULL,https://www.heavenlyspirits.com/armorik-whisky;https://www.thewhiskyexchange.com/b/305/armorik-rest-of-the-world-whisky,2026-06-26,NULL,world_whiskey_france
World Whiskey,Distillerie Warenghem,"Lannion, France",WB Warenghem,own_make,NULL,FALSE,FALSE,Blended Malt,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WB Warenghem Breton blended malt; first French whisky from multiple distilleries,https://www.heavenlyspirits.com/armorik-whisky,2026-06-26,http://static1.squarespace.com/static/64c334786bcf8c717da33a4f/t/67f6b3a1dfd8146435b09a9c/1744221089741/Screenshot+2025-03-14+105625.png,world_whiskey_france
World Whiskey,Domaine des Hautes Glaces,"Romans-sur-Isère, France",Hautes Glaces,own_make,NULL,FALSE,FALSE,Single Malt; Indigène,NAS,NULL,NULL,88,44.0,100% organic malted barley (estate-grown),Varies — ceramic vases; stainless steel; glass; ex-wine casks,NULL,150-hour fermentation; wood-fire distilled; organic; Rémy Cointreau portfolio,https://hautesglaces.com/en;https://www.masterofmalt.com/distilleries/,2026-06-26,NULL,world_whiskey_france
World Whiskey,Domaine des Hautes Glaces,"Romans-sur-Isère, France",Hautes Glaces,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask,NAS,NULL,NULL,NULL,NULL,100% organic malted barley,NULL,NULL,Ongoing single cask and limited series exploration; Episteme and R-series releases,https://hautesglaces.com/en/collections/nos-flacons-de-whisky,2026-06-28,NULL,world_whiskey_france
World Whiskey,Distillerie des Menhirs,"Plomelin, France",Eddu,own_make,NULL,FALSE,FALSE,Class TBD; Silver; Pure Buckwheat,NAS,NULL,NULL,86,43.0,100% buckwheat (Bretagne IGP),French ex-Cognac casks,NULL,World's first buckwheat whisky (2002); intense citrus and hazelnut; IGP Whisky de Bretagne,https://www.distillerie.bzh/en/produit/eddu-silver/,2026-06-28,NULL,world_whiskey_france
World Whiskey,Distillerie des Menhirs,"Plomelin, France",Eddu,own_make,NULL,FALSE,FALSE,Class TBD; Grey Rock; Buckwheat-Barley Blend,NAS,NULL,NULL,80,40.0,Barley 70% / Buckwheat 30% (both Brittany-sourced),Ex-Cognac casks,NULL,Original blend: 70% barley whisky + 30% buckwheat whisky; awarded Best Innovation 2005,https://www.distillerie.bzh/en/produit/eddu-grey-rock/,2026-06-26,https://www.distillerie.bzh/wp-content/uploads/2022/02/Eddu-Grey-Rock-v2.jpg,world_whiskey_france
World Whiskey,Distillerie G. Rozelieures,"Rozelieures, France",Rozelieures,own_make,NULL,FALSE,FALSE,Single Malt; Origine Collection,NAS,NULL,NULL,80,40.0,French barley (estate-grown),Ex-Sherry; ex-Cognac,NULL,First whisky produced in Lorraine (2007); sherry and cognac cask maturation,https://whiskyrozelieures.com/en/;https://www.caskers.com/rozelieures-origin-collection-french-single-malt-whisky/,2026-06-26,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/r/o/rozelieures-origin-collection-french-single-malt-whisky_1_1_2.jpg,world_whiskey_france
World Whiskey,Distillerie G. Rozelieures,"Rozelieures, France",Rozelieures,own_make,NULL,FALSE,FALSE,Single Malt; Rare Collection; Sauternes,NAS,NULL,NULL,80,40.0,French barley (estate-grown),Sauternes cask,NULL,Aged in Sauternes wine casks from Lorraine,https://whiskyrozelieures.com/en/;https://www.caskers.com/rozelieures-rare-collection-french-single-malt-whisky/,2026-06-26,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/r/o/rozelieures-rare-collection-french-single-malt-whisky_1_2.jpg,world_whiskey_france
