spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Vermouth,Quady Winery (Vya),"Madera, California, USA",Vya Sweet Vermouth,own_make,NULL,FALSE,FALSE,"Class TBD; sweet; no wormwood (Artemisia-absent, US label)",NULL,NULL,NULL,32,16,"Orange Muscat/Starboard wine base, cinnamon, clove, cardamom, bitter orange (no wormwood)",NULL,NULL,https://vya.com/wine/sweet/; https://www.quadywinery.com/wp-content/uploads/2025/12/VyaSweet-Tech-Sheet.pdf,2026-09-22,NULL,vermouth_united_states
Vermouth,Quady Winery (Vya),"Madera, California, USA",Vya Extra Dry Vermouth,own_make,NULL,FALSE,FALSE,"Class TBD; extra dry; no wormwood (Artemisia-absent, US label)",NULL,NULL,NULL,34,17,"Orange Muscat wine base, angelica, orris, linden, lavender, sage (no wormwood)",NULL,NULL,https://vya.com/wine/extra-dry/; https://www.quadywinery.com/wp-content/uploads/2025/12/VyaExtraDry-Tech-Sheet.pdf,2026-09-22,NULL,vermouth_united_states
Vermouth,Quady Winery (Vya),"Madera, California, USA",Vya Whisper Dry Vermouth,own_make,NULL,FALSE,FALSE,"Class TBD; dry; no wormwood (Artemisia-absent, US label)",NULL,NULL,NULL,34,17,"White wine base, subtle floral and herb botanicals (no wormwood)",NULL,NULL,https://www.quadywinery.com/trade-items/tech-sheets/VyaWhisperDry0717.pdf; https://shopwinedirect.com/andrew-quady-vya-whisper-dry-vermouth-750ml.html,2026-09-22,NULL,vermouth_united_states
Vermouth,Atsby Vermouth,"New York, New York, USA",Atsby Amberthorn,own_make,NULL,FALSE,FALSE,Ámbar; off-dry,NULL,NULL,NULL,32,16,"New York white wine base, wormwood, caramelized turbinado, botanicals",NULL,NULL,https://www.saq.com/en/12708794; https://atsbyvermouth.com/our-vermouths/amberthorn/,2026-09-22,NULL,vermouth_united_states
Vermouth,Atsby Vermouth,"New York, New York, USA",Atsby Armadillo Cake,own_make,NULL,FALSE,FALSE,Ámbar; sweet,NULL,NULL,NULL,32,16,"New York white wine base, wormwood, brandy, vanilla, baking spice",NULL,NULL,https://goodspiritsnews.wordpress.com/2012/12/19/gsn-review-atsby-vermouth/; https://atsbyvermouth.com/our-vermouths/armadillo-cake/,2026-09-22,NULL,vermouth_united_states
Vermouth,Imbue Cellars,"Sublimity, Oregon, USA",Imbue Bittersweet Vermouth,own_make,NULL,FALSE,FALSE,Rosato,NULL,NULL,NULL,33,16.5,"Oregon Pinot Gris wine base, wormwood, hops, gentian, botanicals",NULL,NULL,https://shop.klwines.com/products/details/1088834,2026-09-22,NULL,vermouth_united_states
Vermouth,Imbue Cellars,"Sublimity, Oregon, USA",Imbue Petal & Thorn,own_make,NULL,FALSE,FALSE,Bianco,NULL,NULL,NULL,34,17,"Oregon white wine base, wormwood, rose, floral and herb botanicals",NULL,NULL,https://shop.klwines.com/products/details/1108564,2026-09-22,NULL,vermouth_united_states
Vermouth,Sutton Cellars,"Sonoma, California, USA",Sutton Cellars Brown Label Vermouth,own_make,NULL,FALSE,FALSE,Ámbar; dry,NULL,NULL,NULL,34,17,"California white wine base, wormwood, citrus, herb botanicals",NULL,NULL,http://suttoncellars.com/on-the-bar/; https://kindredcocktails.com/ingredient/sutton-cellars-brown-label,2026-09-22,NULL,vermouth_united_states
Vermouth,Channing Daughters Winery,"Bridgehampton, Long Island, New York, USA",Channing Daughters Vermouth,own_make,NULL,FALSE,FALSE,Bianco,NULL,NULL,NULL,34,17,"Long Island white wine base, wormwood, foraged and garden botanicals",NULL,NULL,https://www.channingdaughters.com/,2026-06-27,NULL,vermouth_united_states
Vermouth,Uncouth Vermouth,"Brooklyn, New York, USA",Uncouth Vermouth Apple Mint,own_make,NULL,FALSE,FALSE,Class TBD; no added sugar; wormwood-free craft (Artemisia-absent),NULL,NULL,NULL,32,16,"New York white wine base, seasonal apple and mint, local botanicals (no wormwood)",NULL,NULL,https://www.diffordsguide.com/beer-wine-spirits/category/52/vermouth,2026-06-28,NULL,vermouth_united_states
