spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Platinum,own_make,,FALSE,FALSE,Vodka; Grain; Platinum,NAS,,,80.0,40.0,Grain,,,"Flagship of the Khortytsa line; described as a clean, smooth grain vodka, the brand's most awarded expression.",https://en.khortytsa.com/products; https://en.khortytsa.com/products/platinum,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa De Luxe,own_make,,FALSE,FALSE,Vodka; Grain; De Luxe,NAS,,,80.0,40.0,Grain,,,Elite VIP-class vodka described by the producer as a masterpiece for vodka enthusiasts.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/de-luxe,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Premium,own_make,,FALSE,FALSE,Vodka; Grain; Premium,NAS,,,80.0,40.0,Grain,,,Premium vodka for those who appreciate pure classic vodka taste and impeccable quality.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/premium,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Ice,own_make,,FALSE,FALSE,Vodka; Grain; Ice,NAS,,,80.0,40.0,Grain,,,Classic vodka for those who appreciate traditional taste and pure aroma; color-changing bottle.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/ice,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Silver Ice,own_make,,FALSE,FALSE,Vodka; Grain; Silver Ice,NAS,,,80.0,40.0,Grain,,,"Vodka of special softness, light aroma and a fresh cool aftertaste.",https://en.khortytsa.com/products; https://en.khortytsa.com/products/silver-ice,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Silver Cool,own_make,,FALSE,FALSE,"Vodka; Grain, Mint Flavored; Silver Cool",NAS,,,80.0,40.0,Grain,,,A special vodka with added mint and menthol for ease of drinking.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/silver,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Classic,own_make,,FALSE,FALSE,Vodka; Grain; Classic,NAS,,,80.0,40.0,Grain,,,A perfect classic vodka with traditional taste and pure aroma.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/classic,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Pepper and Honey,own_make,,FALSE,FALSE,"Vodka; Grain, Pepper Flavored, Honey Flavored; Pepper and Honey",NAS,,,80.0,40.0,Grain,,,"An exquisite combination of red pepper and natural fragrant honey. Flavoured vodka at 40% ABV (IN scope, not a sweetened liqueur).",https://en.khortytsa.com/products; https://en.khortytsa.com/products/pepper-honey,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa Black & Gold,own_make,,FALSE,FALSE,Vodka; Grain; Black & Gold,NAS,,,80.0,40.0,Grain,,,Premium design vodka aimed at connoisseurs of exquisite taste and absolute quality.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/black-gold,2026-06-28,NULL,vodka_ukraine
Vodka,Khortytsa Distillery (Global Spirits),"Zaporizhzhia, Ukraine",Khortytsa White & Gold,own_make,,FALSE,FALSE,Vodka; Grain; White & Gold,NAS,,,80.0,40.0,Grain,,,Premium-design vodka in the Khortytsa gold sub-range.,https://en.khortytsa.com/products; https://en.khortytsa.com/products/white-gold,2026-06-28,NULL,vodka_ukraine
