spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Vermouth,Noilly Prat,"Marseillan, Languedoc, France",Noilly Prat Original Dry,own_make,NULL,FALSE,FALSE,Bianco; Extra Dry,NULL,NULL,NULL,36,18,"Picpoul and Clairette wine base, wormwood, 20 botanicals, oak-aged outdoors",Oak cask,NULL,"The benchmark French dry: lemon, chamomile and saline minerality from outdoor oak ageing; bone dry, the classic martini vermouth.",https://www.noillyprat.com/,2026-06-27,NULL,vermouth_france
Vermouth,Noilly Prat,"Marseillan, Languedoc, France",Noilly Prat Ambré,own_make,NULL,FALSE,FALSE,Ámbar,NULL,NULL,NULL,32,16,"White wine base, wormwood, nutmeg, cinnamon, orange peel",Oak cask,NULL,"Amber and spiced: nutmeg, cinnamon and bitter orange over an oxidative oaked-wine base; off-dry.",https://www.noillyprat.com/,2026-06-27,NULL,vermouth_france
Vermouth,Noilly Prat,"Marseillan, Languedoc, France",Noilly Prat Rouge,own_make,NULL,FALSE,FALSE,Rosso,NULL,NULL,NULL,32,16,"Wine base, wormwood, saffron, bitter herbs, caramel",Oak cask,NULL,"A drier French take on the sweet red: dried fig and saffron with a firm, herb-bitter, less-sugary finish.",https://www.noillyprat.com/,2026-06-27,NULL,vermouth_france
Vermouth,Dolin,"Chambéry, Savoie, France",Dolin Vermouth de Chambéry Dry,own_make,NULL,FALSE,FALSE,Bianco; Extra Dry; Vermouth de Chambéry PGI,NULL,NULL,NULL,35,17.5,"Savoie alpine white wine base, wormwood, mountain herbs",NULL,NULL,"Delicate and alpine: white flowers, citrus and subtle herb over a light, dry, mineral wine base.",https://www.dolin.fr/en/,2026-06-28,NULL,vermouth_france
Vermouth,Dolin,"Chambéry, Savoie, France",Dolin Vermouth de Chambéry Blanc,own_make,NULL,FALSE,FALSE,Bianco; Vermouth de Chambéry PGI,NULL,NULL,NULL,32,16,"Alpine white wine base, wormwood, vanilla, alpine flowers",NULL,NULL,"Sweeter than the Dry but still elegant: vanilla, honey and mountain flowers with a soft bitter lift.",https://www.dolin.fr/en/,2026-06-28,NULL,vermouth_france
Vermouth,Dolin,"Chambéry, Savoie, France",Dolin Vermouth de Chambéry Rouge,own_make,NULL,FALSE,FALSE,Rosso; Vermouth de Chambéry PGI,NULL,NULL,NULL,32,16,"Wine base, wormwood, alpine herbs, caramel",NULL,NULL,"Lighter, more delicate red than the Italians: red fruit and herb with restrained sweetness and a clean bitter close.",https://www.dolin.fr/en/,2026-06-28,NULL,vermouth_france
Vermouth,Dolin,"Chambéry, Savoie, France",Dolin Chambéryzette,own_make,NULL,FALSE,FALSE,Rosato; Chambéryzette strawberry style,NULL,NULL,NULL,32,16,"Alpine wine base, wormwood, wild strawberry, alpine herbs",NULL,NULL,The classic strawberry-scented Chambéry sub-style: wild-strawberry sweetness over a gentle wormwood-herb base.,https://www.dolin.fr/en/,2026-06-27,NULL,vermouth_france
Vermouth,Distillerie Routin,"Chambéry, Savoie, France",Routin Original Rouge,own_make,NULL,FALSE,FALSE,Rosso; Vermouth de Chambéry PGI,NULL,NULL,NULL,32,16,"Savoie wine base, wormwood, alpine plants, caramel",NULL,NULL,"Mountain sweet red: dried fruit and alpine herb with a balanced, moderately sweet bitter finish.",https://www.routin.com/,2026-06-27,NULL,vermouth_france
Vermouth,Distillerie Routin,"Chambéry, Savoie, France",Routin Original Blanc,own_make,NULL,FALSE,FALSE,Bianco; Vermouth de Chambéry PGI,NULL,NULL,NULL,32,16,"Savoie white wine base, wormwood, vanilla, alpine flowers",NULL,NULL,"Sweet alpine white: vanilla, citrus and herb with a delicate bitterness.",https://www.routin.com/,2026-06-27,NULL,vermouth_france
Vermouth,Distillerie Routin,"Chambéry, Savoie, France",Routin Original Dry,own_make,NULL,FALSE,FALSE,Bianco; Extra Dry; Vermouth de Chambéry PGI,NULL,NULL,NULL,34,17,"Savoie white wine base, wormwood, alpine herbs, citrus",NULL,NULL,"Crisp Chambéry dry: lemon and alpine herb over a lean, lightly bitter palate.",https://www.routin.com/,2026-06-27,NULL,vermouth_france
