spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
American Single Malt,Westland Distillery,"Seattle, WA",Westland Flagship,own_make,,FALSE,FALSE,American Single Malt,,,,92,46.0,Westland Signature Five Malt (Munich; Extra Special; Brown; Pale Chocolate; WA Select Pale); lightly peated malt component,New American Oak (Cooper's Select & Cooper's Reserve); Oloroso Sherry Casks; First-Fill Ex-Bourbon,,https://westlanddistillery.com/products/westland-american-single-malt-flagship; https://whiskyadvocate.com/Westland-Flagship-46,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Wine Cask Finish,own_make,,FALSE,FALSE,American Single Malt; ; Cask Exploration Series,,,,92,46.0,Westland Signature Five Malt,First & Second Fill American Oak,WA Cabernet Sauvignon; Syrah; WA Red Blend,https://westlanddistillery.com/products/cask-exploration-wine-cask; https://whiskyadvocate.com/Westland-Cask-Exploration-Wine-Cask-Finished-Batch-1-46,2026-06-27,http://whiskyadvocate.com/get/files/image/galleries/westland-wine-cask_300.png,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Beer Cask Finish,own_make,,FALSE,FALSE,American Single Malt; ; Cask Exploration Series,,,,92,46.0,Westland Signature Five Malt,First & Second Fill American Oak,Saison; Stout; Scotch Ale; Doppelbock Beer Casks,https://westlanddistillery.com/products/cask-exploration-beer-cask; https://whiskyadvocate.com/Westland-Cask-Exploration-Beer-Cask-Finished-Batch-1-46,2026-06-27,http://whiskyadvocate.com/get/files/image/galleries/westland-beer-cask_300.png,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Solum Edition 3,own_make,,FALSE,FALSE,American Single Malt; ; Outpost Range,4 Years,,,100,50.0,100% WA State Peated Malt (Olympic Peninsula peat),New American Oak; Refill Westland Casks,,https://westlanddistillery.com/products/solum-edition-3,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Garryana 9th Edition,own_make,,FALSE,FALSE,American Single Malt; ; Outpost Range,5 Years,,,100,50.0,,Virgin Garry Oak; First-Fill Ex-Bourbon; First-Fill Oloroso Sherry Butts,,https://distiller.com/spirits/westland-garryana-edition-9; https://whiskyadvocate.com/Westland-Outpost-Range-Garryana-9th-Edition-50,2026-06-27,http://whiskyadvocate.com/get/files/image/galleries/Westland-Outpost-Range-Garryana_300.png,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Garryana 10th Edition,own_make,,FALSE,FALSE,American Single Malt; ; Outpost Range,10 Years,,,100,50.0,Westland Signature Five Malt + Washington Pale Malts,First & Second Fill Garry Oak,Pedro Ximénez Hogshead; Rum Casks; Ex-Bourbon Barrels,https://westlanddistillery.com/products/garryana; https://breakingbourbon.com/review/westland-garryana-10th-edition-american-single-malt,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/6904b81afcb7fba31ded8f51_westland-garryana-10th-edition-american-single-malt-01.jpg,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Colere Edition 4,own_make,,FALSE,FALSE,American Single Malt; ; Outpost Range,,,,100,50.0,Fritz barley (NZ-151; WSU Bread Lab),Refill Westland Casks (light char; heavy toast; heavy toast with light char),,https://westlanddistillery.com/products/westland-colere-4th-edition; https://distiller.com/spirits/westland-colere-edition-4,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Garryana 7th Edition,own_make,,FALSE,FALSE,American Single Malt; ; Outpost Range,,,,100,50.0,,Garry Oak,WA Syrah; WA Cabernet Sauvignon,https://distiller.com/spirits/westland-garryana-edition-7; https://whiskyadvocate.com/Westland-Garryana-7th-Edition-50,2026-06-27,http://whiskyadvocate.com/get/files/image/galleries/westland-garryana-7-edition-2023-(1)_300.jpg,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland American Oak,own_make,,FALSE,FALSE,American Single Malt,,,,92,46.0,Westland Signature Five Malt (Munich; Extra Special; Brown; Pale Chocolate; WA Select Pale),New American Oak (Cooper's Select & Cooper's Reserve); First-Fill Ex-Bourbon,,https://www.thewhiskyexchange.com/p/34455/westland-american-oak-single-malt,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Winter 2025,own_make,,FALSE,FALSE,American Single Malt,8 Years,2025,,92,46.0,80% WA Pale Malt; 20% Heavily Peated Scottish Malt,2nd Fill Cooper's Select Barrels (80%); 1st Fill Port Casks (20%),,https://westlanddistillery.com/blogs/news/winter-returns-a-whiskey-born-from-creative-freedom,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Peat Week 2026 – Augustus MacHuff,own_make,,FALSE,FALSE,American Single Malt; ; Peat Week,,2026,,100,50.0,Westland Signature Five Malt + Heavily Peated Scottish (imported) Malt,Ex-Bourbon Barrels; Oloroso Sherry Casks,,https://westlanddistillery.com/products/peat-week-2026-augustus-machuff,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Peat Week 2026 – Mossfire Mason,own_make,,FALSE,FALSE,American Single Malt; ; Peat Week,,2026,,,,WA State Peated Malt (Olympic Peninsula peat; WA-grown),,,https://westlanddistillery.com/products/peat-week-2026-mossfire-mason,2026-06-23,NULL,american_single_malt_pacific_northwest
American Single Malt,Westland Distillery,"Seattle, WA",Westland Single Cask Program,own_make,,FALSE,TRUE,American Single Malt,,,,,,,New American Oak (varies by cask selection),,https://westlanddistillery.com/collections/american-single-malt-whiskey,2026-06-23,NULL,american_single_malt_pacific_northwest
