spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Brandy,Stock,"Trieste, Italy",Stravecchio,own_make,NULL,FALSE,FALSE,Brandy; Stock 84,NAS,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,Mellow and smooth grape brandy distilled from Trebbiano; oak-aged.,https://www.thewhiskyexchange.com/p/24870/stock-84-original-brandy; https://theliquorbarn.com/products/stock-84-riserva-brandy-750ml,2026-06-26,NULL,brandy_italy
Brandy,Stock,"Trieste, Italy",Stravecchio,own_make,NULL,FALSE,FALSE,Brandy; Stock 84 Riserva VSOP,NAS,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,Oak-aged grape brandy made exclusively from Trebbiano grapes.,https://theliquorbarn.com/products/stock-84-riserva-brandy-750ml; https://www.b-21.com/Stock-84-Brandy/productinfo/LBRASTOCAE/,2026-06-26,http://theliquorbarn.com/cdn/shop/files/Stock84RiservaBrandy750ML.webp,brandy_italy
Brandy,Vecchia Romagna,"Bologna, Italy",Vecchia Romagna,own_make,NULL,FALSE,FALSE,Brandy; Etichetta Nera,3 Years,NULL,NULL,76.0,38.0,NULL,Small oak casks,NULL,"Distilled from Trebbiano (Ugni Blanc); double-distilled, aged in small oak casks for a total of 3 years.",https://www.thewhiskyexchange.com/p/8439/vecchia-romagna-etichetta-nera-brandy; https://www.masterofmalt.com/distilleries/vecchia-romagna/; https://www.lcbo.com/en/vecchia-romagna-etichetta-nera-brandy-286807,2026-06-26,NULL,brandy_italy
Brandy,Vecchia Romagna,"Bologna, Italy",Vecchia Romagna,own_make,NULL,FALSE,FALSE,Brandy; Etichetta Bianca,NAS,NULL,NULL,76.0,38.0,NULL,NULL,NULL,NULL,https://www.masterofmalt.com/distilleries/vecchia-romagna/,2026-06-26,NULL,brandy_italy
Brandy,Vecchia Romagna,"Bologna, Italy",Vecchia Romagna,own_make,NULL,FALSE,FALSE,Brandy; Etichetta Oro,NAS,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,NULL,https://www.masterofmalt.com/distilleries/vecchia-romagna/,2026-06-26,NULL,brandy_italy
Brandy,Vecchia Romagna,"Bologna, Italy",Vecchia Romagna,own_make,NULL,FALSE,FALSE,Brandy; Riserva 10,10 Years,NULL,NULL,80.0,40.0,NULL,Limousin oak casks,NULL,Aged a minimum of ten years in Limousin casks; distilled from Trebbiano.,https://www.thewhiskyexchange.com/p/13754/vecchia-romagna-10-year-old-riserva-brandy; https://www.finedrams.com/vecchia-romagna-10-year-old-brandy.html,2026-06-26,NULL,brandy_italy
Brandy,Vecchia Romagna,"Bologna, Italy",Vecchia Romagna,own_make,NULL,FALSE,FALSE,Brandy; Riserva 15 Rara,15 Years,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,Riserva Rara aged 15 years; distilled from Trebbiano.,https://www.masterofmalt.com/distilleries/vecchia-romagna/,2026-06-26,NULL,brandy_italy
Brandy,Nonino,"Percoto, Italy",Nonino,own_make,NULL,FALSE,FALSE,Pomace Brandy; Monovitigno; Lo Chardonnay (bianco),NAS,NULL,NULL,82.0,41.0,NULL,NULL,NULL,Single-variety (Monovitigno) grappa from fresh Chardonnay pomace; unaged white version.,https://www.grappanonino.it/grappa/lo-chardonnay-bianco/; https://www.thebarreltap.com/products/nonino-grappa-lo-chardonnay-di-nonino-monovitigno,2026-06-26,http://www.thebarreltap.com/cdn/shop/files/NoninoGrappaLoChardonnayDiNoninoMonovitigno750mL.webp,brandy_italy
Brandy,Nonino,"Percoto, Italy",Nonino,own_make,NULL,FALSE,FALSE,Pomace Brandy; Monovitigno; Lo Chardonnay aged 12 months in barriques,NAS,NULL,NULL,82.0,41.0,NULL,Barriques,NULL,Single-variety Chardonnay grappa aged 12 months in barriques.,https://www.grappanonino.it/en/grappa-en/lo-chardonnay-in-barriques-12-months/; https://whiskyandwhiskey.com/products/nonino-grappa-lo-chardonnay-di-nonino-monovitigno,2026-06-26,http://whiskyandwhiskey.com/cdn/shop/files/nonino-grappa-lo-chardonnay-di-nonino-monovitigno__001_76af9a6d-175a-4878-ade6-19452e674b3b.jpg,brandy_italy
Brandy,Nonino,"Percoto, Italy",Nonino,own_make,NULL,FALSE,FALSE,Pomace Brandy; I Vigneti; Monovitigno Il Moscato,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Single-variety Moscato grappa from the I Vigneti range.,https://www.caskers.com/nonino-grappa-i-vigneti-monovitigno-il-moscato/; https://www.grappanonino.it/en/grappa-en/,2026-06-26,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/n/o/nonino-grappa-i-vigneti-monovitigno-il-moscato_1_1.jpg,brandy_italy
