spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Anise Spirits,Ouzo Plomari Isidoros Arvanitis,"Plomari, Lesvos, Greece",Ouzo of Plomari,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,80,40,NULL,NULL,NULL,"Slow-distilled in handmade copper stills, heart-cut; Lisvori aniseed, fennel and Chios mastic with spring water; sweet green anise with a touch of spice.",https://www.thewhiskyexchange.com/p/26816/plomari-ouzo-isidoros-arvanitis; https://www.masterofmalt.com/liqueurs/isidoros-azvanitis/isidoros-arvanitis-ouzo-of-plomari-liqueur/,2026-06-27,https://img.thewhiskyexchange.com/540/liq_ouz5.jpg,anise_spirits_greece
Anise Spirits,Ouzo Plomari Isidoros Arvanitis,"Plomari, Lesvos, Greece",Ouzo Plomari Adolo,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,84,42,NULL,NULL,NULL,100% triple distillate; 'adolo' (the heart of the distillation) run for 13 hours in a 1911 copper still; over 15 botanicals; premium expression.,https://selectedbrands-co.com/en/aniseed-2/adolo,2026-06-27,NULL,anise_spirits_greece
Anise Spirits,Varvayannis (Barbayanni),"Plomari, Lesvos, Greece",Barbayanni Blue Label,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,92,46,NULL,NULL,NULL,"The historic flagship; 100% distilled, classic full-bodied anise style.",https://www.greekgastronomyguide.gr/en/item/ouzo-barbayanni-plomari-lesvos/; https://expotrofonline.gr/en/product/1564/varvagianni-mple,2026-06-27,https://www.greekgastronomyguide.gr/wp-content/uploads/2016/03/ouzo-barbayanni-plomari-lesvos-DSC_5785.jpg,anise_spirits_greece
Anise Spirits,Varvayannis (Barbayanni),"Plomari, Lesvos, Greece",Barbayanni Green Label,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,84,42,NULL,NULL,NULL,"Created 1997; softer, milder style.",https://www.greekgastronomyguide.gr/en/item/ouzo-barbayanni-plomari-lesvos/,2026-06-27,NULL,anise_spirits_greece
Anise Spirits,Varvayannis (Barbayanni),"Plomari, Lesvos, Greece",Barbayanni Evzon,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,94,47,NULL,NULL,NULL,Traditional aperitif label produced since 1950; high-strength.,https://www.greekgastronomyguide.gr/en/item/ouzo-barbayanni-plomari-lesvos/,2026-06-27,NULL,anise_spirits_greece
Anise Spirits,Varvayannis (Barbayanni),"Plomari, Lesvos, Greece",Barbayanni Aphrodite,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,96,48,NULL,NULL,NULL,"Created 1962; rich, mature taste built from the finest fraction of multiple distillations.",https://www.greekgastronomyguide.gr/en/item/ouzo-barbayanni-plomari-lesvos/; https://expotrofonline.gr/en/product/1569/varvagianni-afroditi,2026-06-27,NULL,anise_spirits_greece
Anise Spirits,Pitsiladi,"Plomari, Lesvos, Greece",Ouzo Pitsiladi,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Mytilene,NULL,NULL,NULL,80,40,NULL,NULL,NULL,"Small-batch copper-still ouzo, anise and cereal seeds soaked in seawater, no added sugar; friendly, aromatic.",https://www.greek-e-foodmarket.com/ouzo-plomari-pitsiladi-700.html; https://www.greekgastronomyguide.gr/en/item/ouzo-pitsiladi-plomari-lesvos/,2026-06-27,https://www.greek-e-foodmarket.com/images/detailed/8/Pitsiladi_7004site.jpg,anise_spirits_greece
Anise Spirits,EPOM,"Mytilene, Lesvos, Greece",Ouzo Mini,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Mytilene,NULL,NULL,NULL,80,40,NULL,NULL,NULL,Flagship of the EPOM Mytilene distillers' union; copper-still distillate with Lisvori anise and Chios mastic.,https://www.greekgastronomyguide.gr/en/item/ouzo-mini-epom-lesvos/; https://www.diffordsguide.com/beer-wine-spirits/2376/mini-ouzo,2026-06-28,NULL,anise_spirits_greece
Anise Spirits,Giannatsis,"Plomari, Lesvos, Greece",Ouzo Giannatsi Plomari,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,80,40,NULL,NULL,NULL,Traditional Plomari ouzo.,https://www.shop-kreta.de/ouzo-giannatsi-plomari-40,2026-06-27,NULL,anise_spirits_greece
Anise Spirits,Giannatsis,"Plomari, Lesvos, Greece",Ouzo Giannatsi Plomari Premium,own_make,NULL,FALSE,FALSE,Ouzo; Ouzo of Plomari,NULL,NULL,NULL,90,45,NULL,NULL,NULL,Premium higher-strength Plomari expression.,https://www.ouzoland.de/ouzo-giannatsi-plomari-premium-45-07l.html,2026-06-27,https://www.ouzoland.de/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/o/u/ouzo-giannatsi-plomari-premium-dry-45-07l.webp,anise_spirits_greece
