spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Maison Ferrand,Barbados/Jamaica/Trinidad (blend),Planteray,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; 3 Stars,NAS,NULL,NULL,82.4,41.2,NULL,Ex-bourbon,French oak (Ferrand),https://planterayrum.com/product/three-stars/; https://www.amazon.co.uk/Planteray-Percent-Barbados-Jamaica-Trinidad/dp/B008YU2VXW,2026-06-08,NULL,rum_multi_origin
Rum,Maison Ferrand,Trinidad/Jamaica/Barbados (blend),Planteray,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; Original Dark,NAS,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,French oak (Ferrand) double-aged,https://planterayrum.com/product/original-dark/; https://www.masterofmalt.com/rum/planteray/planteray-original-dark-double-aged-rum/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/24896_source_1782379235.jpg,rum_multi_origin
Rum,Pusser's,Guyana/Trinidad (blend),Pusser's,blended,NULL,FALSE,FALSE,Blended Rum; Aged; Blue Label Aged 3 Years,3 Years,NULL,NULL,80.0,40.0,NULL,Charred ex-bourbon,NULL,https://www.houseofmalt.co.uk/product/pussersrum/; https://shop.pussersrum.com/collections/award-winning-pussers-rum,2026-06-08,NULL,rum_multi_origin
Rum,Pusser's,Guyana/Trinidad (blend),Pusser's,blended,NULL,FALSE,FALSE,Blended Rum; Overproof; Gunpowder Proof Black Label,3 Years,NULL,NULL,109.0,54.5,NULL,Charred ex-bourbon,NULL,https://shop.pussersrum.com/products/gunpowder-proof; https://www.masterofmalt.com/rum/pussers/pussers-gunpowder-proof-black-label-rum/,2026-06-26,http://shop.pussersrum.com/cdn/shop/files/Gunpowder-1000x1000-0624_1200x1200.jpg,rum_multi_origin
Rum,Pusser's,Guyana/Trinidad (blend),Pusser's,blended,NULL,FALSE,FALSE,Blended Rum; Extra Aged; Aged 15 Years,15 Years,NULL,NULL,80.0,40.0,NULL,Charred ex-bourbon,NULL,https://pussersrum.com/blogs/press/pussers-gunpowder-proof-and-aged-15-years-take-home-double-gold-at-san-francisco-world-spirits-competition,2026-06-26,http://pussersrum.com/cdn/shop/articles/SF_article_square_1200x630.png,rum_multi_origin
Rum,Banks,Multiple (5-region Caribbean/Asia blend),Banks,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; 5 Island,NAS,NULL,NULL,86.0,43.0,NULL,NULL,NULL,https://www.agedrums.com/brands/banks-rum/,2026-06-28,NULL,rum_multi_origin
Rum,Banks,Multiple (Barbados/Guatemala/Guyana/Jamaica/Panama/Trinidad/Java blend),Banks,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; 7 Golden Age,NAS,NULL,NULL,86.0,43.0,NULL,NULL,NULL,https://www.thewhiskyexchange.com/p/16972/banks-7-golden-age-rum; https://www.htfw.com/banks-7-golden-age-rum,2026-06-08,NULL,rum_multi_origin
Rum,Black Tot (Elixir Distillers),Multiple (Caribbean Navy blend),Black Tot,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; Original,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://blacktot.com/our-rums/,2026-06-08,NULL,rum_multi_origin
Rum,Black Tot (Elixir Distillers),Multiple (Royal Navy stock blend),Black Tot,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; Last Consignment,NAS,NULL,NULL,NULL,NULL,NULL,Stone flagons / oak,NULL,https://blacktot.com/our-rums/,2026-06-08,NULL,rum_multi_origin
Rum,Black Tot (Elixir Distillers),Multiple (Caribbean Navy blend),Black Tot,blended,NULL,FALSE,FALSE,Blended Rum; Multi-Origin; 50th Anniversary,NAS,2020,NULL,109.0,54.5,NULL,NULL,NULL,https://www.kensingtonwinemarket.com/product/843894/black-tot-50th-anniversary-tasting-pack,2026-06-08,NULL,rum_multi_origin
