spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
World Whiskey,Mackmyra Whisky,"Valbo, Sweden",Mackmyra,own_make,NULL,FALSE,FALSE,Single Malt; Brukswhisky,NAS,NULL,NULL,82.2,41.1,NULL,Swedish oak; bourbon; ex-wine casks,NULL,Core expression; NOTE: Mackmyra Svensk Whisky AB filed for bankruptcy August 2024,https://mackmyra.com/;https://www.masterofmalt.com/distilleries/mackmyra-distillery/,2026-06-26,NULL,world_whiskey_sweden
World Whiskey,Mackmyra Whisky,"Valbo, Sweden",Mackmyra,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Svensk Rök,NAS,NULL,NULL,92.2,46.1,NULL,Swedish oak; bourbon,Peat-smoked malt,Swedish Smoke; peated expression,https://mackmyra.com/;https://nickollsandperks.com/p/mackmyra-svensk-rok-103357111211/,2026-06-26,https://nickollsandperks-21644.kxcdn.com/wp-content/uploads/2023/11/10621667_square.jpg,world_whiskey_sweden
World Whiskey,Mackmyra Whisky,"Valbo, Sweden",Mackmyra Moment,own_make,NULL,FALSE,FALSE,Single Malt; Brukswhisky DLX,NAS,NULL,NULL,93.2,46.6,NULL,Bourbon; Oloroso; Swedish virgin oak,NULL,"9-14yr; limited to 1,999 units; Moment series premium release",https://mackmyra.com/;https://www.whiskyliquorstore.com/166592/,2026-06-28,NULL,world_whiskey_sweden
World Whiskey,Mackmyra Whisky,"Valbo, Sweden",Mackmyra Moment,own_make,NULL,FALSE,TRUE,Single Malt; Cask Strength,NAS,NULL,NULL,NULL,NULL,NULL,Varies by release,NULL,Ongoing Moment series from handpicked casks; Virvelind 46.8% ABV,https://mackmyra.com/,2026-06-26,http://static1.squarespace.com/static/67bee4eb0c058a7256135c6d/t/67bee725766c9427c53830ee/1740564261127/Mackmyra_Logo.png,world_whiskey_sweden
World Whiskey,High Coast Distillery,"Bjärtrå, Sweden",High Coast,own_make,NULL,FALSE,FALSE,Single Malt; Älv,NAS,NULL,NULL,92,46.0,NULL,Ex-bourbon; Swedish oak; Hungarian oak,NULL,Origins series; Älv = river; lightest expression; ~6yr average,https://www.highcoastwhisky.se/;https://www.whiskynotes.be/2025/world/high-coast-alv-hav-timmer-berg/,2026-06-28,NULL,world_whiskey_sweden
World Whiskey,High Coast Distillery,"Bjärtrå, Sweden",High Coast,own_make,NULL,FALSE,FALSE,Single Malt; Hav,NAS,NULL,NULL,96,48.0,NULL,Ex-bourbon; Swedish Quercus Robur; Hungarian Quercus Petraea,NULL,Origins series; Hav = sea; oak spice; ~6.26yr average,https://www.highcoastwhisky.se/;https://www.whiskynotes.be/2025/world/high-coast-alv-hav-timmer-berg/,2026-06-28,NULL,world_whiskey_sweden
World Whiskey,High Coast Distillery,"Bjärtrå, Sweden",High Coast,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Timmer,NAS,NULL,NULL,96,48.0,NULL,First fill bourbon,NULL,Origins series; Timmer = timber; peat smoke; ~6yr; forest/wood theme,https://www.highcoastwhisky.se/;https://www.masterofmalt.com/whiskies/high-coast-distillery/high-coast-timmer-peat-smoke-whisky/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/4914_source_1782220247.jpg,world_whiskey_sweden
World Whiskey,High Coast Distillery,"Bjärtrå, Sweden",High Coast,own_make,NULL,FALSE,FALSE,Single Malt; Berg,NAS,NULL,NULL,100,50.0,NULL,Ex-bourbon,First fill PX Sherry,Origins series; Berg = mountain; Pedro Ximénez Sherry finish,https://www.highcoastwhisky.se/;https://www.kensingtonwinemarket.com/product/842562,2026-06-26,NULL,world_whiskey_sweden
World Whiskey,High Coast Distillery,"Bjärtrå, Sweden",High Coast,own_make,NULL,FALSE,TRUE,Single Malt; Single Cask; Cask Strength,NAS,NULL,NULL,NULL,NULL,NULL,Varies by cask,NULL,NULL,https://www.highcoastwhisky.se/,2026-06-26,https://www.highcoastwhisky.se/images/OG.png,world_whiskey_sweden
World Whiskey,Smögen Distillery,"Hunnebostrand, Sweden",Smögen,own_make,NULL,FALSE,FALSE,Single Malt; Peated; Cask Strength; Primör,NAS,NULL,NULL,127.4,63.7,100% malted barley (45 ppm peated),European oak; ex-Bordeaux wine,NULL,First release (2013); peated 45 ppm; European oak + Bordeaux wine casks,https://www.masterofmalt.com/distilleries/smogen-spirits-distillery/;https://malt-review.com/2014/09/17/smogen-primor-svensk-single-malt-whisky/,2026-06-26,NULL,world_whiskey_sweden
