spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Original,own_make,,FALSE,FALSE,Wheat Whiskey,7 Years,,,90,45.0,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Bright Amber; Aroma: Mildly sweet, hints of vanilla and honey; Taste: Hints of toffee, berries, and spice; Finish: Toasted oak, elegant and warm",https://heavenhilldistillery.com/bernheim-straight-wheat-whiskey.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Barrel Proof,own_make,,FALSE,FALSE,Wheat Whiskey,NAS,,A223,118.8,59.4,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Mahogany; Aroma: Oak staves and fresh bread; Taste: Buttery notes of caramel and honey with clove spice; Finish: Soft and complex, notes of honey and caramel",https://heavenhilldistillery.com/bernheim-barrel-proof.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Barrel Proof,own_make,,FALSE,FALSE,Wheat Whiskey,NAS,,B923,120.4,60.2,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Mahogany; Aroma: Oak staves and fresh bread; Taste: Buttery notes of caramel and honey with clove spice; Finish: Soft and complex, notes of honey and caramel",https://heavenhilldistillery.com/bernheim-barrel-proof.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Barrel Proof,own_make,,FALSE,FALSE,Wheat Whiskey,NAS,,A224,125.2,62.6,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Mahogany; Aroma: Oak staves and fresh bread; Taste: Buttery notes of caramel and honey with clove spice; Finish: Soft and complex, notes of honey and caramel",https://heavenhilldistillery.com/bernheim-barrel-proof.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Barrel Proof,own_make,,FALSE,FALSE,Wheat Whiskey,NAS,,B924,122.6,61.3,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Mahogany; Aroma: Oak staves and fresh bread; Taste: Buttery notes of caramel and honey with clove spice; Finish: Soft and complex, notes of honey and caramel",https://heavenhilldistillery.com/bernheim-barrel-proof.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Barrel Proof,own_make,,FALSE,FALSE,Wheat Whiskey,NAS,,A225,125.4,62.7,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Mahogany; Aroma: Oak staves and fresh bread; Taste: Buttery notes of caramel and honey with clove spice; Finish: Soft and complex, notes of honey and caramel",https://heavenhilldistillery.com/bernheim-barrel-proof.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Barrel Proof,own_make,,FALSE,FALSE,Wheat Whiskey,NAS,,C925,118.4,59.2,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,"Color: Mahogany; Aroma: Oak staves and fresh bread; Taste: Buttery notes of caramel and honey with clove spice; Finish: Soft and complex, notes of honey and caramel",https://heavenhilldistillery.com/bernheim-barrel-proof.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Bernheim Original,own_make,,FALSE,FALSE,Wheat Whiskey; 20th Anniversary Limited Edition,10 Years,2026,,115,57.5,Wheat 51% / Corn 37% / Malted Barley 12%,New charred American oak,,Nose: Cinnamon and baking spices layered with vanilla and oak; Palate: Molasses and butterscotch; Finish: Peppery with warmth and balance,https://heavenhill.com/news-and-notes/heaven-hill-distillery-celebrates-20-years-of-innovation-with-bernheim-wheat-whiskey-20th-anniversary-limited-edition/,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Mellow Corn,own_make,,FALSE,FALSE,Corn Whiskey,4 Years,,,100,50.0,Corn 80% / Rye 8% / Malted Barley 12%,Once-used bourbon barrels,,,https://heavenhilldistillery.com/mellow-corn.php,2026-05-30,NULL,american_whiskey_kentucky
American Whiskey,Heaven Hill Distillery,"Louisville, KY",Georgia Moon,own_make,,FALSE,FALSE,Corn Whiskey,NAS,,,80,40.0,Corn >=81% (remainder undisclosed),,,,https://distiller.com/spirits/georgia-moon-corn-whiskey,2026-05-30,NULL,american_whiskey_kentucky
