spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Anise Spirits,Château Ksara,"Bekaa Valley, Lebanon",Ksarak,own_make,NULL,FALSE,FALSE,Arak,28 months,NULL,NULL,106,53,Obeidi grapes,Clay amphorae (Beit Chebab pottery),NULL,Triple-distilled eau-de-vie with fresh green aniseed; served one-third arak to two-thirds water with mezze.,https://shop.chateauksara.com/product/ksarak/,2026-06-27,https://shop.chateauksara.com/wp-content/uploads/2024/05/KSK-NEW-1-900x900.jpg,anise_spirits_lebanon
Anise Spirits,Château Kefraya,"Bekaa Valley, Lebanon",Arak de Kefraya,own_make,NULL,FALSE,FALSE,Arak,NULL,NULL,NULL,104.6,52.3,Estate grape spirit,NULL,NULL,"Quadruple-distilled, aniseed added on final two distillations; bright fresh anise, clean unsweetened character that opens with dilution.",https://www.saq.com/en/560110,2026-06-27,https://unwindbottleshop.com/cdn/shop/files/Chateau_Kefraya_Arak_106_Proof_d231bd0e-f71c-4580-b889-9b305cdf069c.png?v=1716964021,anise_spirits_lebanon
Anise Spirits,Château Musar,"Ghazir, Lebanon",L'Arack de Musar,own_make,NULL,FALSE,FALSE,Arak,NULL,NULL,NULL,106,53,Grape alcohol (Bekaa vineyards),Terracotta amphorae (~1 year),NULL,"Precise intense anise and fennel, soft herbal sweetness, hints of liquorice; silky long finish; bottled unfiltered and unfined.",https://www.buymyliquor.com/products/l-arack-de-musar-750-ml,2026-06-27,https://www.buymyliquor.com/cdn/shop/files/l-arack-de-musar-750ml-2904556.jpg?v=1751534510,anise_spirits_lebanon
Anise Spirits,Massaya,"Bekaa Valley, Lebanon",El Massaya Arak,own_make,NULL,FALSE,FALSE,Arak,NULL,NULL,NULL,106,53,Obeidi grapes,Ancient clay amphorae (~2 years),NULL,Triple-distilled in copper Moorish Lid pot stills fired by vine wood; organic green aniseed on final run; bottled unfiltered and unfined.,https://www.masterofmalt.com/spirit/massaya-and-co/el-massaya-arak-spirit/,2026-06-27,https://img.thewhiskyexchange.com/540/eau_elm1.jpg,anise_spirits_lebanon
Anise Spirits,Domaine des Tourelles,"Chtaura, Bekaa Valley, Lebanon",Arak Brun,own_make,NULL,FALSE,FALSE,Arak,~12 months,NULL,NULL,106,53,Obeidi and Cinsault grapes,Lebanese clay jars,NULL,"Triple-distilled in copper alembics, anise added at final stage; unsweetened, anise-forward; served neat then cut with ice-cold water.",https://www.domainedestourelles.com/pages/arak-brun-1,2026-06-27,NULL,anise_spirits_lebanon
Anise Spirits,Domaine des Tourelles,"Chtaura, Bekaa Valley, Lebanon",Arak Brun Special Reserve 5 Years,own_make,NULL,FALSE,FALSE,Arak; Special Reserve,5 years,NULL,NULL,106,53,Obeidi and Cinsault grapes,Old clay jars (5 years),NULL,"Anise-forward, smoother and rounder with extended clay-jar aging.",https://www.domainedestourelles.com/products/arak-brun-5-years,2026-06-27,http://www.domainedestourelles.com/cdn/shop/files/Arak_Brun_5YO_1.jpg?v=1769784868,anise_spirits_lebanon
Anise Spirits,Domaine des Tourelles,"Chtaura, Bekaa Valley, Lebanon",Arak Brun Special Reserve 10 Years,own_make,NULL,FALSE,FALSE,Arak; Special Reserve,10 years,NULL,NULL,106,53,Old-vine Obeidi grapes,Old clay jars (10 years),NULL,Anise-forward; smoothest and roundest of the Brun line from a decade of clay-jar aging.,https://www.domainedestourelles.com/products/arak-brun-special-reserve-10-years,2026-06-27,http://www.domainedestourelles.com/cdn/shop/files/ArakBrun10YOlrforweb.jpg?v=1701326519,anise_spirits_lebanon
Anise Spirits,Cave Kouroum,"Kefraya, West Bekaa, Lebanon",Arak Kouroum,own_make,NULL,FALSE,FALSE,Arak,6+ months,NULL,NULL,106,53,Grape alcohol,NULL,NULL,"Triple-distilled; anise, liquorice, hints of black pepper; smooth supple rounded palate.",https://cavekouroum.com/product/arak-kouroum/,2026-06-27,https://cavekouroum.com/wp-content/uploads/2024/04/Cave-Kouroum-Arak-1.webp,anise_spirits_lebanon
Anise Spirits,Domaine Wardy,"Zahlé, Bekaa Valley, Lebanon",Arak Wardy,own_make,NULL,FALSE,FALSE,Arak,3 years,NULL,NULL,106,53,"Obeidi, Chardonnay, Sauvignon Blanc",Clay amphorae (3 years),NULL,Triple-distilled in double-boiler copper stills; IWSC 2006 Gold Best in Class.,https://www.domainewardy.com/products/arak-wardy-5281087012758,2026-06-27,https://www.domainewardy.com/cdn/shop/products/imageedit_5_9578931957_600x.png?v=1635854405,anise_spirits_lebanon
Anise Spirits,Château Fakra,"Kfardebian, Mount Lebanon, Lebanon",Arak Fakra Classic,own_make,NULL,FALSE,FALSE,Arak,NULL,NULL,NULL,110,55,Merwah grapes,Clay jars,NULL,Clay-jar aged baladi-style arak with Hino aniseed.,https://arakfakra.com/portfolio/arak-fakra-xo/,2026-06-27,https://arakfakra.com/wp-content/uploads/2015/10/arak-75-738.jpg,anise_spirits_lebanon
