spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Gin,Victoria Distillers,"Sidney, BC, Canada",Empress 1908 Indigo Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Empress 1908 Indigo Gin,NULL,NULL,NULL,85,42.5,Grain neutral spirit,NULL,NULL,"Butterfly pea blossom (natural indigo colour, not flavour), Empress tea blend, grapefruit peel, rose, ginger, cinnamon.",https://victoriadistillers.com/spirits/empress-1908-indigo-gin/;https://empressgin.com/spirit/indigo-gin/,2026-06-10,https://victoriadistillers.com/wp-content/uploads/2020/03/empress.png,gin_canada
Gin,Victoria Distillers,"Sidney, BC, Canada",Empress 1908 Oaken Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; Barrel Aged; Empress 1908 Oaken Gin,NULL,NULL,NULL,85,42.5,Grain neutral spirit,New American oak,NULL,"Juniper-forward gin matured in new American oak; vanilla, caramel, smooth.",https://victoriadistillers.com/spirits/empress-1908-oaken-gin/,2026-06-10,https://victoriadistillers.com/wp-content/uploads/2020/03/Empress-Oaken-Gin-scaled.jpg,gin_canada
Gin,Victoria Distillers,"Sidney, BC, Canada",Empress 1908 Cocktail Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Empress 1908 Cocktail Gin,NULL,NULL,NULL,NULL,NULL,Grain neutral spirit,NULL,NULL,"Juniper-forward with citrus, floral, spice; full-bodied cocktail base.",https://victoriadistillers.com/spirits/empress-1908-cocktail-gin/,2026-06-10,https://victoriadistillers.com/wp-content/uploads/2020/03/Empress-Cocktail-Gin-scaled.jpg,gin_canada
Gin,Dillon's Small Batch Distillers,"Beamsville, ON, Canada",Dry Gin 7,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Dry Gin 7,NULL,NULL,NULL,89.6,44.8,100% Ontario rye grain,NULL,NULL,"Traditional dry style, vapour-distilled through 7 botanicals; juniper-forward.",https://shop.dillons.ca/dry-gin-7.html;https://distiller.com/spirits/dillon-s-dry-7,2026-06-28,NULL,gin_canada
Gin,Dillon's Small Batch Distillers,"Beamsville, ON, Canada",Unfiltered Gin 22,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Unfiltered Gin 22,NULL,NULL,NULL,80,40,Local wine grapes,NULL,NULL,"New Western style, 22 botanicals incl. lavender and hibiscus; floral, non-chill-filtered (cloudy when chilled).",https://shop.dillons.ca/unfiltered-gin-22.html;https://www.lcbo.com/en/dillon-s-gin-22-unfiltered-358556,2026-06-27,https://aem.lcbo.com/content/dam/lcbo/products/3/5/8/5/358556.jpg.thumb.319.319.png,gin_canada
Gin,Ungava Spirits Co.,"Cowansville, QC, Canada",Ungava Canadian Premium Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Ungava Canadian Premium Gin,NULL,NULL,NULL,86.2,43.1,Corn neutral spirit,NULL,NULL,"Natural yellow hue; six foraged Arctic botanicals: Nordic juniper, wild rose hips, cloudberry, Labrador tea, crowberry, arctic blend.",https://ungavagin.com/;https://distiller.com/spirits/ungava-canadian-premium-gin,2026-06-10,NULL,gin_canada
Gin,Eau Claire Distillery,"Turner Valley, AB, Canada",Parlour Gin,own_make,NULL,FALSE,FALSE,London Dry Gin; ; Parlour Gin,NULL,NULL,NULL,80,40,Alberta grain (barley),NULL,NULL,"Botanicals incl. rosehip, Saskatoon berry, coriander, lemon, orange, mint, spice.",https://eauclairedistillery.ca/products/parlour-gin;https://distiller.com/spirits/eau-claire-distillery-parlour-gin,2026-06-27,http://eauclairedistillery.ca/cdn/shop/files/parlour2-Bottle-upright.jpg,gin_canada
Gin,Eau Claire Distillery,"Turner Valley, AB, Canada",Flourish Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Flourish Gin,NULL,NULL,NULL,80,40,Alberta grain,NULL,NULL,Contemporary botanical gin.,https://eauclairedistillery.ca/products/flourish-gin;https://www.spud.ca/catalogue/productdetails.cfm?part=dr2068,2026-06-27,http://eauclairedistillery.ca/cdn/shop/files/FLOURISH_GIN_-_product.jpg,gin_canada
Gin,Eau Claire Distillery,"Turner Valley, AB, Canada",Christmas Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Christmas Gin,NULL,NULL,NULL,80,40,Alberta grain,NULL,NULL,"Frankincense and myrrh botanicals plus 24k edible gold flakes (colour only); juniper gin, no added sugar.",https://eauclairedistillery.ca/products/christmas-gin;https://www.bswliquor.com/products/eau-claire-christmas-gin,2026-06-27,http://www.bswliquor.com/cdn/shop/files/christmas-gin-3sqr_87f19d6e-d71a-4e5d-b7a0-389491fd57e9.jpg,gin_canada
Gin,Sheringham Distillery,"Sooke, BC, Canada",Seaside Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Seaside Gin,NULL,NULL,NULL,86,43,BC grain neutral spirit,NULL,NULL,"Juniper, rose, lavender, citrus, coriander, cardamom and locally harvested winged kelp.",https://www.sheringhamdistillery.com/seaside-gin/;https://web.ginferno.app/gin/sheringham-seaside-gin,2026-06-27,https://storage.googleapis.com/ginfernov2.appspot.com/materials/lCv5eleK2zb8pFngRIXN/thumbnail.webp,gin_canada
