spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Heering,"Copenhagen, Denmark",Cherry Heering,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Cherry,NULL,NULL,NULL,48,24,NULL,NULL,NULL,"Danish cherry liqueur made since 1818 from Danish-grown cherries; rich, dark, gently spiced cherry. Purveyor to the Royal Danish Court.",https://www.heering.com/; https://theliquorbarn.com/products/heering-cherry-liqueur-750ml,2026-06-26,http://theliquorbarn.com/cdn/shop/files/cherry-heering__19692.jpg,liqueur_denmark
Liqueur,Danish Distillers (Arcus),Denmark,Gammel Dansk Bitter Dram,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Bitter,NULL,NULL,NULL,76,38,NULL,NULL,NULL,"Danish stomach bitter created 1964 from 29 herbs, spices and flowers; dry, aromatic and bracingly bitter.",https://www.masterofmalt.com/liqueurs/gammel-dansk-bitter-dram-bitters-liqueur/; https://en.wikipedia.org/wiki/Gammel_Dansk,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/22656_source_1779390704.jpg,liqueur_denmark
Liqueur,Danish Distillers (Arcus),Denmark,Gammel Dansk Halv Bitter,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Bitter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sweeter, less-bitter expression launched 2019 with higher honey and licorice content.",https://en.wikipedia.org/wiki/Gammel_Dansk,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Gammeldansk.jpg/960px-Gammeldansk.jpg,liqueur_denmark
Liqueur,Danish Distillers (Arcus),Denmark,Gammel Dansk Shot,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Bitter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Licorice-and-chili flavoured shooter variant of Gammel Dansk.,https://en.wikipedia.org/wiki/Gammel_Dansk,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Gammeldansk.jpg/960px-Gammeldansk.jpg,liqueur_denmark
Liqueur,Ga-Jol,Denmark,Ga-Jol Original Sort,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Liquorice,NULL,NULL,NULL,60,30,NULL,NULL,NULL,Danish black-licorice liqueur descended from the 1930s throat-lozenge brand; intense salty-sweet licorice.,https://www.1001spirits.com/brand/2039/ga-jol; https://www.raschvin.com/en/product/ga-jol-original-sort/,2026-06-26,https://www.raschvin.com/wp-content/uploads/2022/05/rSL001431.jpg,liqueur_denmark
Liqueur,Ga-Jol,Denmark,Ga-Jol Hot n' Sweet,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Liquorice,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hotter, sweeter licorice variant of the Ga-Jol liqueur range.",https://www.1001spirits.com/brand/2039/ga-jol,2026-06-23,NULL,liqueur_denmark
Liqueur,Ga-Jol,Denmark,Ga-Jol Chocolate,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Liquorice,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chocolate-licorice variant of the Ga-Jol liqueur range.,https://www.1001spirits.com/brand/2039/ga-jol,2026-06-23,NULL,liqueur_denmark
Liqueur,Empirical,"Copenhagen, Denmark",Empirical Ayuuk,own_make,,FALSE,FALSE,Class TBD,,,,86,43,,,Oloroso Sherry,"Smoky Pasilla Mixe chilli from Oaxaca with Danish purple wheat and Pilsner malt; earthy, smoky and fruity, with the best fractions rested in Oloroso sherry casks.",https://www.thewhiskyexchange.com/p/53539/empirical-spirits-ayuuk,2026-06-23,,liqueur_denmark
Liqueur,Empirical,"Copenhagen, Denmark","Empirical The Plum, I Suppose",own_make,,FALSE,FALSE,Class TBD,,,,64,32,,,,"Kernel inside plum stones plus distilled marigold kombucha; marzipan, bitter-almond, floral and tannic.",https://www.masterofmalt.com/distilleries/empirical-spirits/,2026-06-23,,liqueur_denmark
Liqueur,Empirical,"Copenhagen, Denmark",Empirical Symphony No. 6,own_make,,FALSE,FALSE,Class TBD,,,,80,40,,,,"Pilsner malt fermented with Belgian saison yeast, macerated and distilled with lemon leaf, tangerine, fig, coffee, vetiver, ambrette seeds and blackcurrant buds.",https://www.masterofmalt.com/spirit/empirical-spirits/empirical-spirits-symphony-6-spirit/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/41273_source_1780583604.jpg,liqueur_denmark
Liqueur,Empirical,"Copenhagen, Denmark",Empirical Charlene McGee,own_make,,FALSE,FALSE,Class TBD,,,,80,40,,,Oloroso Sherry,"Danish juniper berries and juniper wood (smoked over juniper) with Pilsner malt and Belgian saison yeast, rested in ex-Oloroso casks.",https://www.masterofmalt.com/spirit/empirical-spirits/empirical-spirits-charlene-mcgee-blend-spirit/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/4158_source_1758883913.jpg,liqueur_denmark
