spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rye,Mountain Laurel Spirits,"Bristol, PA",Dad's Hat Pennsylvania Rye Whiskey,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,90,45.0,80% rye / 15% malted barley / 5% malted rye,New charred American oak,NULL,https://dadshatrye.com/our-ryes/;https://distiller.com/spirits/dad-s-hat-pennsylvania-rye-whiskey,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Mountain Laurel Spirits,"Bristol, PA",Dad's Hat Pennsylvania Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,4 yr minimum,NULL,NULL,95,47.5,80% rye / 15% malted barley / 5% malted rye,New charred American oak,NULL,https://dadshatrye.com/our-ryes/;https://www.bourbonguy.com/blog/2020/7/9/dads-hat-pennsylvania-straight-rye-whiskey,2026-06-27,http://static1.squarespace.com/static/51379b83e4b02119d184b2a2/t/5f079887507aad5ecbe0dc2b/1594333405766/Dads-Hat-Straight-Rye.jpg,rye_northeast_mid_atlantic
Rye,Mountain Laurel Spirits,"Bristol, PA",Dad's Hat Pennsylvania Straight Rye Whiskey Bottled-in-Bond,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye; Bonded,5 yr,NULL,NULL,100,50.0,80% rye / 15% malted barley / 5% malted rye,New charred American oak,NULL,https://dadshatrye.com/our-ryes/;https://whiskeyreviewer.com/2018/11/dads-hat-pre-prohibition-style-straight-rye-whiskey-review-111918/,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Mountain Laurel Spirits,"Bristol, PA",Dad's Hat Pennsylvania Rye Whiskey Finished in Vermouth Barrels,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,94,47.0,80% rye / 15% malted barley / 5% malted rye,New charred American oak (primary; 15-gal quarter-cask),Quady Winery Vya Sweet Vermouth barrel (3 months),https://dadshatrye.com/whiskey/vermouth-finish-rye/;https://distiller.com/spirits/dad-s-hat-pennsylvania-rye-whiskey-finished-in-vermouth-barrels,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Mountain Laurel Spirits,"Bristol, PA",Dad's Hat Pennsylvania Rye Whiskey Finished in Port Wine Barrels,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,94,47.0,80% rye / 15% malted barley / 5% malted rye,New charred American oak (primary),Port wine cask (3 months),https://dadshatrye.com/whiskey/port-wine-finish-rye/;https://distiller.com/spirits/dads-hat-pennsylvania-rye-whiskey-finished-in-port-wine-barrels,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Wigle Whiskey,"Pittsburgh, PA",Wigle Organic Pennsylvania Rye Whiskey,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,84,42.0,Organic rye / wheat / malted barley (proportions vary by batch),New charred American oak,NULL,https://wiglewhiskey.com/;https://thewhiskeywash.com/reviews/whiskey-review-wigle-organic-pennsylvania-rye-whiskey/,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Wigle Whiskey,"Pittsburgh, PA",Wigle Reserve Single Barrel Straight Rye Whiskey,own_make,NULL,FALSE,TRUE,Pennsylvania Straight Rye,4 yr minimum,NULL,NULL,92,46.0,Regional rye / wheat / malted barley (specific percentages undisclosed),New charred American oak (53-gallon),NULL,https://wiglewhiskey.com/shop/wigle-reserve/wigle-reserve-single-barrel-rye/;https://thewhiskeywash.com/reviews/whiskey-reviews-wigle-pennsylvania-wapsie-bourbon-single-barrel-straight-rye/,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Wigle Whiskey,"Pittsburgh, PA",Wigle Port Rye Whiskey,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,92,46.0,68% rye / 17% wheat / 15% malted barley,New charred American oak (25-gallon primary),Tawny and ruby port barrels (18+ months),https://wiglewhiskey.com/;https://thewhiskeywash.com/reviews/whiskey-review-wigle-port-rye-whiskey/,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Wigle Whiskey,"Pittsburgh, PA",Wigle Reserve Mezcal & Sherry Cask Finished Rye,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,6 yr,NULL,NULL,NULL,NULL,62% regional rye / 15% regional wheat / 23% malted barley,New charred American oak (primary),Sherry cask (3 yr); mezcal barrel (4 months),https://wiglewhiskey.com/;https://thewhiskeywash.com/whiskey-reviews/review-wigle-reserve-mezcal-sherry-cask-finished-rye-review-2025/,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Stoll & Wolfe Distillery,"Lititz, PA",Stoll & Wolfe Pennsylvania Straight Rye Whiskey,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,90,45.0,60% Rosen rye / 30% Lancaster County corn / 10% malted barley,New charred American oak,NULL,https://www.stollandwolfe.com/;https://www.fredminnick.com/2026/02/09/stoll-wolfe-releases-monongahela-style-rye-whiskey/;https://www.breakingbourbon.com/review/stoll-wolfe-pennsylvania-rye-whiskey-2025,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/6930458d0ec64537b57af680_stoll-wolfe-pennsylvania-rye-whiskey-2025-01.jpg,rye_northeast_mid_atlantic
Rye,Stoll & Wolfe Distillery,"Lititz, PA",Stoll & Wolfe Pure Rye Single Barrel,own_make,NULL,FALSE,TRUE,"Pennsylvania Straight Rye; Monongahela-Style, Pure Rye",NAS (approx. 34 months),NULL,NULL,107,53.5,80% Rosen rye / 20% malted rye (100% rye mash bill),New charred American oak (air-dried staves),NULL,https://www.fredminnick.com/2026/02/09/stoll-wolfe-releases-monongahela-style-rye-whiskey/;https://www.stollandwolfe.com/,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Bluebird Distilling,"Phoenixville, PA",Bluebird Distilling Rye Whiskey,own_make,NULL,FALSE,FALSE,Pennsylvania Straight Rye,NAS,NULL,NULL,92,46.0,100% rye (rye + rye malt; no barley),New charred American oak,NULL,https://shopbluebirddistilling.com/products/rye-whiskey;https://shop.bigthirst.com/products/bluebird-distilling-rye-whiskey,2026-06-27,http://shop.bigthirst.com/cdn/shop/products/RyeWhiskey.png,rye_northeast_mid_atlantic
Rye,Sagamore Spirit,"Baltimore, MD",Sagamore Spirit Small Batch Rye Whiskey,own_make,NULL,FALSE,FALSE,Maryland Straight Rye;100% Maryland-Distilled;Non-Chill Filtered,4-6 yr,NULL,NULL,93,46.5,Blend of high-rye and low-rye Maryland mash bills (specific percentages undisclosed),New charred American oak (high-char),NULL,https://sagamorespirit.com/spirits/small-batch-rye-whiskey/;https://shop.sagamorespirit.com/products/sagamore-rye-whiskey-small-batch,2026-06-27,http://shop.sagamorespirit.com/cdn/shop/files/2400SS-Signature-93Proof-750ml1_600x.png,rye_northeast_mid_atlantic
Rye,Sagamore Spirit,"Baltimore, MD",Sagamore Spirit Cask Strength Rye Whiskey,own_make,NULL,FALSE,FALSE,Maryland Straight Rye;Cask Strength;Non-Chill Filtered,NAS,NULL,NULL,112.2,56.1,Blend of high-rye and low-rye Maryland mash bills (specific percentages undisclosed),New charred American oak,NULL,https://sagamorespirit.com/spirits/cask-strength-rye-whiskey/;https://shop.sagamorespirit.com/products/sagamore-cask-strength,2026-06-23,NULL,rye_northeast_mid_atlantic
Rye,Sagamore Spirit,"Baltimore, MD",Sagamore Spirit Double Oak Rye Whiskey,blended,NULL,FALSE,FALSE,Maryland Straight Rye;Double Oak;Transitional Sourcing,NAS,NULL,NULL,96.6,48.3,Blend of Indiana rye mash bills (transitioning to own-make; see followups),New charred American oak (primary),Toasted wave stave barrel (18 months),https://sagamorespirit.com/spirits/double-oak-rye-whiskey/;https://www.breakingbourbon.com/review/sagamore-rye-double-oak-batch-9a,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/69c556c84bc8e9e576e37d23_sagamore-rye-double-oak-batch-9a-01.jpg,rye_northeast_mid_atlantic
Rye,Sagamore Spirit,"Baltimore, MD",Sagamore Spirit Reserve Series 10-Year-Old Straight Rye Whiskey,sourced,NULL,FALSE,FALSE,Maryland Straight Rye; Maryland Straight Rye Whiskey; Limited Edition Reserve Series; Limited Edition,10 yr,2025,NULL,110.8,55.4,Blend of Indiana rye mash bills (95% rye/5% malted barley + 51% rye/45% corn/4% malted barley),New charred American white oak,NULL,https://www.breakingbourbon.com/bourbon-whiskey-press-releases/sagamore-spirit-debuts-10-year-old-straight-rye-whiskey-its-oldest-release-to-date;https://www.prnewswire.com/news-releases/sagamore-spirit-debuts-10-year-old-straight-rye-whiskey-its-oldest-release-to-date-302556621.html,2026-06-23,NULL,rye_northeast_mid_atlantic
