spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Gin,Inverroche Distillery,"Still Bay, Western Cape, South Africa",Inverroche,own_make,NULL,FALSE,FALSE,"Distilled Gin; Fynbos, Classic; Inverroche Gin Classic",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Coastal fynbos; Turkish delight, orange blossom, piney; bright zesty palate with pepper/ginger tempered by cardamom.",https://www.inverroche.com/our-creations/classic,2026-06-10,NULL,gin_south_africa
Gin,Inverroche Distillery,"Still Bay, Western Cape, South Africa",Inverroche,own_make,NULL,FALSE,FALSE,"Distilled Gin; Fynbos, Verdant; Inverroche Gin Verdant",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Mountain fynbos; delicate pronounced floral; summer blooms, toasted coconut, waxy lemon rind, marzipan, subtle juniper, nutmeg.",https://www.inverroche.com/tasting-notes/,2026-06-10,NULL,gin_south_africa
Gin,Inverroche Distillery,"Still Bay, Western Cape, South Africa",Inverroche,own_make,NULL,FALSE,FALSE,"Distilled Gin; Fynbos, Amber; Inverroche Gin Amber",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Sandveld/Karoo fynbos; bold, tannin-rich; burnt sugar, musky rose, rooibos, toffee apple, saffron, cinnamon over juniper.",https://www.inverroche.com/tasting-notes/,2026-06-10,NULL,gin_south_africa
Gin,Musgrave Spirits,"Cape Town, South Africa",Musgrave,own_make,NULL,FALSE,FALSE,Distilled Gin; Original 11; Musgrave Original 11,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"11 botanicals (African ginger, cardamom, grains of paradise, juniper, citrus, kaffir lime, coriander); warm cardamom & juniper, vanilla, peppery finish.",https://musgravespirits.com/products/musgrave-original-11-gin,2026-06-27,http://musgravespirits.com/cdn/shop/products/MG-200ml-packs-M11_49885534-352c-4a2a-8a16-cc8f6402980f_1200x1200.png,gin_south_africa
Gin,Musgrave Spirits,"Cape Town, South Africa",Musgrave,own_make,NULL,FALSE,FALSE,"Distilled Gin; Pink, Juniper Rose; Musgrave Pink",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"12 botanicals incl. rose hips + rosewater; spicy cardamom & juniper, African ginger, grains of paradise; gentler, floral.",https://musgravespirits.com/products/musgrave-pink-rose-gin-1,2026-06-27,http://musgravespirits.com/cdn/shop/products/musgrave-pink-gin_1200x1200.png,gin_south_africa
Gin,Hope Distillery,"Cape Town, South Africa",Hope,own_make,NULL,FALSE,FALSE,London Dry Gin; ; Hope London Dry Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,Juniper-forward classic London Dry with citrus brightness; versatile.,https://www.hopedistillery.co.za/product-category/hope-gins/,2026-06-10,NULL,gin_south_africa
Gin,Hope Distillery,"Cape Town, South Africa",Hope,own_make,NULL,FALSE,FALSE,Distilled Gin; Fynbos; Hope African Botanical Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Fruity, floral fynbos-infused.",https://www.hopedistillery.co.za/our-spirits/african-botanical-gin/,2026-06-10,NULL,gin_south_africa
Gin,Hope Distillery,"Cape Town, South Africa",Hope,own_make,NULL,FALSE,FALSE,"Distilled Gin; Savoury, Mediterranean; Hope Mediterranean Gin",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Olives, rosemary, thyme; savoury, built for a dirty martini. Grape base. ABV inferred from range (tier-2).",https://www.hopedistillery.co.za/product-category/hope-gins/,2026-06-10,NULL,gin_south_africa
Gin,Wilderer Distillery,"Paarl, Western Cape, South Africa",Wilderer,own_make,NULL,FALSE,FALSE,Distilled Gin; Fynbos; Wilderer Fynbos Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"27 botanicals incl. wild dagga, honeybush, buchu, devil's claw; juniper, lively citrus, floral Cape fynbos, pink-pepper nuance.",https://wilderer.co.za/product/fynbos-gin/; https://www.diffordsguide.com/beer-wine-spirits/6115/wilderer-fynbos-gin,2026-06-27,https://cdn.diffordsguide.com/bws/D5pG1Z/product-image/0/512x.webp,gin_south_africa
Gin,Cape Town Gin & Spirits Co.,"Cape Town, South Africa",Cape Town,own_make,NULL,FALSE,FALSE,London Dry Gin; Classic Dry; Cape Town Classic Dry Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,Boldly South African London-dry style; juniper-led classic dry. ABV per SA standard + retailer (tier-2).,https://www.capetowngincompany.co.za/pages/our-gins,2026-06-10,NULL,gin_south_africa
Gin,Cape Town Gin & Spirits Co.,"Cape Town, South Africa",Cape Town,own_make,NULL,FALSE,FALSE,Distilled Gin; Rooibos; Cape Town Rooibos Red Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,Infused with organic handpicked Cederberg rooibos; rich earthy spiced flavour.,https://www.capetowngincompany.co.za/products/cape-town-gin-rooibos-red; https://web.ginferno.app/en/gin/cape-town-rooibos-red-gin,2026-06-27,http://capetownspirits.co/cdn/shop/files/CTG_Rooibos_Red.webp,gin_south_africa
Gin,Cape Town Gin & Spirits Co.,"Cape Town, South Africa",Cape Town,own_make,NULL,FALSE,FALSE,"Distilled Gin; Pink, The Pink Lady; Cape Town The Pink Lady Gin",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Strawberry + rosewater + rose geranium; floral, Turkish-delight notes.",https://www.capetowngincompany.co.za/pages/our-gins,2026-06-10,NULL,gin_south_africa
