spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rye,Heaven Hill Distillers (Bernheim Distillery),"Louisville, KY",Rittenhouse Straight Rye BiB,own_make,NULL,FALSE,FALSE,"Kentucky Straight Rye; Bonded, Kentucky Straight Rye Whiskey; 100 Proof",4 Years,NULL,NULL,100,50.0,51% rye / 39% corn / 10% malted barley,New charred American oak,NULL,NULL,https://heavenhilldistillery.com/rittenhouse.php,2026-06-23,NULL,rye_kentucky
Rye,Heaven Hill Distillers (Bernheim Distillery),"Louisville, KY",Pikesville Straight Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;110 Proof,6 Years,NULL,NULL,110,55.0,51% rye / 39% corn / 10% malted barley,New charred American oak,NULL,NULL,https://heavenhilldistillery.com/pikesville-straight-rye.php,2026-06-23,NULL,rye_kentucky
Rye,Buffalo Trace Distillery,"Frankfort, KY",Sazerac Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye,NAS,NULL,NULL,90,45.0,NULL,New charred American oak,NULL,NULL,https://www.buffalotracedistillery.com/our-brands/sazerac-rye-whiskey/,2026-06-23,NULL,rye_kentucky
Rye,Buffalo Trace Distillery,"Frankfort, KY",Sazerac 18-Year-Old Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye; Annual Vintage Release; 18-Year Buffalo Trace Antique Collection (BTAC); 18-Year,18 Years,2025,NULL,90,45.0,NULL,New charred American oak,NULL,NULL,https://www.buffalotracedistillery.com/our-brands/buffalo-trace-antique-collection/,2026-06-23,NULL,rye_kentucky
Rye,Buffalo Trace Distillery,"Frankfort, KY",Thomas H. Handy Sazerac Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye; Annual Vintage Release; Cask Strength Buffalo Trace Antique Collection (BTAC); Cask Strength; Unfiltered,NAS,2025,NULL,129.8,64.9,NULL,New charred American oak,NULL,NULL,https://www.buffalotracedistillery.com/our-brands/buffalo-trace-antique-collection/,2026-06-23,NULL,rye_kentucky
Rye,Wild Turkey Distilling Co.,"Lawrenceburg, KY",Wild Turkey 101 Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Availability Unverified (listed as unavailable on official site as of 2026-05-27),NAS,NULL,NULL,101,50.5,NULL,New charred American oak,NULL,NULL,https://www.wildturkeybourbon.com/en-us/products/101-rye/,2026-06-23,NULL,rye_kentucky
Rye,Wild Turkey Distilling Co.,"Lawrenceburg, KY",Wild Turkey Rare Breed Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Batch Proof;Blend of 4/6/8-Year Barrels;Availability Unverified (listed as unavailable on official site as of 2026-05-27),Blend of 4/6/8 Years,NULL,NULL,112.2,56.1,NULL,New charred American oak,NULL,NULL,https://www.wildturkeybourbon.com/en-us/products/rare-breed-rye/,2026-06-23,NULL,rye_kentucky
Rye,Wild Turkey Distilling Co.,"Lawrenceburg, KY",Russell's Reserve 6-Year Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Availability Unverified (listed as unavailable on official site as of 2026-05-27),6 Years,NULL,NULL,90,45.0,NULL,New charred American oak,NULL,NULL,https://www.russellsreserve.com/rye-whiskey/,2026-06-23,NULL,rye_kentucky
Rye,Wild Turkey Distilling Co.,"Lawrenceburg, KY",Russell's Reserve Single Barrel Rye,own_make,NULL,FALSE,FALSE,"Kentucky Straight Rye; Single Barrel, Non-Chill Filtered; No. 4 Char; Availability Unverified (listed as unavailable on official site as of 2026-05-27)",NAS,NULL,NULL,104,52.0,NULL,New charred American oak,NULL,NULL,https://www.russellsreserve.com/rye-whiskey/,2026-06-23,NULL,rye_kentucky
Rye,Wild Turkey Distilling Co.,"Lawrenceburg, KY",Wild Turkey Master's Keep Triumph,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye; Limited Annual Release; 10-Year Wild Turkey Master's Keep Series; 10-Year,10 Years,2024,NULL,104,52.0,NULL,New charred American oak,NULL,NULL,https://www.wildturkeybourbon.com/en-us/products/masters-keep-triumph/,2026-06-23,NULL,rye_kentucky
Rye,Wild Turkey Distilling Co.,"Lawrenceburg, KY",Wild Turkey Master's Keep Cornerstone,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye; Limited Release 2019; Current Availability Unverified Wild Turkey Master's Keep Series; Current Availability Unverified,9-11 Years (blend),2019,NULL,109,54.5,NULL,New charred American oak,NULL,NULL,https://www.wildturkeybourbon.com/en-us/products/masters-keep-cornerstone-rye/,2026-06-23,NULL,rye_kentucky
Rye,Woodford Reserve Distillery (Brown-Forman),"Versailles, KY",Woodford Reserve Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye,NAS,NULL,NULL,90.4,45.2,53% rye / 33% corn / 14% malted barley,New charred American oak,NULL,NULL,https://www.woodfordreserve.com/whiskey/rye-whiskey/,2026-06-23,NULL,rye_kentucky
Rye,Woodford Reserve Distillery (Brown-Forman),"Versailles, KY",Woodford Reserve Barrel Strength Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Barrel Strength;First Barrel-Strength Rye Release;Limited 2025 Release,NAS,2025,NULL,125.1,62.55,53% rye / 33% corn / 14% malted barley,New charred American oak,NULL,NULL,https://shop.woodfordreserve.com/barrel-strength-rye-125-1-proof/; https://www.breakingbourbon.com/bourbon-whiskey-press-releases/woodford-reserve-releases-its-first-high-proof-rye-barrel-strength-rye,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/68e46e5aa957d6bd24887a47_WRBS_Rye.jpg,rye_kentucky
Rye,Woodford Reserve Distillery (Brown-Forman),"Versailles, KY",Woodford Reserve Personal Selection Rye,own_make,NULL,FALSE,TRUE,Kentucky Straight Rye; Flavor Profiles: Batch R (Crisp & Spicy) / Batch E (Soft Grain/Spice/Oak) / Batch Y (Spiced Fruit); Producer-Defined Custom Two-Barrel Batch Program,NAS,NULL,NULL,NULL,NULL,53% rye / 33% corn / 14% malted barley,New charred American oak,NULL,NULL,https://www.woodfordreserve.com/personal-selection-rye-batch-y/; https://www.woodfordreserve.com/personal-selection-rye-batch-e/,2026-06-23,NULL,rye_kentucky
Rye,New Riff Distilling,"Newport, KY",New Riff Kentucky Straight Rye BiB,own_make,NULL,FALSE,FALSE,"Kentucky Straight Rye; Bonded, Non-Chill Filtered",4 Years,NULL,NULL,100,50.0,95% rye / 5% malted barley,New charred American oak,NULL,NULL,https://newriffdistilling.com/spirits/kentucky-straight-rye-whiskey/,2026-06-23,NULL,rye_kentucky
Rye,New Riff Distilling,"Newport, KY",New Riff Malted Rye BiB,own_make,NULL,FALSE,FALSE,"Kentucky Straight Rye; Bonded, 100% Malted Rye; Non-Chill Filtered",6 Years,NULL,NULL,100,50.0,100% malted rye,New charred American oak,NULL,NULL,https://newriffdistilling.com/spirits/malted-rye-whiskey/,2026-06-23,NULL,rye_kentucky
Rye,New Riff Distilling,"Newport, KY",New Riff 8-Year Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Non-Chill Filtered;Not Bottled-in-Bond,8 Years,NULL,NULL,100,50.0,95% rye / 5% malted rye,New charred American oak,NULL,NULL,https://www.breakingbourbon.com/review/new-riff-8-year-old-kentucky-straight-rye-whiskey; https://whiskyadvocate.com/ratings-reviews/?search=New+Riff+8+Year+Rye,2026-06-23,NULL,rye_kentucky
Rye,James B. Beam Distilling Co.,"Clermont, KY",Knob Creek Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye,7 Years,NULL,NULL,100,50.0,NULL,New charred American oak,NULL,NULL,https://www.knobcreek.com/whiskies/rye,2026-06-23,NULL,rye_kentucky
Rye,James B. Beam Distilling Co.,"Clermont, KY",Knob Creek 10-Year Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye,10 Years,NULL,NULL,100,50.0,NULL,New charred American oak,NULL,NULL,https://www.knobcreek.com/whiskies/rye,2026-06-23,NULL,rye_kentucky
Rye,James B. Beam Distilling Co.,"Clermont, KY",Knob Creek Single Barrel Cask Strength Rye,own_make,NULL,FALSE,FALSE,"Kentucky Straight Rye; Single Barrel, Cask Strength; Unfiltered",NAS,NULL,NULL,127.1,63.55,NULL,New charred American oak,NULL,Bold rye spiciness with undertones of vanilla and oak; expansive herbs and rye on the nose; long warm spicy finish,https://www.knobcreek.com/whiskies/single-barrel-cask-strength-rye-whiskey,2026-06-23,NULL,rye_kentucky
Rye,James B. Beam Distilling Co.,"Clermont, KY",Jim Beam Pre-Prohibition Style Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Pre-Prohibition Style Recipe,NAS,NULL,NULL,90,45.0,NULL,New charred American oak,NULL,NULL,https://www.jimbeam.com/en-us/bourbons/jim-beam-rye,2026-06-23,NULL,rye_kentucky
Rye,Castle & Key Distillery,"Frankfort, KY",Castle & Key Restoration Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Batch-Variable Proof (approx. 100-108pr per batch);Specs from Secondary Source — Primary Page Client-Rendered,Minimum 3 Years,NULL,NULL,NULL,NULL,63% rye / 17% malted rye / 20% malted barley,New charred American oak,NULL,NULL,https://www.castleandkey.com/spirits/restoration-rye/; https://www.breakingbourbon.com/review/castle-key-restoration-rye-whiskey,2026-06-28,NULL,rye_kentucky
Rye,Bardstown Bourbon Company,"Bardstown, KY",Bardstown Bourbon Company Origin Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Origin Series — Own-Distilled,6 Years,NULL,NULL,96,48.0,95% rye / 5% malted barley,New charred American oak,NULL,NULL,https://bardstownbourbon.com/whiskey/origin/,2026-06-23,NULL,rye_kentucky
Rye,Bardstown Bourbon Company,"Bardstown, KY",Bardstown Bourbon Company Origin Single Barrel Rye,own_make,NULL,FALSE,TRUE,"Kentucky Straight Rye; Single Barrel, Barrel Strength; Origin Series — Own-Distilled",Minimum 6 Years,NULL,NULL,NULL,NULL,95% rye / 5% malted barley,New charred American oak,NULL,NULL,https://bardstownbourbon.com/whiskey/origin/,2026-06-23,NULL,rye_kentucky
Rye,Wilderness Trail Distillery,"Danville, KY",Wilderness Trail Kentucky Straight Rye BiB,own_make,NULL,FALSE,FALSE,"Kentucky Straight Rye; Bonded, Non-Chill Filtered; Sweet Mash",Minimum 4 Years,NULL,NULL,100,50.0,NULL,New charred American oak,NULL,NULL,https://wildernesstraildistillery.com/spirits/,2026-06-23,NULL,rye_kentucky
Rye,Wilderness Trail Distillery,"Danville, KY",Wilderness Trail Settlers Select Rye Single Barrel,own_make,NULL,FALSE,TRUE,"Kentucky Straight Rye; Single Barrel, Barrel Strength; Non-Chill Filtered; Settlers Select",NAS,NULL,NULL,NULL,NULL,NULL,New charred American oak,NULL,NULL,https://wildernesstraildistillery.com/spirits/,2026-06-23,NULL,rye_kentucky
Rye,Rabbit Hole Distillery,"Louisville, KY",Boxergrail Kentucky Straight Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye; ; Mash Bill Under TTB COLA Verification (current official site shows 70% corn mash — inconsistent with rye label,NAS,NULL,NULL,95,47.5,NULL,New charred American oak,NULL,NULL,https://www.rabbitholedistillery.com/spirits/boxergrail/,2026-06-23,NULL,rye_kentucky
Rye,Rabbit Hole Distillery,"Louisville, KY",Boxergrail Founder's Collection Cask Strength,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye; Cask Strength; Limited Release Founder's Collection; Limited Release,6 Years,NULL,NULL,114.6,57.3,NULL,New charred American oak,NULL,NULL,https://www.rabbitholedistillery.com/spirits/boxergrail/; https://whiskyadvocate.com/ratings-reviews/?search=Rabbit+Hole+Boxergrail+Founder,2026-06-23,NULL,rye_kentucky
Rye,Brown-Forman Distillery,"Louisville, KY",Old Forester 100 Proof Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Inspired by Historic Normandy Rye Recipe,NAS,NULL,NULL,100,50.0,65% rye / 20% malted barley / 15% corn,New charred American oak,NULL,NULL,https://www.oldforester.com/products/old-forester-100-proof-rye-whisky/,2026-06-23,NULL,rye_kentucky
Rye,Green River Distilling Co.,"Owensboro, KY",Green River Kentucky Straight Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;Blend of Hand-Selected Barrels,Blend of 4-6 Years,NULL,NULL,95,47.5,95% rye / 5% malted barley,New charred American oak,NULL,Orange peel; fresh spearmint; touch of black pepper; vanilla and graham cracker base; medium finish with rye spice and herbal tea,https://greenriverwhiskey.com/kentucky-straight-rye/,2026-06-23,NULL,rye_kentucky
Rye,Undisclosed (100% pot-still rye; Pacific Northwest-grown grain),Undisclosed,Ten X Ten Straight Rye,sourced,Lawrenceburg Bourbon Company,TRUE,FALSE,Straight Rye;100% Rye Mash;Pot Still Distilled;10-Year;Cask Strength Batch-Variable ABV;Non-Chill Filtered;10-Barrel Small Batch,10 Years,NULL,NULL,NULL,NULL,100% rye,New charred American oak,NULL,NULL,https://www.skurnik.com/sku/rye-whiskey-ten-by-ten-lawrenceburg-bourbon-company/; https://www.thewhiskeywash.com/whiskey-styles/bourbon/lawrenceburg-bourbon-company-unveils-new-kentucky-distillery-project/,2026-06-23,NULL,rye_kentucky
Rye,Ross & Squibb Distillery (MGP Ingredients),"Lawrenceburg, IN",1776 Straight Rye,sourced,James E. Pepper,TRUE,FALSE,Straight Rye;>90% Rye Mash Bill;Proofed and Bottled at DSP-KY-5 Lexington KY,NAS,NULL,NULL,100,50.0,NULL,New charred American oak,NULL,NULL,https://jamesepepper.com/rye-whiskey-100-proof/,2026-06-23,NULL,rye_kentucky
Rye,Ross & Squibb Distillery (MGP Ingredients),"Lawrenceburg, IN",1776 Barrel Proof Rye,sourced,James E. Pepper,TRUE,TRUE,Straight Rye;Cask Strength;Batch-Variable Proof;Decanter Series;>90% Rye Mash Bill,NAS,NULL,NULL,NULL,NULL,NULL,New charred American oak,NULL,NULL,https://jamesepepper.com/rye-whiskey-100-proof/; https://flaviar.com/products/james-e-pepper-1776-barrel-proof-rye-whiskey-750,2026-06-27,https://flaviar.com/cdn/shop/files/2020031610_james_e_pepper_1776_barrel_proof_rye_whiskey_shadow_original_08a569d1-2ca5-4ef3-ad02-d121dde4c0e0.png?v=1761203736,rye_kentucky
Rye,Ross & Squibb Distillery (MGP Ingredients),"Lawrenceburg, IN",1776 Straight Rye Finished in Sherry Casks,sourced,James E. Pepper,TRUE,FALSE,Straight Rye;Sherry Cask Finish;Limited Release,NAS,NULL,NULL,NULL,NULL,NULL,New charred American oak,Sherry cask,NULL,https://jamesepepper.com/straight-rye-sherry-casks/,2026-06-23,NULL,rye_kentucky
Rye,James E. Pepper Distillery,"Lexington, KY",Old Pepper Rye,own_make,NULL,FALSE,FALSE,Kentucky Straight Rye;100% Rye Mash;Aged in Kentucky White Oak Barrels;Own-Distillate Status Pending Verification (see followup),Minimum 4 Years,NULL,NULL,100,50.0,100% rye,New charred Kentucky white oak,NULL,NULL,https://jamesepepper.com/old-pepper-rye/,2026-06-23,NULL,rye_kentucky
Rye,Ross & Squibb Distillery (MGP Ingredients),"Lawrenceburg, IN",Dark Arts Amburana Oak Stave Finished Rye,sourced,Dark Arts Whiskey House,TRUE,FALSE,Straight Rye;Amburana Oak Stave Finish;Small Batch (Numbered Sequentially);Blended and Bottled in Lexington KY,Blend of 7-8.5 Years,NULL,NULL,108,54.0,95% rye / 5% malted barley,New charred American oak,Toasted Amburana oak staves,Buttercream; cinnamon sugar; apple; ginger; warm apple pie; Vietnamese cinnamon; toasted coconut; red fruits,https://www.darkartswhiskey.com/spirits,2026-06-23,NULL,rye_kentucky
Rye,Ross & Squibb Distillery (MGP Ingredients),"Lawrenceburg, IN",Dark Arts Ripple Rye,sourced,Dark Arts Whiskey House,TRUE,FALSE,Kentucky Straight Rye; Straight Rye Whiskey; Maple Syrup Barrel + Toasted Amburana Oak Stave Finish Limited Special Release; Maple Syrup Barrel + Toasted Amburana Oak Stave Finish; Blended and Bottled in Kentucky,7 Years,NULL,NULL,110.38,55.19,95% rye / 5% malted barley,New charred American oak,Maple syrup barrel; toasted Amburana oak staves,Fresh baked gingerbread; spiced cherry; maple syrup; holiday spice; rye complexity,https://www.darkartswhiskey.com/special-releases,2026-06-23,NULL,rye_kentucky
