spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Single Malt,St. George Spirits,"Alameda, CA",Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; Annual Lot Series; current Lot 25 (Lot 1 released 2000),NULL,NULL,Lot 25,86,43.0,100% Malted Barley,New and used American oak,NULL,NULL,https://stgeorgespirits.com/spirits/single-malt-whiskey;https://www.totalwine.com/spirits/american-whiskey/american-single-malt/st-george-single-malt-whiskey/p/106753750,2026-06-27,https://www.totalwine.com/dynamic/490x/images/106753750/106753750-1-fr.png,american_single_malt_california
American Single Malt,St. George Spirits,"Alameda, CA",Baller American Single Malt Whiskey,own_make,NULL,FALSE,FALSE,American Single Malt; ; Japanese whisky highball-inspired; maple charcoal filtered; umeshu finish,NULL,NULL,NULL,94,47.0,100% Malted Barley,Used bourbon casks; French oak wine casks; umeshu finishing casks,Umeshu (Japanese plum liqueur) casks; maple charcoal filtered,NULL,https://stgeorgespirits.com/spirits/single-malt-whiskey;https://botld.com/products/st-george-spirits-baller-american-single-malt-whiskey,2026-06-27,http://botld.com/cdn/shop/files/StGeorgeBaller600x600.png,american_single_malt_california
American Single Malt,St. George Spirits,"Alameda, CA",40th Anniversary Single Malt,own_make,NULL,FALSE,FALSE,American Single Malt; ; One-time limited release; 40th anniversary of St. George Spirits (founded 1982),NULL,NULL,NULL,96,48.0,100% Malted Barley,NULL,NULL,NULL,https://stgeorgespirits.com/spirits/single-malt-whiskey,2026-06-23,NULL,american_single_malt_california
American Single Malt,10th Street Distillery,"San Jose, CA",Peated Single Malt,own_make,NULL,FALSE,FALSE,"American Single Malt; Peated, Sierra Nevada snowmelt water; copper pot distilled",NULL,NULL,NULL,92,46.0,100% Malted Barley (Scottish peated),First-fill bourbon barrels,NULL,Nose: citrus; peat smoke essence; palate: creamy; vanilla; dark red apple peels; rounded peat; finish: full bodied; buttery; lingering peat,https://www.10thstreetdistillery.com/shop/peated-single-malt;https://www.pastemagazine.com/drink/whiskey/10th-street-distillery-single-malts-review-str-peated-distillers-cut-san-jose,2026-06-27,https://image-pastemagazine-com-public-bucket.storage.googleapis.com/wp-content/uploads/2022/06/21071926/10th-street-malts-main.jpg,american_single_malt_california
American Single Malt,10th Street Distillery,"San Jose, CA",STR Single Malt,own_make,NULL,FALSE,FALSE,American Single Malt; ; Matured in STR (Shaved Toasted Re-charred) wine casks,NULL,NULL,NULL,92,46.0,100% Malted Barley (American non-peated),STR (Shaved Toasted Re-charred) wine casks,NULL,Cherry-like sweetness; vanilla bean; nutmeg; clove,https://www.10thstreetdistillery.com;https://www.pastemagazine.com/drink/whiskey/10th-street-distillery-single-malts-review-str-peated-distillers-cut-san-jose,2026-06-27,https://image-pastemagazine-com-public-bucket.storage.googleapis.com/wp-content/uploads/2022/06/21071926/10th-street-malts-main.jpg,american_single_malt_california
American Single Malt,10th Street Distillery,"San Jose, CA",Peated Single Malt: Distiller's Cut,own_make,NULL,FALSE,FALSE,American Single Malt; ; Distiller's cut; distinctive distillation cuts; Gold Medal NYISC; Gold Medal Whiskies of the World,NULL,NULL,NULL,88,44.0,100% Malted Barley (imported peated),First-fill bourbon barrels,NULL,Nose: sour; bright citrus; vanilla; peat; heavy mesquite smoke; palate: sweet; blackberry; brown sugar; honey; molasses; bran cereal; burning chocolate,https://www.10thstreetdistillery.com/shop/distillers-cut-peated-single-malt;https://thewhiskeywash.com/reviews/whiskey-review-10th-street-american-whisky-peated-single-malt-distillers-cut/,2026-06-23,NULL,american_single_malt_california
American Single Malt,10th Street Distillery,"San Jose, CA",Triple Cask Dragon,own_make,NULL,FALSE,FALSE,"American Single Malt; Single Barrel, Barrel No. 476; STR-to-wine-to-port sequential cask maturation; 2024 Whiskies of the World Best in Show Double Gold",NULL,NULL,Barrel 476,111.2,55.6,100% Malted Barley,STR (Shaved Toasted Re-charred) wine cask (primary),Wine cask; Port pipe,NULL,https://www.10thstreetdistillery.com,2026-06-23,NULL,american_single_malt_california
American Single Malt,Hinterhaus Distilling,"Murphys, CA",Discovery,own_make,NULL,FALSE,FALSE,"American Single Malt; Small Batch, batch-variable malted barley blend",NULL,NULL,Batch 4,92,46.0,88% Gallagher's Best malted barley; 12% Pacific Victor malted barley,Ex-bourbon and ex-wheat whiskey casks (Speyside and Kelvin cooperages),NULL,NULL,https://hinterhaus.com,2026-06-23,NULL,american_single_malt_california
American Single Malt,Hinterhaus Distilling,"Murphys, CA",Singularity,own_make,NULL,FALSE,TRUE,American Single Malt; ; Single barrel program; specs vary by release,NULL,NULL,NULL,NULL,NULL,100% Malted Barley,NULL,NULL,NULL,https://hinterhaus.com,2026-06-23,NULL,american_single_malt_california
American Single Malt,Moylan's Distilling Co,"Petaluma, CA",American Single Malt Whisky,own_make,NULL,FALSE,FALSE,American Single Malt; ; 4 years aged; hybrid copper pot still,4 Years,NULL,NULL,86,43.0,100% Two-row Malted Barley,New and used American white oak,NULL,NULL,https://moylansdistilling.com/spirits/moylans-american-single-malt-whisky;https://www.totalwine.com/spirits/american-whiskey/whiskey/moylans-american-single-malt-whisky/p/176874750,2026-06-23,NULL,american_single_malt_california
