spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Original,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base,,,,40,20,,,,"Deep, rich flavour of real black coffee with indulgent sweet butter and vanilla; built on rum and 100% Arabica coffee from Veracruz.",https://www.kahlua.com/en-us/products/; https://www.kahlua.com/en/products/original-coffee-liqueur/,2026-06-23,https://www.kahlua.com/wp-content/uploads/2022/06/16_9_Kahlua-Original-Bottles-Awareness-In-Situ-US-scaled.jpg,liqueur_mexico
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Especial,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base,,,,70,35,,,,"Opaque, inky brown, bolder and less sweet than Original; concentrated espresso and deep-roasted coffee. Launched 2002; US-market expression.",https://www.kahlua.com/en/products/kahlua-especial/; https://bevmo.com/products/32687,2026-06-26,https://www.kahlua.com/wp-content/uploads/2021/02/DESKTOP-TOP-BANNER-ESPECIAL-BOTTLE-SINGLE-scaled.jpg,liqueur_mexico
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Salted Caramel,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base; Salted Caramel,,,,40,20,,,,Coffee liqueur layered with salted caramel; rum-and-coffee base at 20% ABV. Now listed by Kahlúa as recently discontinued.,https://www.kahlua.com/en-us/products/discontinued-salted-caramel/; https://www.walmart.com/ip/Kahlua-Salted-Caramel-Rum-and-Coffee-Liqueur-750-mL-Bottle-20-ABV/189287321,2026-06-23,https://assets.kahlua.com/wp-content/uploads/2021/02/180712_PR_Kahlua_ROW_Render_SaltedCaramel_700ML1-1.png,liqueur_mexico
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Mint Mocha,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base; Mint Mocha,,,,40,20,,,,Seasonal limited edition blending mint and chocolate with the classic coffee profile. Now listed by Kahlúa as discontinued.,https://www.kahlua.com/en-us/products/discontinued-mint-mocha/; https://www.kahlua.com/en/products/discontinued-mint-mocha/,2026-06-23,https://assets.kahlua.com/wp-content/uploads/2021/02/170619_Kahlua_MintMocha_02-1.png,liqueur_mexico
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Chili Chocolate,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base; Chili Chocolate,,,,,,,,,Coffee liqueur with chili and chocolate notes. Now listed by Kahlúa as recently discontinued. Published ABV not stated on the brand product page.,https://www.kahlua.com/en-us/products/discontinued-chili-chocolate/; https://www.kahlua.com/en-us/products/,2026-06-23,https://assets.kahlua.com/wp-content/uploads/2021/02/170619_Kahlua_ChiliChocolate_02-1.png,liqueur_mexico
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Blonde Roast Style,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base; Blonde Roast,,,,,,,,,Lighter blonde-roast-style coffee liqueur. Now listed by Kahlúa as recently discontinued. Published ABV not stated on the brand product page.,https://www.kahlua.com/en-us/products/discontinued-blonde-roast-style/; https://www.kahlua.com/en-us/products/,2026-06-23,https://assets.kahlua.com/wp-content/uploads/2023/09/190923_Kahlua_750ML_Blonde_FOP.png,liqueur_mexico
Liqueur,Kahlúa,"Veracruz, Mexico",Kahlúa Vanilla Coffee Liqueur,blended,,FALSE,FALSE,Coffee Liqueur; Rum Base; Vanilla,,,,,,,,,Coffee liqueur with added vanilla. Now listed by Kahlúa as recently discontinued. Published ABV not stated on the brand product page.,https://www.kahlua.com/en-us/products/discontinued-vanilla-liqueur/; https://www.kahlua.com/en-us/products/,2026-06-23,https://assets.kahlua.com/wp-content/uploads/2021/02/170619_Kahlua_Vanilla_02-2.png,liqueur_mexico
Liqueur,Patrón,"Jalisco, Mexico",Patrón XO Cafe,blended,,FALSE,FALSE,Coffee Liqueur; Tequila Base,,,,70,35,,,,"Super-premium Patrón Silver tequila blended with natural coffee essence from Veracruz; dry, not sweet. 35% ABV.",https://www.patrontequila.com/products/patron-xo-cafe-coffee-liquor.html; https://www.htfw.com/patron-xo-cafe-tequila-coffee-liqueur,2026-06-26,https://www.patrontequila.com/binaries/content/gallery/patrontequila/products/xo-cafe/v3/bottle.png,liqueur_mexico
Liqueur,Ancho Reyes,"Puebla City, Mexico",Ancho Reyes Original Ancho Chile Liqueur,own_make,,FALSE,FALSE,Herbal Liqueur; Chile,,,,80,40,,,,"Nose of smoky ancho chiles with cocoa, cinnamon, tamarind and damp wood; velvety palate of chile spice, baking spices, tamarind, plum, cacao and almond; long warm smoky finish.",https://thebourboncentral.com/products/ancho-reyes-liqueur-ancho-chile-750ml,2026-06-26,http://thebourboncentral.com/cdn/shop/files/ancho-reyes-liqueur-ancho-chile-507115.jpg,liqueur_mexico
Liqueur,Ancho Reyes,"Puebla City, Mexico",Ancho Reyes Verde Poblano Chile Liqueur,own_make,,FALSE,FALSE,Herbal Liqueur; Chile,,,,80,40,,,,"Made from green-picked, fire-roasted poblano chiles; nose of fresh green chiles, herbaceous cilantro and roasted poblano; bright vegetal palate with lime zest and balanced sweetness.",https://www.htfw.com/ancho-reyes-verde-poblano-liqueur,2026-06-26,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp20633_2_1.jpg,liqueur_mexico
