spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Beenleigh,"Eagleby, Australia",Beenleigh Traditional Rum Liqueur,own_make,,FALSE,FALSE,Class TBD; Rum Base,,,,40,20,,,,Plum and apricot stone fruit aromas with caramel and toffee notes. From Australia's oldest registered distillery.,https://www.paulsliquor.com.au/products/beenleigh-traditional-rum-liqueur-750ml; https://myliquoronline.com.au/product/beenleigh-traditional-rum-liqueur-750ml/,2026-06-26,http://www.paulsliquor.com.au/cdn/shop/products/beenleigh-artisan-distillers-traditional-liqueur-700ml-alc-20-rum-826_550x825_90bb14ed-f2cc-4c1f-99d9-07f043b3d35d.webp,liqueur_australia
Liqueur,Beenleigh,"Eagleby, Australia",Beenleigh Honey Liqueur,own_make,,FALSE,FALSE,Class TBD; Rum Base; Honey,,,,70,35,,,,Beenleigh Dark Rum infused with pure Ligurian honey from Kangaroo Island.,https://www.excellencerhum.com/en/australia/3367-rum-beenleigh-honey.html; https://www.danmurphys.com.au/product/DM_839317/beenleigh-honey-dark-rum-700ml,2026-06-26,https://cdn1.excellencerhum.com/3269-thickbox_default/rum-beenleigh-honey.jpg,liqueur_australia
Liqueur,Bundaberg Distilling Co.,"Bundaberg, Australia",Bundaberg Royal Liqueur Coffee & Chocolate,own_make,,FALSE,FALSE,Coffee Liqueur; Rum Base,,,,40,20,,,,"Bundaberg Rum blended with rich chocolate and exotic coffee flavours, recipe dating to the 1950s.",https://www.bundabergrum.com.au/bundaberg-coffee-chocolate-royal-liqueur-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/bundy_rl_c_c_black_background_2.png,liqueur_australia
Liqueur,Bundaberg Distilling Co.,"Bundaberg, Australia",Bundaberg Royal Liqueur Salted Caramel Chocolate,own_make,,FALSE,FALSE,Class TBD; Rum Base; Salted Caramel,,,,40,20,,,,Bundaberg Rum blended with salted caramel and chocolate flavours.,https://www.bundabergrum.com.au/bundaberg-royal-liqueur-salted-caramel-chocolate.html,2026-06-28,NULL,liqueur_australia
Liqueur,Bundaberg Distilling Co.,"Bundaberg, Australia",Bundaberg Drop Bear Spicy Pineapple,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Pineapple,,,,60,30,,,,"Bundaberg rum base with ripe pineapple and a chilli kick. Roasted pineapple, brown sugar, vanilla, warming cinnamon.",https://www.bundabergrum.com.au/bundaberg-drop-bear-spicy-pineapple-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/drop_bear_promo_offer_-_shot_glasses_2.png,liqueur_australia
Liqueur,Mr Black,"Erina, NSW, Australia",Mr Black Cold Brew Coffee Liqueur,blended,,FALSE,FALSE,Coffee Liqueur; Cold Brew,,,,46,23,,,,"Cold press coffee liqueur made with 100% Arabica beans roasted and distilled in Australia, blended with wheat vodka; low-sugar, coffee-forward.",https://www.mrblack.co/en-au/products/coffee-liqueur; https://www.thewhiskyexchange.com/p/42788/mr-black-coffee-amaro,2026-06-23,,liqueur_australia
Liqueur,Mr Black,"Erina, NSW, Australia",Mr Black Coffee Amaro,blended,,FALSE,FALSE,Coffee Liqueur; Cold Brew; Amaro,,,,57,28.5,,,,"Cold brew coffee liqueur blended with 14 botanicals (coriander, liquorice root, illawarra plum, gentian); rounded dark caramel, bitter citrus and herbal complexity. Bottled 28.5% ABV.",https://www.thewhiskyexchange.com/p/42788/mr-black-coffee-amaro; https://shopmrblack.co/product/mr-black-coffee-amaro/,2026-06-23,,liqueur_australia
Liqueur,Mr Black,"Erina, NSW, Australia",Mr Black Mezcal Cask,blended,,FALSE,FALSE,Coffee Liqueur; Cold Brew; Mezcal Cask,,,,50,25,,,Ilegal Mezcal Añejo American oak casks,"Cold brew coffee liqueur rested ~3 months in American oak ex-Ilegal Mezcal Añejo casks, fortified with Ilegal Mezcal Joven; roasted coffee, dark chocolate, nutmeg, peppery spice and smoked agave. Limited edition. Collaboration with Ilegal Mezcal.",https://www.thewhiskyexchange.com/p/67900/mr-black-mezcal-cask-coffee-liqueur; https://www.ilegalmezcal.com/activity/introducing-mr-black-mezcal-cask-coffee-liqueur/,2026-06-23,,liqueur_australia
Liqueur,Mr Black,"Erina, NSW, Australia",Mr Black Double Cacao,blended,,FALSE,FALSE,Coffee Liqueur; Cold Brew; Whisky Base,,,,46,23,,,,"Cacao nibs infused into Mr Black coffee liqueur, blended with Starward Peated Finish whisky; rich velvety mocha with red fruit and toasted oak. Seasonal limited edition in collaboration with Starward Whisky. 23% ABV.",https://www.mrblack.co/en-au/products/double-cacao; https://starward.com.au/products/mr-black-double-cacao,2026-06-26,http://starward.com.au/cdn/shop/files/Social_Image_Starward_Whisky.jpg,liqueur_australia
Liqueur,Cape Byron Distillery,"Byron Bay, Australia",Brookie's Byron Slow Gin,own_make,,FALSE,FALSE,Fruit Liqueur; Sloe,,,,52,26,,,,"Native Davidson plum steeped in Brookie's Byron Dry Gin; rose, watermelon and bright plum.",https://capebyrondistillery.com/products/brookies-byron-slow-gin,2026-06-26,http://capebyrondistillery.com/cdn/shop/files/slow_gin_brookie_s.jpg,liqueur_australia
Liqueur,Husk Distillers,"Tumbulgum, Australia",Husk Ink Sloe & Berry Gin,own_make,,FALSE,FALSE,Fruit Liqueur; Sloe,,,,52,26,,,,"Base gin with a tart sloe-berry infusion, sweet red berries and Australian rosella flowers.",https://www.huskdistillers.com/shop/ink-sloe-berry-gin,2026-06-26,http://static1.squarespace.com/static/5a59fb2fccc5c5cfcbef4fda/5a5ea11d53450ae875ed3604/5d35368e7a66810001040775/1781043624874/Untitled+design+%283%29.jpg,liqueur_australia
Liqueur,Never Never Distilling Co,"McLaren Vale, Australia",Never Never Ginache,own_make,,FALSE,FALSE,Fruit Liqueur; Sloe,,,,76,38,,,,"Triple Juniper Gin with pressed McLaren Vale Grenache grape juice left on skins; fresh cherry, plum, raspberry, plush tannins.",https://neverneverdistilling.com.au/products/ginache,2026-06-23,https://cdn.shopify.com/s/files/1/0678/2602/4599/files/GG-Neutral-bottle.png,liqueur_australia
Liqueur,Applewood Distillery,"Adelaide Hills, Australia",Okar Bitter Aperitivo,own_make,,FALSE,FALSE,Amaro,,,,42,21,,,,"Australian bitter aperitivo with native plums, rhubarb and strawberry eucalyptus on a Grenache-wine base; juicy plums, cherry, rhubarb, Christmas spice, cacao and riberry.",https://www.applewooddistillery.com.au/collections/okar/products/okar-bitter,2026-06-23,https://www.applewooddistillery.com.au/cdn/shop/files/1_87e0201b-1125-4452-8b5a-10a9bed98069.png,liqueur_australia
Liqueur,Applewood Distillery,"Adelaide Hills, Australia",Okar Island Bitter,own_make,,FALSE,FALSE,Amaro,,,,48,24,,,,"Australian amaro with native riberries, Davidson plums, strawberry gum, lemon myrtle, gentian, wormwood, orange peel, cassia and cinchona.",https://www.epicureanwines.com/okar-island-bitter,2026-06-23,,liqueur_australia
Liqueur,Winding Road Distilling,"Tintenbar, NSW, Australia",Winding Road 50 Mile Coffee Liqueur,own_make,NULL,FALSE,FALSE,Coffee Liqueur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://windingroaddistilling.com/; _cross_category_capture.md (Rum Sub 4),2026-06-23,NULL,liqueur_australia
Liqueur,Mt Uncle Distillery,"Walkamin, QLD, Australia",Mt Uncle Sexycat Marshmallow Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Marshmallow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.mtuncle.com/; _cross_category_capture.md (Rum Sub 4),2026-06-28,NULL,liqueur_australia
Liqueur,Husk Farm Distillery,"North Tumbulgum, NSW, Australia",Husk Ink Sloe & Berry,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Sloe,NULL,NULL,NULL,52,26,NULL,NULL,NULL,NULL,https://huskdistillers.com/; _cross_category_capture.md (Gin Sub 4),2026-06-26,http://static1.squarespace.com/static/5a59fb2fccc5c5cfcbef4fda/t/6451e20475fae910ed402cbc/1683087876747/Website+Product+Images+%282%29.png,liqueur_australia
Liqueur,Husk Farm Distillery,"North Tumbulgum, NSW, Australia",Husk Pure Cane 50,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Cane Base,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://huskdistillers.com/; _cross_category_capture.md (Gin Sub 4),2026-06-26,http://static1.squarespace.com/static/5a59fb2fccc5c5cfcbef4fda/t/6451e20475fae910ed402cbc/1683087876747/Website+Product+Images+%282%29.png,liqueur_australia
Liqueur,Cape Byron Distillery,"Byron Bay, NSW, Australia",Brookie's Mac Macadamia & Wattleseed Liqueur,own_make,NULL,FALSE,FALSE,Nut Liqueur; Macadamia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://capebyrondistillery.com/; _cross_category_capture.md (Gin Sub 4),2026-06-26,http://capebyrondistillery.com/cdn/shop/files/Cape-Byron-Distillery-Logo-FOIL_EFFECT-web.png,liqueur_australia
