spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,González Byass,"Jerez de la Frontera, Spain",Lepanto,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Lepanto 12 (Solera Gran Reserva),12 Years,NULL,NULL,72.0,36.0,NULL,American oak solera; matured min 12 years in ex-Tío Pepe (Fino) casks; double-distilled Palomino Fino in Charentais copper stills; finished in sweet Oloroso casks,Sweet Oloroso cask finish,https://www.gonzalezbyass.com/en-gb/wineries-brands/lepanto; https://www.sherrynotes.com/2019/reviews/brandy-jerez/brandy-lepanto-gonzalez-byass/; https://www.thewhiskyexchange.com/p/21740/lepanto-solera-gran-reserva-12-year-old-brandy-de-jerez,2026-06-26,https://www.sherrynotes.com/wp-content/uploads/2019/08/brandy-jerez-lepanto-gonzalez-byass.jpg,brandy_spain
Brandy,González Byass,"Jerez de la Frontera, Spain",Lepanto,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Lepanto O.V. (Oloroso Viejo),NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; finished in dry old Oloroso casks,Dry Oloroso Viejo cask finish,https://www.gonzalezbyass.com/en-gb/wineries-brands/lepanto; https://www.trbusiness.com/regional-news/europe/gonzalez-byass-updates-lepanto-brandy-with-elevated-new-packaging/276250,2026-06-28,NULL,brandy_spain
Brandy,González Byass,"Jerez de la Frontera, Spain",Lepanto,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Lepanto P.X. (Pedro Ximénez),NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; ~12 years in ex-Tío Pepe casks then ~3 years in casks that held 30-year-old Pedro Ximénez Noé,Pedro Ximénez (Noé) cask finish,https://www.gonzalezbyass.com/en-gb/wineries-brands/lepanto; https://www.totalwine.com/spirits/brandy-cognac/lepanto-px-solera-gran-reserva/p/106323750,2026-06-26,NULL,brandy_spain
Brandy,Sánchez Romate (Cardenal Mendoza),"Jerez de la Frontera, Spain",Cardenal Mendoza,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Cardenal Mendoza Clásico,NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; avg ~15 years in ex-Oloroso and ex-Pedro Ximénez sherry casks,NULL,https://www.cardenalmendoza.com/en/sherry-brandy/cardenal-mendoza-solera-gran-reserva; https://www.sherrynotes.com/2019/reviews/brandy-jerez/cardenal-mendoza-clasico-romate/; https://www.thewhiskyexchange.com/p/996/cardenal-mendoza-brandy-solera-gran-reserva,2026-06-26,https://www.sherrynotes.com/wp-content/uploads/2019/08/brandy-cardenal-mendoza-romate.jpg,brandy_spain
Brandy,Sánchez Romate (Cardenal Mendoza),"Jerez de la Frontera, Spain",Cardenal Mendoza,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Cardenal Mendoza Carta Real,NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; avg >25 years in old Oloroso sherry casks; parcel set aside 1981 (bodega bicentenary),NULL,https://www.cardenalmendoza.com/en/sherry-brandy/cardenal-mendoza-carta-real; https://www.sherrynotes.com/2019/reviews/brandy-jerez/cardenal-mendoza-carta-real/,2026-06-26,https://www.cardenalmendoza.com/sites/default/files/2021-07/Bottle-02_0.png,brandy_spain
Brandy,Sánchez Romate (Cardenal Mendoza),"Jerez de la Frontera, Spain",Cardenal Mendoza,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Cardenal Mendoza Non Plus Ultra,NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; avg ~50 years from just 38 selected Oloroso casks,NULL,https://www.cardenalmendoza.com/en/; https://www.sherrynotes.com/2019/reviews/brandy-jerez/cardenal-mendoza-clasico-romate/,2026-06-26,https://www.sherrynotes.com/wp-content/uploads/2019/08/brandy-cardenal-mendoza-romate.jpg,brandy_spain
Brandy,Bodegas Lustau,"Jerez de la Frontera, Spain",Lustau,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Reserva; Lustau Brandy de Jerez Solera Reserva,NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; ~3 years in ex-Amontillado sherry casks; 100% Airén,NULL,https://lustau.es/en/shop/sherry-brandy/lustau-brandy-solera-reserva/; https://www.sherrynotes.com/2021/reviews/brandy-jerez/brandy-de-jerez-solera-reserva-lustau/,2026-06-26,https://lustau.es/wp-content/uploads/2021/01/brandy_lustau_sr.jpg,brandy_spain
Brandy,Bodegas Lustau,"Jerez de la Frontera, Spain",Lustau,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Lustau Brandy de Jerez Solera Gran Reserva,NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; avg ~10 years in old ex-Amontillado and ex-Oloroso casks,NULL,https://lustau.es/en/our-collection/brandy-2/; https://www.sherrynotes.com/2021/reviews/brandy-jerez/brandy-de-jerez-solera-gran-reserva-lustau/,2026-06-26,https://www.sherrynotes.com/wp-content/uploads/2020/01/brandy-solera-gran-reserva-lustau-brandy-de-jerez.jpg,brandy_spain
Brandy,Bodegas Lustau,"Jerez de la Frontera, Spain",Lustau,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Lustau Finest Selection (Solera Gran Reserva),NULL,NULL,NULL,80.0,40.0,NULL,American oak solera; min ~15 years in ex-Oloroso and ex-Pedro Ximénez casks,NULL,https://www.sherrynotes.com/2015/reviews/brandy-jerez/brandy-solera-gran-reserva-finest-selection-lustau/; https://caballero.es/tienda/bebidas-espirituosas/brandy/lustau-brandy-solera-gran-reserva-finest-selection/,2026-06-26,https://www.sherrynotes.com/wp-content/uploads/2014/12/lustau-solera-gran-reserva-finest-selection-brandy.jpg,brandy_spain
Brandy,Bodegas Fundador,"Jerez de la Frontera, Spain",Fundador,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera; Fundador Solera,NULL,NULL,NULL,72.0,36.0,NULL,American oak sherry-soaked solera; Airén and Palomino base,NULL,https://brandyfundador.com/en-us/; https://www.masterofmalt.com/brandy/fundador/fundador-solera-brandy/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/53380_source_1782307243.jpg,brandy_spain
Brandy,Bodegas Fundador,"Jerez de la Frontera, Spain",Fundador,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Reserva; Fundador Solera Reserva,NULL,NULL,NULL,72.0,36.0,NULL,American oak sherry-soaked solera; Airén and Palomino base,NULL,https://www.masterofmalt.com/brandy/fundador/fundador-solera-reserva-brandy/; https://www.thewhiskyexchange.com/p/13848/fundador-solera-reserva-spanish-brandy,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/53380_source_1782307243.jpg,brandy_spain
Brandy,Bodegas Fundador,"Jerez de la Frontera, Spain",Fundador,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Reserva; Fundador Double Wood (Doble Madera),NULL,NULL,NULL,72.0,36.0,NULL,Double aging in ex-Amontillado and ex-Oloroso sherry casks (American oak),Double wood (Amontillado + Oloroso),https://brandyfundador.com/en-us/coleccion-sherry-cask/fundador-doble-madera/,2026-06-28,NULL,brandy_spain
Brandy,Bodegas Fundador,"Jerez de la Frontera, Spain",Fundador,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Fundador Supremo 12,12 Years,NULL,NULL,80.0,40.0,NULL,Solera Gran Reserva; aged in sherry casks (American oak),NULL,https://brandyfundador.com/en-us/producto/fundador-supremo-12/,2026-06-28,NULL,brandy_spain
Brandy,Bodegas Fundador,"Jerez de la Frontera, Spain",Fundador,own_make,NULL,FALSE,FALSE,Brandy de Jerez; Solera Gran Reserva; Fundador Supremo 15,15 Years,NULL,NULL,NULL,NULL,NULL,Solera Gran Reserva; aged in sherry casks (American oak),NULL,https://brandyfundador.com/en-us/; https://qualityliquorstore.com/products/fundador-supremo-18-year-brandy-solera-gran-reserva,2026-06-26,http://qualityliquorstore.com/cdn/shop/files/fundador.jpg,brandy_spain
